analyte,outer_fold,rank,matched_cos,mismatched_cos
alanine,0,9,-0.39631201811805844,-0.18047152471675879
ergothioneine,0,1,0.47452944586537127,-0.22165222621841058
fructose-6-phosphate,0,9,-0.41926172199169043,-0.20436915392089766
glutamate,0,5,-0.3185376707644566,-0.20517241805133396
guanine,0,1,0.3828611542832854,-0.34888139630132875
lactate,0,3,-0.154616940502176,-0.29293247920264687
n-acetylglucosamine,0,11,-0.5508322949217966,-0.2816728013812776
phosphate,0,5,-0.32225817124065204,-0.2437170839176804
proline,0,11,-0.4595717767006936,-0.20416727037433052
tyrosine,0,10,-0.3580226051487494,-0.14649053097243567
uracil,0,3,0.031103137978371286,-0.09743971859385987
acetyl-coa,1,3,-0.4630836127279786,-0.40842798225477267
albumin,1,1,0.7007072296400538,-0.5747531224328837
cholesterol,1,2,0.023916447634308977,-0.44607074411306713
coenzyme a,1,9,-0.6594021019380899,-0.3876192717250741
cysteine,1,4,-0.4043938334858813,-0.3365396618779799
hydroxyproline,1,7,-0.31760416190891666,-0.15799086150525693
mannose,1,5,-0.44952501295694003,-0.31014442810377507
phosphoenolpyruvate,1,7,-0.4291939894832623,-0.3001008242439881
serine,1,10,-0.42204111725694526,-0.212749239548152
thymine,1,3,-0.19407982797608533,-0.19639568237201532
glutathione,2,2,0.12757797696232323,-0.3490086033849343
glycerol,2,5,-0.22279251633940586,-0.15248680121873853
glycogen,2,7,-0.47048978057356267,-0.2136782747871079
methionine,2,8,-0.48006546138754264,-0.20527678684953202
phosphatidylinositol,2,9,-0.7388969135525759,-0.178407765883516
riboflavin,2,6,-0.33816832763387267,-0.17733245496739156
stearate,2,2,0.03270040564185886,-0.2999925568950841
urate,2,1,0.3686465982374663,-0.1374095147952753
urea,2,1,0.5122841156904823,-0.027296471108676938
valine,2,10,-0.5115358786566855,-0.1892376923259289
acetoacetate,3,5,-0.42960877707810774,-0.36964584169502684
adenine,3,2,0.09771571424786824,-0.24857740997475317
creatinine,3,3,0.010417117885937669,-0.13105849068743158
leucine,3,6,-0.48431461680622956,-0.2808396415365533
oleate,3,8,-0.5014259045044228,-0.297931544531014
phenylalanine,3,10,-0.4315062941766993,-0.26064891814860125
pyruvate,3,7,-0.3963991203760815,-0.2209375050917606
triolein,3,6,-0.46194127963309006,-0.2986926821952997
tryptophan,3,2,0.03649922476517318,-0.31453891282881774
xanthine,3,1,0.518267205282273,-0.32601770915669764
arginine,4,5,-0.3977738104191496,-0.3686921838929538
ascorbate,4,3,-0.3286370276250961,-0.3402434889511865
citrate,4,8,-0.3987167109490258,-0.3531836434636333
fructose,4,6,-0.37389729118566095,-0.34571381395899325
galactose,4,2,-0.4081232842176379,-0.4720140892498448
glucose,4,3,-0.402690200471264,-0.40903573691829354
glycine,4,5,-0.31651115160726695,-0.3058587860388484
histidine,4,10,-0.4767731474865735,-0.4059756476397024
hypoxanthine,4,1,-0.07743407970208448,-0.6977907533698563
isoleucine,4,8,-0.5901804561242094,-0.5228905617528621
