analyte,outer_fold,rank,matched_cos,mismatched_cos
alanine,0,10,0.038041409596978465,0.09015638255606193
ergothioneine,0,1,0.29739580496802137,0.040040486868352404
fructose-6-phosphate,0,7,-0.02958891172653584,0.01577685255380591
glutamate,0,3,0.17001850008588207,0.11872378043524552
guanine,0,1,0.31930134834191426,-0.09116537905639348
lactate,0,7,0.057010336440456236,0.0754224907604207
n-acetylglucosamine,0,5,0.06915322563425842,0.03790267119774856
phosphate,0,3,-0.007898021802817063,-0.04776052770123783
proline,0,10,-0.1023665309168665,0.009541505754864229
tyrosine,0,7,0.07199070257314875,0.1141355777232184
uracil,0,3,-0.017308715411377733,-0.06224647451168519
acetyl-coa,1,1,0.38411592439454606,0.1671705158936092
albumin,1,1,0.5092669482933545,0.3565269983945887
cholesterol,1,9,0.1096004261303517,0.22293142878674127
coenzyme a,1,4,0.2593187691408282,0.22456012469201805
cysteine,1,2,0.08877691995744781,0.01662361896203679
hydroxyproline,1,8,0.11505149274431839,0.14911671149225128
mannose,1,6,0.07194772017285252,0.1037665250863422
phosphoenolpyruvate,1,3,0.062235673385028764,-0.022406618843997576
serine,1,9,0.014010612304955275,0.12546728125315068
thymine,1,2,0.05028799626765324,-0.06947169069152456
glutathione,2,1,0.19697425532362514,0.009791723017661819
glycerol,2,2,0.35125796428935424,0.15339353781196652
glycogen,2,3,0.24506457614493848,0.13997136516621403
methionine,2,1,0.19648158127062,0.10495959762148309
phosphatidylinositol,2,7,0.09132983973236296,0.3913540542387797
riboflavin,2,7,0.044025713255542866,0.0953935972797207
stearate,2,1,0.19804759965596452,0.07292003631527541
urate,2,2,0.10049581447124793,0.010072661571239525
urea,2,1,0.536235049359819,0.021797602446697435
valine,2,4,0.14893112106303752,0.08027249247410705
acetoacetate,3,3,0.01675313516520165,-0.03371181409154637
adenine,3,4,0.15409405937838896,0.10313205268775363
creatinine,3,1,0.4858124751298572,0.005373050629194175
leucine,3,6,0.12601259299095988,0.13177948030331715
oleate,3,6,0.17006422617156194,0.15110225409965425
phenylalanine,3,8,-0.05611390507771828,0.005865952320538599
pyruvate,3,6,-0.01581282398705348,0.02627898942010961
triolein,3,1,0.3445447665078868,0.14228472938132017
tryptophan,3,1,0.18753277157092788,-0.020319748406797646
xanthine,3,1,0.4260194586050523,0.08099786808840971
arginine,4,1,0.13435830474386332,0.057221555013759834
ascorbate,4,5,-0.015315873448359229,-0.036214661512201596
citrate,4,7,-0.014018994958957292,0.017246143023319095
fructose,4,4,0.05714389537998439,0.025740449789392033
galactose,4,1,0.26279163761610413,0.06689695395924461
glucose,4,3,0.11208503672540286,0.04173276996191023
glycine,4,4,0.07931805778744133,0.058422975538275294
histidine,4,6,0.0670193907540191,0.08527712823978584
hypoxanthine,4,1,0.4858712144284171,0.20076033777637997
isoleucine,4,5,0.21983470676624187,0.158713368136492
