analyte,outer_fold,rank,matched_cos,mismatched_cos
alanine,0,8,0.7183985260225326,0.7192027082517068
ergothioneine,0,9,0.9641994063772866,0.971640360374314
fructose-6-phosphate,0,1,0.9277407199566943,0.9113219603815811
glutamate,0,2,0.8637157607149933,0.8612201746352696
guanine,0,2,0.6340082951870556,0.6239158464164001
lactate,0,10,0.9262607983393694,0.9375795655309682
n-acetylglucosamine,0,5,0.9714029462274354,0.9672374233972096
phosphate,0,3,0.8567260809858276,0.8513002028806602
proline,0,11,0.7075492379499719,0.723423667269899
tyrosine,0,8,0.9266285382850851,0.9345583814781543
uracil,0,8,0.6220023191226539,0.6246431027948214
acetyl-coa,1,1,0.9879723852960155,0.9820906360559065
albumin,1,1,0.9810321195310494,0.9698936826662791
cholesterol,1,10,0.9536380290949835,0.9704604706341882
coenzyme a,1,3,0.9875602650231854,0.9830114181666799
cysteine,1,9,0.9048357159622437,0.9098931706471591
hydroxyproline,1,7,0.7045032861546214,0.7063158501395146
mannose,1,5,0.9176235814228786,0.9154569937220725
phosphoenolpyruvate,1,5,0.9474032035940242,0.9399091216769138
serine,1,9,0.7279430768003082,0.731047128392684
thymine,1,3,0.8184120031318173,0.8134807855494122
glutathione,2,1,0.9347929750407366,0.9298169260080402
glycerol,2,6,0.798200126467254,0.7966930810667153
glycogen,2,10,0.9723944813233962,0.9780909714218518
methionine,2,4,0.9680872373974535,0.9668740591550841
phosphatidylinositol,2,2,0.9594852770932869,0.9558805047040807
riboflavin,2,5,0.9929531690780614,0.9930493285542364
stearate,2,3,0.6823676337748916,0.6791489027957944
urate,2,1,0.8915040992677397,0.8873556585867559
urea,2,1,0.44363774635417397,0.4249002887603744
valine,2,1,0.761309564564218,0.7578521831858637
acetoacetate,3,8,0.8911856230834656,0.8887488810478015
adenine,3,6,0.9667364671049935,0.9640572011366163
creatinine,3,1,0.7583762307077639,0.7441527553509584
leucine,3,5,0.8806757808725918,0.8772307322704047
oleate,3,2,0.8827189837605159,0.8750641769656631
phenylalanine,3,8,0.5612468057104968,0.5578083031948633
pyruvate,3,3,0.91839634476111,0.9119960853078829
triolein,3,2,0.8932187450665273,0.8855820534845136
tryptophan,3,1,0.9697102196641749,0.9580123037853312
xanthine,3,1,0.9171941011703737,0.8998198319699673
arginine,4,6,0.7435381043984511,0.7432559652521513
ascorbate,4,1,0.8707012722272666,0.8675666577385096
citrate,4,6,0.8849283358128058,0.884719887854788
fructose,4,4,0.7207336180143227,0.7158240870914884
galactose,4,7,0.9641841544186668,0.9643935615590343
glucose,4,3,0.8392595244657488,0.8365143105594013
glycine,4,9,0.5601100455686758,0.562108467568648
histidine,4,8,0.9657309835756324,0.9689974603153129
hypoxanthine,4,2,0.9695418099698514,0.964395362332034
isoleucine,4,1,0.8773593884386194,0.8748180848600239
