analyte,outer_fold,rank,matched_cos,mismatched_cos
alanine,0,3,0.21973416516832112,0.1527720599682941
ergothioneine,0,1,0.21320275616889126,0.03879560565059966
fructose-6-phosphate,0,6,0.08712221959431446,0.06979871128215034
glutamate,0,3,0.31325771710654327,0.18925062587336688
guanine,0,1,0.38122162082968614,-0.17568266466857124
lactate,0,5,0.18720023113481424,0.09058982660329287
n-acetylglucosamine,0,5,0.1215131933585189,0.04848443766978737
phosphate,0,4,0.0767845061881395,-0.013789910166936292
proline,0,11,-0.14592790631976632,0.021679534212401506
tyrosine,0,10,0.015241111655026701,0.12419673187335996
uracil,0,2,0.028397843131604792,-0.07052326682730763
acetyl-coa,1,1,0.41039227346412066,0.17041705994205106
albumin,1,4,0.4843575362727484,0.416239483803217
cholesterol,1,8,0.14431546594228747,0.28493151163952657
coenzyme a,1,2,0.26079775184808335,0.1809914844312528
cysteine,1,1,0.14347544235823506,0.017232429177556866
hydroxyproline,1,5,0.17897141568294847,0.14460536604678248
mannose,1,6,0.13487126315326578,0.14922664773723432
phosphoenolpyruvate,1,5,0.07604131164327564,0.02240129235905793
serine,1,10,-0.027142397843143776,0.17685266080150075
thymine,1,2,0.05778957949204533,-0.09566945536688364
glutathione,2,1,0.37124804138277706,0.023310966721760345
glycerol,2,2,0.3932316634049292,0.1933706262556887
glycogen,2,1,0.32065441632633074,0.1671226417068873
methionine,2,1,0.29861951395874153,0.09491472396349519
phosphatidylinositol,2,7,0.18255385697925192,0.4095287691019125
riboflavin,2,4,0.12856207398640918,0.09489868839114346
stearate,2,3,0.23252610725687556,0.12218211445536913
urate,2,1,0.14851626998990525,0.025058322666939033
urea,2,1,0.6866477009765405,0.017523016421207474
valine,2,3,0.31535200575178923,0.18090331784488548
acetoacetate,3,3,0.1107274376321691,-0.0049980554215755995
adenine,3,2,0.22625545311701684,0.11576144819704469
creatinine,3,1,0.5996225673638169,-0.0019884782993993605
leucine,3,5,0.23664351166407796,0.19678573678975256
oleate,3,3,0.321213860048036,0.19687802641163715
phenylalanine,3,6,-0.037156868280168016,-0.004066724443535834
pyruvate,3,8,-0.08678539272349386,0.0664199265689969
triolein,3,1,0.47908512182261986,0.1897668288365197
tryptophan,3,1,0.16725473431879329,-0.03465786104091707
xanthine,3,1,0.517208875653516,0.10017495071653376
arginine,4,1,0.2650895711575965,0.12497768784641444
ascorbate,4,3,-0.014770055863465517,-0.10530173536433077
citrate,4,5,0.08443689044524987,0.057816978327624606
fructose,4,3,0.12262815936838452,0.06738728675698502
galactose,4,1,0.3839252487233076,0.14322240434063535
glucose,4,4,0.2228365764824026,0.14201584549062718
glycine,4,4,0.14323234958050426,0.08923929776570802
histidine,4,8,0.03896799850480879,0.07446995893482641
hypoxanthine,4,1,0.548363229464184,0.24016366666032615
isoleucine,4,4,0.3474578051830054,0.2832178574131704
