analyte,outer_fold,rank,matched_cos,mismatched_cos
alanine,0,11,-0.0054246920662491,0.046314810234946435
ergothioneine,0,1,0.2407136860983475,0.06556212243627585
fructose-6-phosphate,0,6,0.13892163586726908,0.09065830094393308
glutamate,0,3,0.13391933729686376,0.05740149703070757
guanine,0,1,0.19410209305150203,-0.1286292262058783
lactate,0,6,0.009070090255852536,0.012785589128328556
n-acetylglucosamine,0,6,0.052380564457837384,0.02878910830082381
phosphate,0,2,0.09986692610487861,0.015558031510287323
proline,0,9,-0.022758422756154674,0.041107726633982655
tyrosine,0,4,0.05826904714173,0.054007582803927576
uracil,0,5,0.06801930002294801,0.057302821948081985
acetyl-coa,1,2,0.14290142014674137,0.044792400533235285
albumin,1,1,0.18629841372019826,0.13007350424171749
cholesterol,1,3,0.09772020545060497,0.07326991149590724
coenzyme a,1,4,0.08700544084983415,0.08209648672158977
cysteine,1,2,-0.003528288781735939,-0.06033210792028798
hydroxyproline,1,7,0.0603621289305746,0.10375976893781817
mannose,1,6,0.1264871058804545,0.1415755160945812
phosphoenolpyruvate,1,5,0.11708630475783366,0.07905429127467561
serine,1,9,0.030625400026012523,0.09972010777687415
thymine,1,1,0.13330409735401727,0.024752659027891574
glutathione,2,2,0.020713666628087032,-0.07950606467596827
glycerol,2,1,0.19794752468031335,0.06885339082931376
glycogen,2,4,0.11945464560722249,0.09544623467765018
methionine,2,1,0.07974808323369913,0.02382250328273929
phosphatidylinositol,2,7,0.09515316816151616,0.10256714494254808
riboflavin,2,8,-0.04325378761825032,-0.007051127159348232
stearate,2,1,-0.010893973528030431,-0.09736545757167082
urate,2,4,0.1359049670311298,0.10858822857606502
urea,2,1,0.5353577715568275,0.09240291006108206
valine,2,4,0.028662156726919272,-0.007731519680835245
acetoacetate,3,4,0.001459526078023194,-0.04264552961587837
adenine,3,5,0.06775401647148263,0.044731277424451724
creatinine,3,1,0.44318796687210377,0.11432897980779837
leucine,3,5,0.046369307751403646,0.0520304908136703
oleate,3,6,0.02417362908737842,0.014100014593446099
phenylalanine,3,9,-0.08997425787902483,-0.03666245887433506
pyruvate,3,6,0.10875879696299841,0.11820826155572996
triolein,3,1,0.11043033903457172,0.018561388421275454
tryptophan,3,1,0.12112726160621529,0.005291201583411777
xanthine,3,1,0.34469734859993184,-0.057158880202639026
arginine,4,1,0.1724026618922995,0.11841331385754879
ascorbate,4,4,0.09599541573866137,0.07064332214631507
citrate,4,8,0.11440517970071806,0.12948682029959777
fructose,4,2,0.11355574348452935,0.08594215664289101
galactose,4,1,0.19172769510837404,0.0910576742984453
glucose,4,4,0.1006993638104932,0.0953990148456672
glycine,4,4,0.03276394848766562,0.01254820380998876
histidine,4,6,0.03370286286691878,0.06085682515044058
hypoxanthine,4,1,0.22846478617829322,0.05717487063212445
isoleucine,4,3,0.11018863387747423,0.08512751455855996
