cm_n,cm_chance_top1,cm_top1_r2s,cm_top1_s2r,cm_top1,cm_top3,cm_top5,cm_mrr,cm_median_rank,cm_matched_cos,cm_mismatched_cos,cm_matched_minus_mismatched,pk_matched,pk_mismatched,pk_random,pk_effect_vs_mismatched,pk_effect_size,pk_n_analytes,rep_raman_replicate_cos,rep_raman_replicate_var,rep_raman_between_analyte_cos,rep_raman_replicate_margin,rep_sers_replicate_cos,rep_sers_replicate_var,rep_sers_between_analyte_cos,rep_sers_replicate_margin,chem_raman_1nn,chem_raman_margin,chem_sers_1nn,chem_sers_margin,nu_modality_separability,si_peak_retention,si_peak_invention,si_peak_width_ratio,si_effective_rank,si_cross_analyte_duplicate_frac,si_negative_lobe_burden,si_edge_artefact_ratio,bg_variance_explained,inner_fold,cm_n_std,cm_chance_top1_std,cm_top1_r2s_std,cm_top1_s2r_std,cm_top1_std,cm_top3_std,cm_top5_std,cm_mrr_std,cm_median_rank_std,cm_matched_cos_std,cm_mismatched_cos_std,cm_matched_minus_mismatched_std,pk_matched_std,pk_mismatched_std,pk_random_std,pk_effect_vs_mismatched_std,pk_effect_size_std,pk_n_analytes_std,n_stages,n_hyperparams,runtime_s,outer_fold,cm_mrr_fold_std,cid,arm,cfg_baseline_r,cfg_smooth_r,cfg_baseline_s,cfg_smooth_s,cfg_background,cfg_bg_params,cfg_aggregate,cfg_derivative,cfg_norm_r,cfg_norm_s,cfg_peak_transform,reject_reasons,rejected,on_front
10.2,0.09818181818181818,0.2545454545454545,0.11863636363636362,0.1865909090909091,0.41,0.6479545454545454,0.38085269086973633,4.25,0.5725749609313436,0.5381683116309948,0.03440664930034904,0.6762858641928794,0.6613434713267659,0.4910599824723585,0.014942392866113425,0.0659177486954793,10.2,0.9883643173820321,1.3497950003171783e-05,0.34360308245412463,0.6447612349279075,0.9466389543376316,6.930005929931843e-05,0.8417004428440695,0.1049385114935619,0.9820671777482921,0.6042141409609759,0.8893636363636365,0.10603101289899733,0.14502063808491383,1.0,0.0,1.0041025486964115,82.24360953952305,0.0,0.0025131678856775757,0.8415188247020161,0.0,1.5,0.4,0.0036363636363636377,0.11614562350472908,0.06490939261173567,0.0754355439181987,0.08890841301602685,0.1337558417536478,0.06545360748664024,1.0002337196761442,0.03328933389291486,0.04708933754479102,0.027966805736359984,0.09837379579292652,0.08750790020732165,0.06079585711711286,0.03861295687682914,0.168962882034508,0.4,5.0,6.0,0.5681226253509521,2.0,0.03568184980650685,BASE_asls_sg_l2,baseline,asls,"savgol(poly=3,window=9)",asls,"savgol(poly=3,window=9)",none,{},mean,0,l2,l2,full,,False,True
10.2,0.09818181818181818,0.2,0.11727272727272728,0.15863636363636363,0.3336363636363636,0.5420454545454546,0.33843473698019155,4.925,0.6627972277020924,0.6471486524466898,0.01564857525540244,0.3012061887904134,0.2667192498034744,0.20807110540417692,0.034486938986938984,0.11443406473514132,10.2,0.985506717509133,0.0031459595484999185,0.5023020100144666,0.48320470749466626,0.9517212217050129,0.017511686021568613,0.8659258118174634,0.08579540988754943,0.9861918276082363,0.43494089241273814,0.8507272727272728,0.08056521946500642,0.11929295785755267,1.0,0.0,1.0,79.56813868706837,0.014492753623188406,0.007564353863517404,0.7887567651369942,0.0,1.5,0.4,0.0036363636363636377,0.10438673641806744,0.0463643146570724,0.06824353963787325,0.06713645141151511,0.04410852704684721,0.053993182582809496,0.7282286305754073,0.042548450634760454,0.049750384788569815,0.016661882899796858,0.1301857848410199,0.11622753945182969,0.08208274098724562,0.04604314278682517,0.14610421887719136,0.4,1.0,0.0,0.3527731418609619,2.0,0.008419789738387487,A_none0_robust,A_baseline_norm,none,none,none,none,none,{},mean,0,robust,robust,full,,False,True
10.2,0.09818181818181818,0.2286363636363636,0.1418181818181818,0.1852272727272727,0.3606818181818182,0.5838636363636365,0.36107939787485244,4.775,0.28949186041099495,0.25468790952575004,0.034803950885244836,0.3012061887904134,0.2667192498034744,0.20807110540417692,0.034486938986938984,0.11443406473514132,10.2,0.9781645915372964,0.015603696055184486,0.16406432301613522,0.8141002685211612,0.8554122023794853,0.11567023809635661,0.6035506636892558,0.25186153869022954,0.9861918276082363,0.7445939171443531,0.8493636363636364,0.23245977220336872,0.2320567782114143,1.0,0.0,1.0,86.25157973497402,0.0,0.4999999999999988,2.008180221277751,0.0,1.5,0.4,0.0036363636363636377,0.13040984604787498,0.07392197178427012,0.09092306918471126,0.08103864024901283,0.07734085271476888,0.07143736445744812,0.7452851713876074,0.048823719545028565,0.05780380294464227,0.033243336269053125,0.1301857848410199,0.11622753945182969,0.08208274098724562,0.04604314278682517,0.14610421887719136,0.4,1.0,0.0,0.28406720161437987,2.0,0.008840232267498868,A_none0_snv,A_baseline_norm,none,none,none,none,none,{},mean,0,snv,snv,full,,False,True
10.2,0.09818181818181818,0.2690909090909091,0.11363636363636362,0.19136363636363635,0.40340909090909094,0.6309090909090909,0.3835548012593467,4.2,0.5469190352102793,0.514151117716736,0.03276791749354323,0.8779398319522687,0.8699364246284897,0.7266318995545288,0.00800340732377876,0.09878706959885217,10.2,0.9816073790424644,0.003894057621396531,0.3306949915837098,0.6509123874587546,0.8851597764867709,0.03430308834141494,0.7578238234132356,0.1273359530735354,0.9820671777482921,0.6102017543084599,0.8976363636363637,0.1300462641108061,0.1238305895672576,1.0,0.0,0.8720311581966744,92.20214967762185,0.0,0.004067184485959129,0.8379248035396465,0.0,1.5,0.4,0.0036363636363636377,0.1184235375790981,0.06336238722794316,0.07830666626418047,0.10450385644713397,0.11423727134138972,0.06798186802457114,1.0030313441059606,0.032515315517085426,0.04504446698861038,0.026353900128782227,0.07656618887340685,0.08218744162705656,0.07279424201413416,0.019256778040154736,0.21292019119461666,0.4,3.0,2.0,0.3171661376953125,2.0,0.03109193553991261,A_asls2_p95,A_baseline_norm,asls,none,asls,none,none,{},mean,0,p95,p95,full,,False,True
10.2,0.09818181818181818,0.20545454545454547,0.10363636363636364,0.15454545454545454,0.39249999999999996,0.6218181818181818,0.3601986668634396,4.475,0.5871190830155423,0.5531578869876286,0.03396119602791362,0.8767174142406164,0.8713456918206111,0.7265933324890306,0.005371722420005404,0.10413860676007888,10.2,0.981051970666776,0.004125651736555698,0.37949372670915504,0.6015582439576208,0.8929466621936667,0.032833013669072285,0.7722792644433535,0.1206673977503133,0.9848846380657527,0.5658914788619712,0.8877272727272727,0.12233459322990096,0.11105630903889563,1.0,0.0,0.9451502836058168,91.24271938794115,0.0,0.00033068396949447723,0.8402269898365249,0.0,1.5,0.4,0.0036363636363636377,0.11438313476690021,0.05371506753949925,0.06356198240570513,0.08282398554427658,0.13013236512325332,0.0547134084075096,0.94670772932028,0.03430737841212476,0.0474386940731245,0.02738533689578514,0.07749145070634962,0.08082491589800016,0.07028685304441402,0.01659507636736584,0.23088665726322916,0.4,3.0,2.0,0.3088960647583008,2.0,0.017644116379052405,A_airpls4_p95,A_baseline_norm,airpls,none,airpls,none,none,{},mean,0,p95,p95,full,,False,True
10.2,0.09818181818181818,0.26,0.09863636363636362,0.17931818181818185,0.42272727272727273,0.6147727272727272,0.3762196641742096,4.25,0.6305343647233956,0.6045063365892804,0.0260280281341153,0.810091708553357,0.806460450533573,0.6567339079464632,0.003631258019784229,0.025830399509103825,10.2,0.9828360448405243,0.0037189074180465536,0.4228094790910072,0.5600265657495171,0.9398661284361041,0.019081490911232516,0.8635170212778135,0.07634910715829055,0.9863552263010469,0.5262350424617075,0.8305454545454545,0.07498520304466536,0.11629910577949265,1.0,0.0,0.9178862599571257,86.52701661469384,0.0,0.003242999378504658,0.20793035802045884,0.0,1.5,0.4,0.0036363636363636377,0.12282436203771882,0.04098248515966121,0.06848742867705024,0.07905425848280528,0.10358154014465244,0.0558123145379541,1.0142760150468149,0.039673658687011004,0.04916836140117014,0.02044673492124546,0.10333508899700936,0.10083966665576143,0.08431315166691124,0.030900562072484726,0.1015155716721952,0.4,3.0,0.0,0.3795557975769043,2.0,0.01707878123834081,A_rubberband6_robust,A_baseline_norm,rubberband,none,rubberband,none,none,{},mean,0,robust,robust,full,,False,True
10.2,0.09818181818181818,0.21500000000000002,0.09818181818181818,0.1565909090909091,0.3738636363636364,0.5897727272727273,0.3506378558310376,4.65,0.6848984619270923,0.6652415889775891,0.019656872949502985,0.810091708553357,0.806460450533573,0.6567339079464632,0.003631258019784229,0.025830399509103825,10.2,0.983747871548825,0.0036899566036329794,0.4639989722312876,0.5197488993175374,0.9695983559051676,0.01164316572106371,0.9196649229558854,0.04993343294928228,0.9849266548724753,0.48751121506864,0.866090909090909,0.05041055672781436,0.11478650855144479,1.0,0.0,0.9178862599571257,80.16903072659063,0.0,0.0,0.33512353154730945,0.0,1.5,0.4,0.0036363636363636377,0.11287032075374182,0.0036363636363636377,0.055769085494361006,0.07904510391153137,0.07603706265614271,0.05007731715323518,0.7679861323283674,0.041452965572469525,0.04940582785055401,0.01667266076503315,0.10333508899700936,0.10083966665576143,0.08431315166691124,0.030900562072484726,0.1015155716721952,0.4,3.0,0.0,0.30210237503051757,2.0,0.02140149291659461,A_rubberband6_p95,A_baseline_norm,rubberband,none,rubberband,none,none,{},mean,0,p95,p95,full,,False,True
10.2,0.09818181818181818,0.27,0.12318181818181817,0.1965909090909091,0.4154545454545455,0.6379545454545454,0.38663381378722284,4.175,0.5226556856043992,0.49257551060850435,0.03008017499589487,0.8801308298293945,0.8723821065740551,0.7264526983209187,0.007748723255339246,0.13589443987855288,10.2,0.9713532211268914,0.006554014023208672,0.29705120300023025,0.6743020181266612,0.8904350284260675,0.03335158602243648,0.7735532142333538,0.11688181419271362,0.9820671777482921,0.6328287416196327,0.9071818181818182,0.11850861906943633,0.14266949837443166,1.0,0.0,0.8239540221535296,90.05798647999632,0.0,0.0,0.8601658461175541,0.0,1.5,0.4,0.0036363636363636377,0.14474689711485147,0.05755486962492014,0.07571650258049364,0.11715189180823811,0.13611118220915636,0.0747430931253611,1.058037560010643,0.03428570076292448,0.040131947491308315,0.025433804742980314,0.07665521376676651,0.07937137870990395,0.0728935820717412,0.020389896533308333,0.2602093958287444,0.4,3.0,2.0,0.3049468517303467,2.0,0.033937429644827814,A_morph8_p95,A_baseline_norm,morph,none,morph,none,none,{},mean,0,p95,p95,full,,False,True
10.2,0.09818181818181818,0.20454545454545453,0.12818181818181817,0.16636363636363635,0.43886363636363634,0.6679545454545455,0.375986266889676,4.075,0.6195581133034377,0.5822317189218537,0.03732639438158404,0.4887222269708901,0.4508950888188856,0.3367562077999243,0.03782713815200447,0.1704956483042747,10.2,0.9898742412551773,1.1843077022180719e-05,0.39656369744779124,0.5933105438073862,0.966183227693263,4.391788611013578e-05,0.8710240507241881,0.09515917696907493,0.9863155437613642,0.5570969586052943,0.8931818181818182,0.09516040937099955,0.1372089209613263,1.0,0.0,1.1022444963993323,73.62539692689525,0.0,0.002230262163430227,0.7828443611860383,0.0,1.5,0.4,0.0036363636363636377,0.12329265223300823,0.052901483224354895,0.06652559985585409,0.10254690840286103,0.1020392984923312,0.061924851030251284,0.75,0.029003797324653607,0.04427013129008695,0.029437683892695066,0.06900868215561438,0.05595010167000488,0.03935324412232017,0.05687543277422791,0.27203990988668814,0.4,5.0,4.0,0.5177009582519532,2.0,0.03177565049340335,B_1_gaussian8,B_smoothing,asls,gaussian(sigma=2.0),asls,gaussian(sigma=2.0),none,{},mean,0,l2,l2,full,,False,True
10.2,0.09818181818181818,0.22000000000000003,0.12818181818181817,0.1740909090909091,0.4268181818181819,0.6629545454545455,0.3763217647251738,4.125,0.5986616002021398,0.5618229029883081,0.03683869721383175,0.5424327490027251,0.5205373155109997,0.3831174157365097,0.021895433491725357,0.09278839118088593,10.2,0.9896787533374048,1.2109259704230649e-05,0.3743739293173129,0.615304824020092,0.9596230366042355,5.243761479720151e-05,0.8589840539984962,0.10063898260573927,0.9835377659835863,0.5779148593630022,0.8960000000000001,0.10098709038344741,0.14108589816370465,1.0,0.0,1.0422420623697128,76.93346288818057,0.0,0.002965996122727576,0.7843927375799347,0.0,1.5,0.4,0.0036363636363636377,0.12632358335830365,0.052901483224354895,0.06628725984610699,0.0925783289444854,0.10411951938491977,0.058500861302955884,0.6609126351029605,0.030641153932833298,0.04511727798876066,0.028973387355777626,0.07309372199161743,0.07036376230142216,0.045177226996487053,0.04398787752620841,0.20069343892485797,0.4,5.0,4.0,0.5945892810821534,2.0,0.03379608308051856,B_1_whittaker10,B_smoothing,asls,whittaker(lam=5.0),asls,whittaker(lam=5.0),none,{},mean,0,l2,l2,full,,False,True
