cid,arm,si_peak_retention,si_peak_invention,si_peak_width_ratio,si_effective_rank,si_cross_analyte_duplicate_frac,si_negative_lobe_burden,si_edge_artefact_ratio,rejected,reject_reasons
BASE_raw_l2,baseline,1.0,0.0,1.0,61.958010481815016,0.3043478260869565,0.0,0.8600257245454065,True,sers_chemistry_drop|analyte_collapse
BASE_asls_sg_l2,baseline,1.0,0.0,1.0041025486964117,82.24360953952305,0.0,0.0025131678856775,0.8415188247020161,False,
BASE_asls_sg_snv,baseline,1.0,0.0,1.0041025486964117,95.93107375626288,0.0,0.4999999999999988,0.8579924117419818,True,sers_replicate_drop
BASE_asls_sg_area,baseline,1.0,0.0,1.0041025486964117,72.95133700795354,0.0,0.0025131678856752,0.8415188242102394,False,
BASE_asls_sg_l2_d1,baseline,0.8516483516483516,0.1999999999999999,1.017600808401137,109.0647866138052,0.0,0.4997284254290822,1.5305646190646724,True,sers_replicate_drop|peak_loss|peak_invention
BASE_asls_sg_l2_bgmean,baseline,1.0,0.0,1.009316547589889,80.61489655346142,0.0,0.0097527235655562,0.5622093009631037,True,sers_replicate_drop
A_none0_l2,A_baseline_norm,1.0,0.0,1.0,61.958010481815016,0.3043478260869565,0.0,0.8600257245454065,True,sers_chemistry_drop|analyte_collapse
A_none0_area,A_baseline_norm,1.0,0.0,1.0,54.39045835297337,0.3043478260869565,0.0,0.8600257240416649,True,sers_chemistry_drop|rank_collapse|analyte_collapse
A_none0_robust,A_baseline_norm,1.0,0.0,1.0,79.56813868706837,0.0144927536231884,0.0075643538635174,0.7887567651369942,False,
A_none0_p95,A_baseline_norm,1.0,0.0,1.0,57.291633276032805,0.3043478260869565,0.0,0.8600257245657057,True,sers_chemistry_drop|rank_collapse|analyte_collapse
A_none0_max,A_baseline_norm,1.0,0.0,1.0,39.36331471054478,0.3043478260869565,0.0,0.8600257245656688,True,sers_chemistry_drop|rank_collapse|analyte_collapse
A_none0_snv,A_baseline_norm,1.0,0.0,1.0,86.25157973497402,0.0,0.4999999999999988,2.008180221277751,False,
A_asls1_l2,A_baseline_norm,1.0,0.0,0.8453331042864389,96.3768723118362,0.0,0.0040070276147839,0.817954189314181,False,
A_asls1_area,A_baseline_norm,1.0,0.0,0.8453331042864425,83.80461337334435,0.0,0.0040070276147803,0.8179541888375305,False,
A_asls1_robust,A_baseline_norm,1.0,0.0,0.8453331042864389,99.22592326658402,0.0,0.0043073235197342,0.7938562065130078,True,sers_replicate_drop
A_asls1_p95,A_baseline_norm,1.0,0.0,0.8453331042864425,92.93767492327778,0.0,0.0040070276147842,0.8179541893341682,False,
A_asls1_max,A_baseline_norm,1.0,0.0,0.8453331042864389,86.66171985863653,0.0,0.0040070276147842,0.8179541893332555,False,
A_asls1_snv,A_baseline_norm,1.0,0.0,0.8453331042864389,107.72056245046235,0.0,0.4999999999999988,0.903094898173032,True,sers_replicate_drop
A_asls2_l2,A_baseline_norm,1.0,0.0,0.8720311581966744,95.1952408975369,0.0,0.0040671844859588,0.8379248035158373,False,
A_asls2_area,A_baseline_norm,1.0,0.0,0.8720311581966744,82.98260212576771,0.0,0.004067184485955,0.8379248030308537,False,
A_asls2_robust,A_baseline_norm,1.0,0.0,0.8720311581966744,98.45654774069553,0.0,0.0039735255261209,0.8233032322920295,True,sers_replicate_drop
A_asls2_p95,A_baseline_norm,1.0,0.0,0.8720311581966744,92.20214967762185,0.0,0.0040671844859591,0.8379248035396465,False,
A_asls2_max,A_baseline_norm,1.0,0.0,0.8720311581966744,85.81443652776663,0.0,0.004067184485959,0.8379248035386351,False,
A_asls2_snv,A_baseline_norm,1.0,0.0,0.8720311581966744,106.3825590050545,0.0,0.4999999999999988,0.890272333821188,True,sers_replicate_drop
A_asls3_l2,A_baseline_norm,1.0,0.0,0.9350565401302868,94.37418673707325,0.0,0.0050012610055456,0.7866965208691923,False,
A_asls3_area,A_baseline_norm,1.0,0.0,0.9350565401302868,82.53132988435857,0.0,0.005001261005541,0.7866965204191287,False,
A_asls3_robust,A_baseline_norm,1.0,0.0,0.9350565401302872,97.79738755528416,0.0,0.0038677614493415,0.7524943276259148,True,sers_replicate_drop
A_asls3_p95,A_baseline_norm,1.0,0.0,0.9350565401302868,91.58875246915484,0.0,0.005001261005546,0.7866965208947909,False,
A_asls3_max,A_baseline_norm,1.0,0.0,0.9350565401302868,85.31756642746647,0.0,0.0050012610055459,0.786696520892421,False,
A_asls3_snv,A_baseline_norm,1.0,0.0,0.9350565401302868,105.288336972179,0.0,0.4999999999999988,0.9057863739138357,True,sers_replicate_drop
A_airpls4_l2,A_baseline_norm,1.0,0.0,0.9451502836058168,93.822148590385,0.0,0.0003306839694944,0.8402269898161439,False,
A_airpls4_area,A_baseline_norm,1.0,0.0,0.9451502836058164,82.54436574469705,0.0,0.0003306839694941,0.8402269893255772,False,
A_airpls4_robust,A_baseline_norm,1.0,0.0,0.9451502836058164,97.98052042092296,0.0,0.0030710921015049,0.8066475208809234,True,sers_replicate_drop
A_airpls4_p95,A_baseline_norm,1.0,0.0,0.9451502836058168,91.24271938794116,0.0,0.0003306839694944,0.8402269898365249,False,
A_airpls4_max,A_baseline_norm,1.0,0.0,0.9451502836058168,83.71751014957826,0.0,0.0003306839694944,0.840226989835891,False,
A_airpls4_snv,A_baseline_norm,1.0,0.0,0.9451502836058168,105.41089123546156,0.0,0.4999999999999988,0.9067233902007754,True,sers_replicate_drop
A_arpls5_l2,A_baseline_norm,1.0,0.0,0.8867242675368427,106.33826891850792,0.0,0.0628029376616195,0.6936164308079307,True,sers_replicate_drop
A_arpls5_area,A_baseline_norm,1.0,0.0,0.8867242675368427,100.3598345756521,0.0,0.0628029376615619,0.6936164304208663,True,sers_replicate_drop
