analyte,outer_fold,rank_baseline,matched_cos_baseline,mismatched_cos_baseline,rank_BASE_raw_l2,matched_cos_BASE_raw_l2,rank_BASE_asls_sg_snv,matched_cos_BASE_asls_sg_snv,rank_BASE_asls_sg_l2_bgmean,matched_cos_BASE_asls_sg_l2_bgmean,rank_B_0_savgol6,matched_cos_B_0_savgol6,rank_D_scaled_mean2,matched_cos_D_scaled_mean2,family,raman_multi_source,rank_delta_best
alanine,0,7,0.4642098312512978,0.4537692075052916,8,0.7183985260225326,10,0.0380414095969784,9,-0.3963120181180584,3,0.2197341651683211,11,-0.0054246920662491,amino_acid,True,4
ergothioneine,0,5,0.4986763798023422,0.4851993021855381,9,0.9641994063772866,1,0.2973958049680213,1,0.4745294458653712,1,0.2132027561688912,1,0.2407136860983475,cofactor,False,4
fructose-6-phosphate,0,7,0.6031079444631273,0.563582600309197,1,0.9277407199566944,7,-0.0295889117265358,9,-0.4192617219916904,6,0.0871222195943144,6,0.138921635867269,saccharide,True,1
glutamate,0,3,0.5635751533650345,0.5287609809655993,2,0.8637157607149933,3,0.170018500085882,5,-0.3185376707644566,3,0.3132577171065432,3,0.1339193372968637,amino_acid,True,0
guanine,0,1,0.4942972737687225,0.3527485120407981,2,0.6340082951870556,1,0.3193013483419142,1,0.3828611542832854,1,0.3812216208296861,1,0.194102093051502,purine,True,0
lactate,0,7,0.5690082483984316,0.5407233217265076,10,0.9262607983393694,7,0.0570103364404562,3,-0.154616940502176,5,0.1872002311348142,6,0.0090700902558525,organic_acid,False,2
n-acetylglucosamine,0,5,0.6814293489056844,0.6285661338500299,5,0.9714029462274354,5,0.0691532256342584,11,-0.5508322949217966,5,0.1215131933585189,6,0.0523805644578373,saccharide,False,0
phosphate,0,3,0.5131149796581358,0.4659287900183918,3,0.8567260809858276,3,-0.007898021802817,5,-0.322258171240652,4,0.0767845061881395,2,0.0998669261048786,organic_acid,False,-1
proline,0,8,0.4881489951625296,0.475865436918608,11,0.7075492379499719,10,-0.1023665309168665,11,-0.4595717767006936,11,-0.1459279063197663,9,-0.0227584227561546,amino_acid,True,-3
tyrosine,0,7,0.4526030361176702,0.4444510092072705,8,0.9266285382850852,7,0.0719907025731487,10,-0.3580226051487494,10,0.0152411116550267,4,0.05826904714173,amino_acid,True,-3
uracil,0,5,0.3116730143249978,0.2973012933604135,8,0.6220023191226539,3,-0.0173087154113777,3,0.0311031379783712,2,0.0283978431316047,5,0.068019300022948,pyrimidine,True,3
acetyl-coa,1,1,0.8143186276377822,0.7531885455154183,1,0.9879723852960156,1,0.384115924394546,3,-0.4630836127279786,1,0.4103922734641206,2,0.1429014201467413,cofactor,False,0
albumin,1,9,0.8633486657128479,0.8711145672875391,1,0.9810321195310494,1,0.5092669482933545,1,0.7007072296400538,4,0.4843575362727484,1,0.1862984137201982,protein,False,5
cholesterol,1,10,0.5494992997733189,0.7242286108854699,10,0.9536380290949836,9,0.1096004261303517,2,0.0239164476343089,8,0.1443154659422874,3,0.0977202054506049,lipid,False,2
coenzyme a,1,2,0.8538351208478918,0.8195478182697867,3,0.9875602650231854,4,0.2593187691408282,9,-0.6594021019380899,2,0.2607977518480833,4,0.0870054408498341,cofactor,True,0
cysteine,1,2,0.4675972591327194,0.431300915857546,9,0.9048357159622435,2,0.0887769199574478,4,-0.4043938334858813,1,0.143475442358235,2,-0.0035282887817359,amino_acid,False,1
hydroxyproline,1,8,0.4522698506370686,0.45725809426096,7,0.7045032861546214,8,0.1150514927443183,7,-0.3176041619089166,5,0.1789714156829484,7,0.0603621289305746,amino_acid,False,3
mannose,1,5,0.7160912707537315,0.6988329297876825,5,0.9176235814228786,6,0.0719477201728525,5,-0.44952501295694,6,0.1348712631532657,6,0.1264871058804545,saccharide,False,-1
phosphoenolpyruvate,1,3,0.6258094784787965,0.5724956759442826,5,0.9474032035940242,3,0.0622356733850287,7,-0.4291939894832623,5,0.0760413116432756,5,0.1170863047578336,organic_acid,True,-2
serine,1,8,0.4562665290342199,0.4553805765308925,9,0.7279430768003082,9,0.0140106123049552,10,-0.4220411172569452,10,-0.0271423978431437,9,0.0306254000260125,amino_acid,True,-2
thymine,1,3,0.396804042902753,0.3470780077273054,3,0.8184120031318173,2,0.0502879962676532,3,-0.1940798279760853,2,0.0577895794920453,1,0.1333040973540172,pyrimidine,True,1
glutathione,2,3,0.6691674613213767,0.6282078351142933,1,0.9347929750407366,1,0.1969742553236251,2,0.1275779769623232,1,0.371248041382777,2,0.020713666628087,cofactor,True,2
glycerol,2,3,0.643072404597099,0.556123829570675,6,0.798200126467254,2,0.3512579642893542,5,-0.2227925163394058,2,0.3932316634049292,1,0.1979475246803133,polyol,True,1
glycogen,2,3,0.8885106858040915,0.8227669792610963,10,0.9723944813233962,3,0.2450645761449384,7,-0.4704897805735626,1,0.3206544163263307,4,0.1194546456072224,polysaccharide,False,2
methionine,2,1,0.6816964977024522,0.6227961603820368,4,0.9680872373974536,1,0.19648158127062,8,-0.4800654613875426,1,0.2986195139587415,1,0.0797480832336991,amino_acid,False,0
phosphatidylinositol,2,8,0.8614007893958421,0.8500043808160711,2,0.9594852770932868,7,0.0913298397323629,9,-0.7388969135525759,7,0.1825538569792519,7,0.0951531681615161,lipid,False,1
