cid,arm,rep_raman_replicate_cos,rep_sers_replicate_cos,rep_raman_replicate_margin,rep_sers_replicate_margin,rep_raman_between_analyte_cos,rep_sers_between_analyte_cos,rep_raman_replicate_var,rep_sers_replicate_var
BASE_raw_l2,baseline,0.9769976118440756,0.998514928223066,0.3029373700716964,0.0078711647330903,0.6740602417723791,0.9906437634899754,2.7754301286813436e-05,1.9286646427754457e-06
BASE_asls_sg_l2,baseline,0.988364317382032,0.9466389543376316,0.6447612349279075,0.1049385114935619,0.3436030824541246,0.8417004428440695,1.3497950003171784e-05,6.930005929931843e-05
BASE_asls_sg_snv,baseline,0.9839557146626212,0.5170867399513652,0.9103684664587716,0.3570272227790531,0.0735872482038497,0.1600595171723122,0.0116519492887014,0.3863306080388744
BASE_asls_sg_area,baseline,0.9883643173550064,0.9466389542959855,0.6447612349102525,0.104938511488506,0.3436030824447539,0.8417004428074796,8.883333756701344e-08,1.2988597070205354e-07
BASE_asls_sg_l2_d1,baseline,0.9562837384336068,0.5301114102171791,0.9203761578187312,0.3248393489852858,0.0359075806148756,0.2052720612318933,5.124489308188728e-05,0.0006102449217944
BASE_asls_sg_l2_bgmean,baseline,0.988364317382032,0.8140948310344696,0.6447612349279075,0.3743318807088171,0.3436030824541246,0.4397629503256524,1.3497950003171784e-05,0.0002414352843687
A_none0_l2,A_baseline_norm,0.9769976118440756,0.998514928223066,0.3029373700716964,0.0078711647330903,0.6740602417723791,0.9906437634899754,2.7754301286813436e-05,1.9286646427754457e-06
A_none0_area,A_baseline_norm,0.9769976118081368,0.9985149281757172,0.3029373700623777,0.0078711647325513,0.6740602417457591,0.9906437634431656,1.500456120379516e-07,3.1628830853489153e-09
A_none0_robust,A_baseline_norm,0.985506717509133,0.9517212217050128,0.4832047074946662,0.0857954098875494,0.5023020100144666,0.8659258118174634,0.0031459595484999,0.0175116860215686
A_none0_p95,A_baseline_norm,0.9769976118458836,0.998514928224974,0.3029373700722463,0.0078711647331077,0.6740602417736374,0.9906437634918664,0.0051484398291387,0.0010751740646852
A_none0_max,A_baseline_norm,0.976997611845668,0.9985149282249656,0.3029373700721625,0.0078711647331133,0.6740602417735053,0.990643763491852,0.0011406355737584,0.0012673596160693
A_none0_snv,A_baseline_norm,0.9781645915372964,0.8554122023794853,0.8141002685211612,0.2518615386902295,0.1640643230161352,0.6035506636892558,0.0156036960551844,0.1156702380963566
A_asls1_l2,A_baseline_norm,0.9771117966903846,0.8784927361568482,0.6688729697080179,0.128189210580876,0.3082388269823669,0.7503035255759722,2.689586942747244e-05,0.0001578016413524
A_asls1_area,A_baseline_norm,0.977111796665235,0.8784927361199582,0.6688729696909583,0.1281892105748482,0.3082388269742768,0.75030352554511,1.7022026322899393e-07,3.291003255436385e-07
A_asls1_robust,A_baseline_norm,0.9777890691387446,0.8417523934925812,0.6543190824459353,0.142450036910959,0.3234699866928092,0.6993023565816221,0.0047121260832348,0.0431051536399281
A_asls1_p95,A_baseline_norm,0.9771117966921768,0.8784927361584881,0.6688729697092424,0.1281892105811165,0.3082388269829343,0.7503035255773716,0.0048452243750287,0.0358716693733841
A_asls1_max,A_baseline_norm,0.9771117966918276,0.8784927361584159,0.6688729697090048,0.1281892105811214,0.308238826982823,0.7503035255772946,0.0005030010422905,0.0168146956970588
A_asls1_snv,A_baseline_norm,0.9678582795183855,0.4395829109238322,0.9149980607604846,0.3608826880084025,0.052860218757901,0.0787002229154297,0.0230344362634699,0.4483336712609059
A_asls2_l2,A_baseline_norm,0.9816073790406604,0.885159776485118,0.6509123874575589,0.1273359530732964,0.3306949915831015,0.7578238234118215,2.157249824122096e-05,0.0001491431474196
A_asls2_area,A_baseline_norm,0.9816073790152088,0.8851597764477204,0.6509123874409946,0.1273359530671994,0.3306949915742143,0.7578238233805209,1.349960704754097e-07,3.075559105116536e-07
A_asls2_robust,A_baseline_norm,0.9821226242426574,0.8465460280328448,0.6342603309236015,0.1426103191953716,0.347862293319056,0.703935708837473,0.0037765219053706,0.0417382187940827
