analyte,family,component_cosine,theme_cosine,theme_cosine_distinct,theme_null_mean,theme_separation,self_is_nearest_theme,dominant_theme_match,quadrant
hypoxanthine,purine,0.8443,0.9914,0.8269,0.475,0.3518,True,True,Q1 identity preserved (both)
phosphatidylinositol,lipid,0.8339,0.9888,0.4695,0.5101,-0.0407,False,True,"Q3 superficial coord match, theme changes"
glutathione,cofactor,0.7271,0.9858,0.6482,0.5213,0.1269,False,True,Q1 identity preserved (both)
coenzyme a,cofactor,0.6495,0.9852,0.7183,0.6938,0.0245,False,True,Q1 identity preserved (both)
acetyl-coa,cofactor,0.6495,0.9795,0.5083,0.5332,-0.0249,False,True,Q1 identity preserved (both)
xanthine,purine,0.8145,0.9751,0.9557,0.6076,0.3481,True,True,Q1 identity preserved (both)
riboflavin,cofactor,0.3394,0.972,0.7086,0.6597,0.0489,False,True,"Q2 latent redistribution, theme survives"
valine,amino_acid,0.4249,0.9668,0.2074,0.174,0.0333,False,False,Q4 poor transfer (both)
creatinine,small_nitrogenous,0.6877,0.9659,0.8747,0.7143,0.1604,True,True,Q1 identity preserved (both)
cysteine,amino_acid,0.58,0.9608,0.6942,0.6889,0.0053,False,True,Q1 identity preserved (both)
ergothioneine,cofactor,0.2852,0.9582,0.2507,0.3447,-0.0941,False,True,Q4 poor transfer (both)
glycogen,polysaccharide,0.6837,0.9572,0.0647,0.0727,-0.0081,False,False,"Q3 superficial coord match, theme changes"
methionine,amino_acid,0.5575,0.9546,0.8119,0.7509,0.061,False,True,Q1 identity preserved (both)
glutamate,amino_acid,0.3337,0.9535,0.1533,0.1489,0.0045,False,False,Q4 poor transfer (both)
tyrosine,amino_acid,0.236,0.9473,0.1874,0.1409,0.0465,False,True,Q4 poor transfer (both)
adenine,purine,0.3592,0.9466,0.733,0.7069,0.0261,False,True,"Q2 latent redistribution, theme survives"
isoleucine,amino_acid,0.5932,0.9379,-0.9043,-0.8225,-0.0818,False,False,"Q3 superficial coord match, theme changes"
leucine,amino_acid,0.4373,0.9349,-0.6361,-0.5114,-0.1246,False,False,Q4 poor transfer (both)
