analyte,family,mss_cosine,mss_top3_overlap,dominant_mss_match,gained_mss,lost_mss
hypoxanthine,purine,0.9642,1.0,False,sterol_ring_system,lipid_acyl_chain
phosphatidylinositol,lipid,0.9558,0.667,False,porphyrin_macrocycle,oxopurine_carbonyl
glutathione,cofactor,0.9554,0.667,True,purine_ring_breathing,flavin_redox_cofactor
coenzyme a,cofactor,0.9011,0.667,False,carboxylate_organic_acid,purine_ring_breathing
acetyl-coa,cofactor,0.9006,0.333,False,carboxylate_organic_acid,purine_ring_breathing
xanthine,purine,0.9303,1.0,True,pyrimidine_ring,oxopurine_carbonyl
riboflavin,cofactor,0.6387,0.0,False,carboxylate_organic_acid,flavin_redox_cofactor
valine,amino_acid,0.8199,0.333,True,sulfur_heterocycle_thione,lipid_acyl_chain
creatinine,small_nitrogenous,0.6521,0.667,True,carboxylate_organic_acid,sulfur_heterocycle_thione
cysteine,amino_acid,0.8088,0.333,False,pyrimidine_ring,oxopurine_carbonyl
ergothioneine,cofactor,0.7263,0.0,False,flavin_redox_cofactor,sulfur_heterocycle_thione
glycogen,polysaccharide,0.9023,0.333,True,sulfur_heterocycle_thione,glycan_co_network
methionine,amino_acid,0.8735,0.667,False,pyrimidine_ring,purine_ring_breathing
glutamate,amino_acid,0.6553,0.333,False,sulfur_heterocycle_thione,flavin_redox_cofactor
tyrosine,amino_acid,0.6292,0.333,False,carboxylate_organic_acid,aromatic_ring_residue
adenine,purine,0.7405,0.0,False,pyrimidine_ring,sterol_ring_system
isoleucine,amino_acid,0.8301,0.0,False,carboxylate_organic_acid,lipid_acyl_chain
leucine,amino_acid,0.7764,0.0,False,pyrimidine_ring,aromatic_ring_residue
pyruvate,organic_acid,0.8026,0.667,False,sulfur_heterocycle_thione,carboxylate_organic_acid
phosphoenolpyruvate,organic_acid,0.8211,0.667,True,sulfur_heterocycle_thione,carboxylate_organic_acid
tryptophan,amino_acid,0.6793,0.0,False,sulfur_heterocycle_thione,flavin_redox_cofactor
albumin,protein,0.879,0.333,False,purine_ring_breathing,protein_amide_backbone
histidine,amino_acid,0.8677,0.333,False,carboxylate_organic_acid,glycan_co_network
galactose,saccharide,0.7966,0.333,False,sulfur_heterocycle_thione,glycan_co_network
phosphate,organic_acid,0.6495,0.667,True,purine_ring_breathing,carboxylate_organic_acid
cholesterol,lipid,0.814,0.333,False,carboxylate_organic_acid,protein_amide_backbone
acetoacetate,organic_acid,0.7716,0.333,True,pyrimidine_ring,aromatic_ring_residue
urate,purine,0.7488,0.333,False,purine_ring_breathing,carboxylate_organic_acid
n-acetylglucosamine,saccharide,0.8527,0.333,False,purine_ring_breathing,glycan_co_network
alanine,amino_acid,0.6624,0.0,False,carboxylate_organic_acid,aromatic_ring_residue
mannose,saccharide,0.7375,0.333,False,carboxylate_organic_acid,glycan_co_network
urea,small_nitrogenous,0.5222,0.333,False,sulfur_heterocycle_thione,aromatic_ring_residue
guanine,purine,0.8745,1.0,True,aromatic_ring_residue,oxopurine_carbonyl
proline,amino_acid,0.8426,0.0,False,carboxylate_organic_acid,glycan_co_network
ascorbate,organic_acid,0.674,0.0,False,carboxylate_organic_acid,lipid_acyl_chain
serine,amino_acid,0.6897,0.333,False,carboxylate_organic_acid,aromatic_ring_residue
glucose,saccharide,0.5358,0.0,False,carboxylate_organic_acid,glycan_co_network
citrate,organic_acid,0.6956,0.667,True,glycan_co_network,carboxylate_organic_acid
phenylalanine,amino_acid,0.5299,0.333,False,carboxylate_organic_acid,aromatic_ring_residue
fructose-6-phosphate,saccharide,0.6931,0.333,False,carboxylate_organic_acid,glycan_co_network
hydroxyproline,amino_acid,0.6319,0.0,False,carboxylate_organic_acid,aromatic_ring_residue
arginine,amino_acid,0.7433,0.333,False,carboxylate_organic_acid,glycan_co_network
glycine,amino_acid,0.8973,0.333,False,carboxylate_organic_acid,flavin_redox_cofactor
glycerol,polyol,0.5963,0.0,False,carboxylate_organic_acid,glycan_co_network
lactate,organic_acid,0.5653,0.0,False,sulfur_heterocycle_thione,glycan_co_network
fructose,saccharide,0.5823,0.333,False,carboxylate_organic_acid,glycan_co_network
thymine,pyrimidine,0.5425,0.333,False,carboxylate_organic_acid,pyrimidine_ring
stearate,lipid,0.3722,0.333,False,carboxylate_organic_acid,lipid_acyl_chain
triolein,lipid,0.3694,0.0,False,carboxylate_organic_acid,lipid_acyl_chain
oleate,lipid,0.3648,0.0,False,sulfur_heterocycle_thione,lipid_acyl_chain
uracil,pyrimidine,0.4858,0.333,False,sulfur_heterocycle_thione,pyrimidine_ring
