analyte,family,expected_theme,n_raman,n_sers,component_cosine,component_tier,theme_cosine,theme_tier,theme_cosine_distinct,theme_null_mean,theme_separation,self_is_nearest_theme,self_theme_rank,dominant_theme_match,raman_dominant,sers_dominant,top2_theme_overlap,top3_theme_jaccard,expected_rank_raman,expected_rank_sers,expected_retained_top1,expected_retained_top3,mss_cosine,mss_top3_overlap,dominant_mss_match,theme_redistribution,l1_theme_shift,theme_jsd,gained_theme,lost_theme,gained_component,lost_component,gained_mss,lost_mss,ood_raman,ood_sers,confidence_raman,confidence_sers,quadrant
hypoxanthine,purine,nucleic_purine,3,5,0.8443,Excellent,0.9914,Excellent,0.8269,0.475,0.3518,True,1,True,nucleic_purine,nucleic_purine,1.0,0.5,1,1,True,True,0.9642,1.0,False,0.0086,0.1248,0.0068,nucleic_pyrimidine,lipid_acyl,c23,c19,sterol_ring_system,lipid_acyl_chain,0.0752,0.1313,0.2639,0.2463,Q1 identity preserved (both)
phosphatidylinositol,lipid,lipid_acyl|sterol_membrane,3,5,0.8339,Excellent,0.9888,Excellent,0.4695,0.5101,-0.0407,False,39,True,nucleic_purine,nucleic_purine,1.0,1.0,7,7,False,False,0.9558,0.667,False,0.0112,0.1339,0.0061,nucleic_pyrimidine,saccharide_glycan,c21,c19,porphyrin_macrocycle,oxopurine_carbonyl,0.0622,0.1654,0.2534,0.1853,"Q3 superficial coord match, theme changes"
glutathione,cofactor,sulfur_antioxidant,4,5,0.7271,Good,0.9858,Excellent,0.6482,0.5213,0.1269,False,14,True,nucleic_purine,nucleic_purine,1.0,1.0,4,5,False,False,0.9554,0.667,True,0.0142,0.1405,0.0063,nucleic_purine,sulfur_antioxidant,c23,c22,purine_ring_breathing,flavin_redox_cofactor,0.1069,0.1361,0.2682,0.2291,Q1 identity preserved (both)
coenzyme a,cofactor,sulfur_antioxidant|redox_broad,4,5,0.6495,Moderate,0.9852,Excellent,0.7183,0.6938,0.0245,False,28,True,nucleic_purine,nucleic_purine,1.0,1.0,5,5,False,False,0.9011,0.667,False,0.0148,0.1591,0.0097,organic_acid_metabolism,lipid_acyl,c23,c3,carboxylate_organic_acid,purine_ring_breathing,0.0503,0.1735,0.2917,0.1931,Q1 identity preserved (both)
acetyl-coa,cofactor,sulfur_antioxidant|redox_broad,3,5,0.6495,Moderate,0.9795,Excellent,0.5083,0.5332,-0.0249,False,33,True,nucleic_purine,nucleic_purine,1.0,0.5,5,5,False,False,0.9006,0.333,False,0.0205,0.1683,0.0102,organic_acid_metabolism,lipid_acyl,c19,c3,carboxylate_organic_acid,purine_ring_breathing,0.032,0.1539,0.318,0.1938,Q1 identity preserved (both)
xanthine,purine,nucleic_purine,3,5,0.8145,Excellent,0.9751,Excellent,0.9557,0.6076,0.3481,True,1,True,nucleic_purine,nucleic_purine,1.0,1.0,1,1,True,True,0.9303,1.0,True,0.0249,0.3287,0.0389,organic_acid_metabolism,nucleic_purine,c19,c15,pyrimidine_ring,oxopurine_carbonyl,0.0277,0.1743,0.4894,0.2908,Q1 identity preserved (both)
riboflavin,cofactor,redox_broad,3,5,0.3394,Weak,0.972,Excellent,0.7086,0.6597,0.0489,False,25,True,nucleic_purine,nucleic_purine,1.0,0.5,9,11,False,False,0.6387,0.0,False,0.028,0.2373,0.0262,organic_acid_metabolism,nucleic_pyrimidine,c23,c0,carboxylate_organic_acid,flavin_redox_cofactor,0.1044,0.1289,0.4031,0.2067,"Q2 latent redistribution, theme survives"
valine,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.4249,Weak,0.9668,Excellent,0.2074,0.174,0.0333,False,26,False,saccharide_glycan,nucleic_purine,1.0,1.0,4,4,False,False,0.8199,0.333,True,0.0332,0.2035,0.016,protein_peptide,saccharide_glycan,c19,c12,sulfur_heterocycle_thione,lipid_acyl_chain,0.0323,0.1585,0.3982,0.199,Q4 poor transfer (both)
creatinine,small_nitrogenous,organic_acid_metabolism,3,5,0.6877,Good,0.9659,Excellent,0.8747,0.7143,0.1604,True,1,True,nucleic_purine,nucleic_purine,0.5,0.5,3,3,False,True,0.6521,0.667,True,0.0341,0.2698,0.0353,nucleic_pyrimidine,protein_peptide,c23,c19,carboxylate_organic_acid,sulfur_heterocycle_thione,0.056,0.1536,0.5404,0.1999,Q1 identity preserved (both)
cysteine,amino_acid,sulfur_antioxidant,3,5,0.58,Moderate,0.9608,Excellent,0.6942,0.6889,0.0053,False,34,True,nucleic_purine,nucleic_purine,1.0,1.0,6,5,False,False,0.8088,0.333,False,0.0392,0.2496,0.0346,nucleic_pyrimidine,nucleic_purine,c23,c15,pyrimidine_ring,oxopurine_carbonyl,0.0947,0.1228,0.3953,0.2075,Q1 identity preserved (both)
ergothioneine,cofactor,sulfur_antioxidant,3,5,0.2852,Weak,0.9582,Excellent,0.2507,0.3447,-0.0941,False,45,True,nucleic_purine,nucleic_purine,1.0,0.5,4,5,False,False,0.7263,0.0,False,0.0418,0.1726,0.0196,lipid_acyl,nucleic_purine,c18,c21,flavin_redox_cofactor,sulfur_heterocycle_thione,0.1053,0.307,0.3434,0.2571,Q4 poor transfer (both)
glycogen,polysaccharide,saccharide_glycan,4,5,0.6837,Good,0.9572,Excellent,0.0647,0.0727,-0.0081,False,33,False,saccharide_glycan,nucleic_purine,1.0,1.0,1,2,False,True,0.9023,0.333,True,0.0428,0.2392,0.0201,nucleic_purine,saccharide_glycan,c23,c18,sulfur_heterocycle_thione,glycan_co_network,0.0396,0.137,0.2723,0.211,"Q3 superficial coord match, theme changes"
methionine,amino_acid,sulfur_antioxidant,4,5,0.5575,Moderate,0.9546,Excellent,0.8119,0.7509,0.061,False,16,True,nucleic_purine,nucleic_purine,0.5,1.0,7,5,False,False,0.8735,0.667,False,0.0454,0.257,0.0186,saccharide_glycan,nucleic_purine,c23,c22,pyrimidine_ring,purine_ring_breathing,0.0497,0.1276,0.3967,0.1989,Q1 identity preserved (both)
