component,analyte,loading,normalized_loading,contribution_pct,molecular_class,chemical_family,subfamily,molecular_weight,biochemical_role
0,riboflavin,0.3878504908253046,0.9999999999974217,11.45845132336596,cofactor/small-molecule,cofactor,unavailable,unavailable,unavailable
0,riboﬂavin,0.38686380891194294,0.9974560250980744,11.429301310813852,cofactor/small-molecule,cofactor,unavailable,unavailable,unavailable
0,tryptophan,0.1289133044056081,0.33237886106824804,3.8085470004761577,protein/peptide,amino_acid,aromatic amino acid,unavailable,unavailable
0,hemoglobin,0.10577602846802055,0.272723719499923,3.124991464625237,protein/peptide,protein,unavailable,unavailable,unavailable
0,myoglobin,0.09928088057866526,0.2559771946327827,2.9331022245990774,protein/peptide,protein,unavailable,unavailable,unavailable
0,histidine,0.09250842408814479,0.23851568136747278,2.733020324815699,protein/peptide,amino_acid,aromatic amino acid,unavailable,unavailable
0,leucine,0.09035318591380526,0.23295880255639315,2.669347099448935,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
0,(+)-glucose,0.07177745786645848,0.18506475965400643,2.120555540171321,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
0,cytochrome c,0.06993929873216213,0.18032540988451096,2.0662499315330116,protein/peptide,protein,unavailable,unavailable,unavailable
0,horseradish peroxidase,0.06964004975787752,0.17955385233498442,2.0574090769085633,protein/peptide,protein,unavailable,unavailable,unavailable
0,lactalbumin,0.06628663925676496,0.1709077101218646,1.9583376772243746,protein/peptide,protein,unavailable,unavailable,unavailable
0,valine,0.05894909303116523,0.15198921859187503,1.7415610629159193,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
0,aspartic acid,0.05736146687317997,0.1478958212763196,1.6946570690283091,cofactor/small-molecule,organic_acid,unavailable,unavailable,unavailable
0,glutathione transferase,0.054966300768611934,0.14172033314050414,1.6238955388258616,protein/peptide,protein,unavailable,unavailable,unavailable
0,isoleucine,0.05451879473093119,0.14056652246276763,1.6106746553386035,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
0,α-chymotrypsinogen a (type ii),0.05447919374309418,0.14046441871719123,1.60950470453998,protein/peptide,protein,unavailable,unavailable,unavailable
0,(+)-lactose,0.04906367627327983,0.12650151910018484,1.4495114989450546,carbohydrate,saccharide,disaccharide,unavailable,unavailable
0,ferritin,0.04739056750646142,0.1221877208547478,1.4000820517307653,protein/peptide,protein,unavailable,unavailable,unavailable
0,t-rna,0.04717927156721938,0.12164293376735263,1.3938396354082336,nucleic,nucleic_acid,unavailable,unavailable,unavailable
0,b-dna,0.04708478107850729,0.12139930770280705,1.3910480580065274,nucleic,nucleic_acid,unavailable,unavailable,unavailable
0,asparagine,0.046171447334158094,0.11904444734823237,1.3640650052602397,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
0,albumin,0.041832107570288886,0.10785627080467723,1.2358658289383575,protein/peptide,protein,unavailable,unavailable,unavailable
0,melanin,0.041292386125553054,0.10646469993522707,1.2199205818677077,unassigned,unknown,unavailable,unavailable,unavailable
0,glutamate,0.04059101033512629,0.10465633354916809,1.1991995036581864,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
0,major proteinase,0.039425692791578995,0.10165178006500306,1.164771973811343,protein/peptide,protein,unavailable,unavailable,unavailable
0,alb,0.03918808592595068,0.10103915517152387,1.1577522412899113,protein/peptide,protein,unavailable,unavailable,unavailable
0,triosephosphate isomerase,0.037677097883848945,0.09714335491384565,1.113112403671634,protein/peptide,protein,unavailable,unavailable,unavailable
0,lactate,0.037596138471065715,0.09693461619957783,1.110720581274888,cofactor/small-molecule,organic_acid,unavailable,unavailable,unavailable
0,trypsinogen,0.03749556743058066,0.09667531256876176,1.1077493632432023,protein/peptide,protein,unavailable,unavailable,unavailable
0,carbonic anhydrase,0.035896773656199775,0.09255312164159624,1.0605154391585336,protein/peptide,protein,unavailable,unavailable,unavailable
0,ubiquitin,0.03323995019100994,0.08570299890608146,0.9820236412343527,protein/peptide,protein,unavailable,unavailable,unavailable
0,xanthine,0.032461253618870985,0.08369527533589863,0.9590182384345788,nucleic,purine,purine base/derivative,unavailable,unavailable
0,papain,0.03207908337523705,0.08270992079162634,0.9477276013527483,protein/peptide,protein,unavailable,unavailable,unavailable
0,malic acid,0.031817980919995006,0.08203671691173496,0.9400137274642918,cofactor/small-molecule,organic_acid,unavailable,unavailable,unavailable
0,elastase,0.031626357105045244,0.08154265072003952,0.9343524940562141,protein/peptide,protein,unavailable,unavailable,unavailable
0,acetyl-coa,0.03162009730185445,0.08152651098749088,0.9341675577164331,cofactor/small-molecule,cofactor,unavailable,unavailable,unavailable
0,glucosamine,0.03119302336840087,0.08042538067167328,0.9215503095919219,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
0,cysteine,0.030509491342335646,0.07866302109695937,0.9013563981907426,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
0,glycogen,0.030220498902109948,0.07791790810352212,0.8928185572250122,carbohydrate,polysaccharide,unavailable,unavailable,unavailable
0,hydroxyproline,0.029475553072281127,0.0759972045142557,0.8708102686407321,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
0,keratin,0.028270619508400836,0.072890508526033,0.8352123438830941,protein/peptide,protein,unavailable,unavailable,unavailable
0,a-dna,0.025484883632122864,0.0657080092327021,0.7529120253501395,nucleic,nucleic_acid,unavailable,unavailable,unavailable
0,pepsinogen,0.025331474014512485,0.06531247120648086,0.7483797721301313,protein/peptide,protein,unavailable,unavailable,unavailable
0,xylanase,0.024752373167347196,0.0638193679080126,0.7312711206638315,protein/peptide,protein,unavailable,unavailable,unavailable
0,glucose,0.024552654043061777,0.06330442947423642,0.7253707236858616,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
0,phenylalanine,0.0240847413446324,0.062098004035834875,0.7115469565246314,protein/peptide,amino_acid,aromatic amino acid,unavailable,unavailable
0,trypsin,0.02390953584453887,0.0616462694003565,0.7063707771929106,protein/peptide,protein,unavailable,unavailable,unavailable
0,amylose,0.02356272561826115,0.06075208405192791,0.6961247979038483,carbohydrate,polysaccharide,unavailable,unavailable,unavailable
0,lectin,0.023200227002120308,0.05981744912245148,0.6854153290592974,protein/peptide,protein,unavailable,unavailable,unavailable
0,cholesterol,0.02294549790849537,0.059160677764286525,0.6778897464211638,lipid,lipid,unavailable,unavailable,unavailable
0,pepsin,0.022770063972383032,0.058708354149229126,0.6727068182956064,protein/peptide,protein,unavailable,unavailable,unavailable
0,thaumatin,0.022577232121610516,0.05821117326295078,0.6670098953112633,protein/peptide,protein,unavailable,unavailable,unavailable
0,amylopectin,0.021825217652534357,0.05627224450853818,0.6447927745592947,carbohydrate,polysaccharide,unavailable,unavailable,unavailable
0,2-deoxy-d-ribose,0.02135608829199896,0.05506268213429462,0.6309330629714142,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
0,lactose,0.020621536567576402,0.05316877780312408,0.6092318523815287,carbohydrate,saccharide,disaccharide,unavailable,unavailable
0,β-d-glucose,0.020346327587489003,0.05245920288547714,0.6011012227273689,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
0,coenzyme a,0.02017769215246734,0.05202440793481874,0.5961191459495914,cofactor/small-molecule,cofactor,unavailable,unavailable,unavailable
0,insulin,0.019844215467377323,0.05116460063025775,0.5862670858027794,protein/peptide,protein,unavailable,unavailable,unavailable
0,serine,0.017081746440161114,0.04404209055857821,0.5046541508460451,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
0,elastin,0.01682649837986747,0.043383981141854655,0.49711323612905006,protein/peptide,protein,unavailable,unavailable,unavailable
0,phosphoenolpyruvate,0.015436383379237636,0.03979982943002303,0.45604440820336273,cofactor/small-molecule,organic_acid,unavailable,unavailable,unavailable
0,glucose oxidase,0.015003699343660075,0.0386842345144262,0.443261418166369,protein/peptide,protein,unavailable,unavailable,unavailable
0,mannose,0.013851623277201956,0.035713821704057826,0.40922508756837245,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
0,(-)-fructose,0.012370672027803668,0.03189546570238521,0.36547264118781175,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
