component,shannon_entropy_family,shannon_entropy_analyte,dominant_class,dominant_class_fraction,dominant_family,class_purity,enrichment_vs_corpus,mutual_information_family,n_chemical_families,avg_molecular_similarity,avg_spectral_similarity_top,avg_loading_concentration,coherence_rank
2,0.3429265759865506,0.8356489498433614,protein/peptide,0.8108706488951329,protein,0.8033772376876516,4.192624959160551,0.42338245334006724,7,unavailable,0.9369568915906642,0.20689469726010834,1
12,0.6127467088553991,0.8484590392377092,carbohydrate,0.5542369882204534,saccharide,0.5443969478864042,3.367195936906192,0.40130050404660444,11,unavailable,0.5291392762940581,0.2715439357942118,2
10,0.6437367077951802,0.8429776706978611,carbohydrate,0.5804894274953312,saccharide,0.5209810319097364,3.222364160310661,0.34446446698563754,12,unavailable,0.5349950886449557,0.2806215482337969,3
4,0.7470184516065257,0.8894920680058745,carbohydrate,0.476068093530822,saccharide,0.4286280736571199,2.6511440111220845,0.2172518205237014,14,unavailable,0.48118311909425476,0.2329408170150715,4
23,0.7682999786607629,0.7925313274180651,cofactor/small-molecule,0.47341015580771695,organic_acid,0.4276875487852414,5.951985053845111,0.32536506542680566,12,unavailable,0.44656982251283517,0.4279355029413535,5
20,0.7305466097693216,0.8161946773789873,carbohydrate,0.41112384579826183,saccharide,0.4001653720844986,2.475096931025849,0.3122018226653648,11,unavailable,0.3483561908215543,0.3609570042161039,6
11,0.7226942365224523,0.8514406445489748,protein/peptide,0.5297262866867324,amino_acid,0.3709966915141734,3.6444969107210783,0.3563736378188021,13,unavailable,0.495386592019007,0.303558325313378,7
18,0.7132782912598213,0.822464881133956,carbohydrate,0.611867231184532,saccharide,0.36686461422875855,2.2691255768823604,0.32364695450014963,12,unavailable,0.5350985522528569,0.27489096868635726,8
8,0.7422198446270392,0.763299629367235,protein/peptide,0.42766956572876985,protein,0.3598552142633539,1.8779943994270771,0.33603045180195623,12,unavailable,0.4261869557484046,0.46048131115851465,9
16,0.6932842469093436,0.8366341235796423,lipid,0.7668595633889441,triglyceride,0.35037830831869604,3.657073593038219,0.2967938253197761,11,unavailable,0.9126556297101581,0.21565248815624075,10
6,0.7509994279005583,0.8087264766424257,protein/peptide,0.4698717582933224,protein,0.33494053628184,1.7479709237117302,0.4428056989813533,11,unavailable,0.46876372385737153,0.37381818031414166,11
0,0.6748484203405716,0.849007815122347,protein/peptide,0.5224793116000649,protein,0.33266546822616366,1.7360979122962312,0.5154272456144592,10,unavailable,0.4970869845376189,0.3275439332388029,12
1,0.65945474370659,0.8876331498622613,lipid,0.8089247898430093,triglyceride,0.3216331093605553,3.357045578915756,0.7122979479175918,9,unavailable,0.8409067288478277,0.12363208930124707,13
15,0.7335815544840713,0.8193035512711883,protein/peptide,0.35898726013726756,purine,0.3026679382962682,10.109109138757715,0.3614757008831124,10,unavailable,0.3974306448201391,0.40836993589763587,14
7,0.7378403203632794,0.8506805733826444,lipid,0.5320787440070198,protein,0.2934586137066285,1.5314871402734749,0.33345672522848024,13,unavailable,0.7478962005565818,0.2796069720610102,15
21,0.8068169955936663,0.8430957726428868,carbohydrate,0.31264163876003614,saccharide,0.2925140596237101,1.8092536280317568,0.2852943995120263,14,unavailable,0.33567181575093147,0.3473632387741733,16
5,0.7057391573268582,0.8191685208269176,protein/peptide,0.4348766838368048,amino_acid,0.2812317469782144,2.7626883379353195,0.39200170351498315,10,unavailable,0.4174927541601743,0.3369021358563379,17
14,0.7856330314649447,0.8492343049024574,protein/peptide,0.31302770209520725,organic_acid,0.2796504380276261,3.891801929163636,0.2904800792135593,12,unavailable,0.4375534512068363,0.2874696780664515,18
17,0.778793513756519,0.8153923774248897,nucleic,0.4145107893818802,pyrimidine,0.25259581987848456,14.061167305786237,0.36190598607908087,11,unavailable,0.33126650742729674,0.38072714194146007,19
9,0.8130134702117248,0.867601529654506,protein/peptide,0.417711096531831,amino_acid,0.24221127471753207,2.3793695810253235,0.2310284483282028,12,unavailable,0.47401063556693007,0.31006298367462454,20
22,0.7838502453760031,0.8974348671584591,protein/peptide,0.436716685520407,protein,0.22226920395157362,1.1599674081162212,0.37343314436562297,13,unavailable,0.43913757041322155,0.20692934430458315,21
3,0.8189714328459712,0.8002844430828457,lipid,0.31962859562004614,sterol,0.21724527275825395,4.031106727772801,0.4160939336831053,11,unavailable,0.4582250874558603,0.3635245050303488,22
19,0.8344711775883974,0.8332113481510072,cofactor/small-molecule,0.30775444336139574,protein,0.1918887416475513,1.001419370467932,0.3137441919058704,14,unavailable,0.3546691364754845,0.3266318374636522,23
13,0.8826303160864567,0.833658086827372,nucleic,0.2737407899282386,pyrimidine,0.1865991759474999,10.387354127165933,0.3010453959622723,15,unavailable,0.4376189767823639,0.31856492473744596,24
