analyte,family,purine_share_raman,purine_share_sers,delta_purine,L1_latent_fingerprint,sers_dominant
oleate,lipid,0.0369,0.2126,0.1757,0.264,nucleic_purine
triolein,lipid,0.0386,0.2016,0.163,0.3138,nucleic_purine
arginine,amino_acid,0.0708,0.2094,0.1386,0.4943,nucleic_purine
urate,purine,0.127,0.2638,0.1368,0.644,nucleic_purine
glycerol,polyol,0.0727,0.2093,0.1365,0.47,nucleic_purine
serine,amino_acid,0.0726,0.2058,0.1332,0.3536,nucleic_purine
phenylalanine,amino_acid,0.075,0.2044,0.1295,0.3007,nucleic_purine
fructose-6-phosphate,saccharide,0.0773,0.202,0.1247,0.3473,nucleic_purine
lactate,organic_acid,0.0858,0.2072,0.1214,0.402,nucleic_purine
fructose,saccharide,0.0762,0.1958,0.1196,0.3411,nucleic_purine
glycine,amino_acid,0.0814,0.1931,0.1117,0.2465,nucleic_purine
hydroxyproline,amino_acid,0.0918,0.2035,0.1117,0.241,nucleic_purine
uracil,pyrimidine,0.0961,0.2049,0.1088,0.0562,nucleic_purine
n-acetylglucosamine,saccharide,0.0981,0.2033,0.1051,0.5987,nucleic_purine
proline,amino_acid,0.1109,0.2104,0.0996,0.31,nucleic_purine
urea,small_nitrogenous,0.0503,0.1459,0.0955,0.6674,saccharide_glycan
mannose,saccharide,0.1329,0.2135,0.0806,0.6013,nucleic_purine
isoleucine,amino_acid,0.1347,0.2152,0.0804,0.5932,nucleic_purine
ascorbate,organic_acid,0.1359,0.2157,0.0798,0.3917,nucleic_purine
albumin,protein,0.1352,0.2109,0.0757,0.6025,nucleic_purine
stearate,lipid,0.1328,0.202,0.0692,0.3209,nucleic_purine
histidine,amino_acid,0.1451,0.2115,0.0664,0.4868,nucleic_purine
alanine,amino_acid,0.136,0.2005,0.0645,0.2553,nucleic_purine
tryptophan,amino_acid,0.1517,0.2155,0.0638,0.3394,nucleic_purine
cholesterol,lipid,0.1533,0.2155,0.0622,0.3357,nucleic_purine
glutamate,amino_acid,0.1498,0.2075,0.0577,0.3337,nucleic_purine
leucine,amino_acid,0.1475,0.1956,0.0481,0.4373,nucleic_purine
glycogen,polysaccharide,0.1648,0.2102,0.0454,0.6837,nucleic_purine
glutathione,cofactor,0.1809,0.2228,0.0419,0.7271,nucleic_purine
acetoacetate,organic_acid,0.1624,0.2007,0.0383,0.423,nucleic_purine
galactose,saccharide,0.169,0.2071,0.0381,0.4462,nucleic_purine
glucose,saccharide,0.1717,0.1958,0.024,0.2555,nucleic_purine
tyrosine,amino_acid,0.1802,0.2008,0.0205,0.236,nucleic_purine
valine,amino_acid,0.2057,0.2132,0.0076,0.4249,nucleic_purine
hypoxanthine,purine,0.2229,0.2268,0.0039,0.8443,nucleic_purine
phosphate,organic_acid,0.1989,0.201,0.0021,0.361,nucleic_purine
pyruvate,organic_acid,0.2195,0.2125,-0.007,0.6083,nucleic_purine
phosphoenolpyruvate,organic_acid,0.2202,0.2047,-0.0154,0.6177,nucleic_purine
phosphatidylinositol,lipid,0.2151,0.1943,-0.0208,0.8339,nucleic_purine
coenzyme a,cofactor,0.2291,0.2061,-0.0229,0.6495,nucleic_purine
ergothioneine,cofactor,0.1709,0.1456,-0.0252,0.2852,nucleic_purine
riboflavin,cofactor,0.2342,0.2087,-0.0254,0.3394,nucleic_purine
acetyl-coa,cofactor,0.2308,0.1944,-0.0364,0.6495,nucleic_purine
creatinine,small_nitrogenous,0.2676,0.2014,-0.0662,0.6877,nucleic_purine
thymine,pyrimidine,0.281,0.1959,-0.0852,0.2704,nucleic_purine
citrate,organic_acid,0.2798,0.1865,-0.0933,0.6183,nucleic_purine
cysteine,amino_acid,0.3034,0.2033,-0.1001,0.58,nucleic_purine
methionine,amino_acid,0.3068,0.2035,-0.1033,0.5575,nucleic_purine
xanthine,purine,0.4711,0.3626,-0.1085,0.8145,nucleic_purine
adenine,purine,0.3206,0.205,-0.1157,0.3592,nucleic_purine
guanine,purine,0.5102,0.258,-0.2522,0.631,nucleic_purine
