analyte,L1_latent_fingerprint,L4_theme_rank_rho,serum_spike_displacement,serum_direction_cos,serum_vs_pureSERS_cos
phosphatidylinositol,0.8339,0.9909,0.0169092719159596,0.7265199040500638,0.0561647342804916
coenzyme a,0.6495,0.9818,0.0329535468224184,0.8677999588660377,-0.2285321310039242
glutathione,0.7271,0.9818,0.0287263633957062,0.9123352713521604,-0.1048114509123082
hypoxanthine,0.8443,0.9545,0.1137120651570644,0.9834389463355594,0.8887682273459602
phosphate,0.361,0.9545,0.0127269291824767,0.6830775490682282,0.0436825001948724
glycogen,0.6837,0.9545,0.0293849568318062,0.8857474525171346,0.0580519437453048
creatinine,0.6877,0.9545,0.0181957267445735,0.8326698451421578,0.5842931221425853
valine,0.4249,0.9455,0.0336494288770981,0.7393679695717867,0.0326961811607017
mannose,0.6013,0.9455,0.0446528002473677,0.94150002325817,-0.0780282277408893
cysteine,0.58,0.9455,0.0252032712649631,0.8659363816138119,-0.0210187628198608
galactose,0.4462,0.9364,0.040787432552907,0.9231507684546212,-0.0123506366073943
methionine,0.5575,0.9364,0.0186359116572962,0.6227823533439845,-0.2341441782443634
histidine,0.4868,0.9364,0.0488830557058895,0.9611503232615344,-0.1346657170354485
glutamate,0.3337,0.9273,0.0156379234776762,0.7806426407570428,-0.2801211308141943
xanthine,0.8145,0.9273,0.1201729135554756,0.9947313577246246,0.7355725406899483
riboflavin,0.3394,0.9182,0.0297721372730469,0.8980120061645648,-0.0368904993321271
leucine,0.4373,0.9182,0.0149483909554325,0.7077314418434357,0.1321287652675263
proline,0.31,0.9091,0.0398572345190441,0.9507295608249218,0.1724959595360087
n-acetylglucosamine,0.5987,0.9,0.0135150758065274,0.7806664676384878,-0.1324918764448293
tryptophan,0.3394,0.8818,0.0380269921814875,0.9509838202869456,-0.1942229241207181
cholesterol,0.3357,0.8818,0.0158621315799783,0.8744310863337326,-0.159609911534307
guanine,0.631,0.8727,0.0803486464469212,0.987295491388327,0.4020835316285435
acetyl-coa,0.6495,0.8727,0.0157529797629563,0.7845087553609889,-0.1757059824852479
isoleucine,0.5932,0.8727,0.0452167969201128,0.926961493130159,-0.0289945106233725
phosphoenolpyruvate,0.6177,0.8727,0.0239179792660978,0.9161772929279632,-0.1622846350560104
tyrosine,0.236,0.8727,0.0326598787194272,0.8282694305854527,0.0087819581487995
adenine,0.3592,0.8636,0.0744701381287168,0.9624850250614732,0.079599400039951
stearate,0.3209,0.8545,0.0422662032214991,0.908843557249748,0.1113959278469189
glucose,0.2555,0.8545,0.0143231368524228,0.7681154824680352,-0.2570637447167494
ergothioneine,0.2852,0.8545,0.0979241577657607,0.9921286308820582,0.5341947369407107
alanine,0.2553,0.8364,0.0156117192509579,0.7868641093501095,-0.2113020291244038
fructose-6-phosphate,0.3473,0.8364,0.016186314137763,0.6542546109591739,-0.2728552731787819
lactate,0.402,0.8364,0.0316073181332614,0.9302202695577932,-0.3064566878397531
hydroxyproline,0.241,0.8273,0.0530874480344008,0.9516950098814604,-0.1483715808953488
urate,0.644,0.8273,0.0524254026965384,0.9691227267988298,0.0691472990079906
albumin,0.6025,0.8182,0.0792111281500245,0.7725729413706628,0.0484129327454988
fructose,0.3411,0.8182,0.0277776715119521,0.90655398536718,0.1197130498040268
citrate,0.6183,0.8091,0.0203175932516619,0.7130582225760992,0.0402951772392978
serine,0.3536,0.8,0.0285066076473933,0.6258303703101407,0.0184324191490804
acetoacetate,0.423,0.7636,0.0465368036858635,0.8514204802699679,0.3477974748424874
ascorbate,0.3917,0.7636,0.0145750543071827,0.843953205461452,0.4810128171902234
glycine,0.2465,0.7636,0.0153890408766649,0.8537617655558225,-0.0332559191656435
pyruvate,0.6083,0.7545,0.0161589218746948,0.7965294642851986,0.0451783830763479
arginine,0.4943,0.7545,0.0432413409294302,0.9078106592954304,-0.119427702350407
glycerol,0.47,0.7273,0.0205620483343403,0.7877777530196322,0.2557177169016635
oleate,0.264,0.7,0.1075197260796003,0.8987122479653241,-0.1239479746570691
uracil,0.0562,0.6455,0.0353157357959634,0.9370876550562496,0.1180002399892763
urea,0.6674,0.6455,0.0111109881937206,0.6317972243686387,-0.1498738551128579
phenylalanine,0.3007,0.6455,0.0388772689749904,0.976198923388954,0.0588339072161693
triolein,0.3138,0.6364,0.0153614395377829,0.768293568079576,0.1026575838999005
thymine,0.2704,0.2182,0.0177635135752517,0.8180959080705887,-0.0686066547554066
