analyte,family,expected_theme,n_raman,n_sers,L1_latent_fingerprint,L2_mss_motif,L3a_theme_raw,L3b_theme_identity,L3b_identity_null,L3b_identity_separation,L4_theme_rank_rho,L4_rank_null,L4_rank_separation,L5_top2_overlap,L5_top3_overlap,L6_argmax_agreement,raman_dominant,sers_dominant,expected_rank_sers,expected_retained_top3,purine_share_raman,purine_share_sers,delta_purine,ood_sers,confidence_sers
phosphatidylinositol,lipid,lipid_acyl|sterol_membrane,3,5,0.8339,0.9558,0.9888,0.4695,0.5101,-0.0407,0.9909,0.9805,0.0104,1.0,1.0,True,nucleic_purine,nucleic_purine,7,False,0.2151,0.1943,-0.0208,0.1654,0.1853
coenzyme a,cofactor,sulfur_antioxidant|redox_broad,4,5,0.6495,0.9011,0.9852,0.7183,0.6938,0.0245,0.9818,0.9778,0.004,1.0,1.0,True,nucleic_purine,nucleic_purine,5,False,0.2291,0.2061,-0.0229,0.1735,0.1931
glutathione,cofactor,sulfur_antioxidant,4,5,0.7271,0.9554,0.9858,0.6482,0.5213,0.1269,0.9818,0.9642,0.0176,1.0,1.0,True,nucleic_purine,nucleic_purine,5,False,0.1809,0.2228,0.0419,0.1361,0.2291
hypoxanthine,purine,nucleic_purine,3,5,0.8443,0.9642,0.9914,0.8269,0.475,0.3518,0.9545,0.8818,0.0727,1.0,0.667,True,nucleic_purine,nucleic_purine,1,True,0.2229,0.2268,0.0039,0.1313,0.2463
phosphate,organic_acid,organic_acid_metabolism,3,5,0.361,0.6495,0.9183,0.603,0.54,0.063,0.9545,0.9444,0.0102,0.5,1.0,False,organic_acid_metabolism,nucleic_purine,3,True,0.1989,0.201,0.0021,0.1248,0.2017
glycogen,polysaccharide,saccharide_glycan,4,5,0.6837,0.9023,0.9572,0.0647,0.0727,-0.0081,0.9545,0.9556,-0.0011,1.0,1.0,False,saccharide_glycan,nucleic_purine,2,True,0.1648,0.2102,0.0454,0.137,0.211
creatinine,small_nitrogenous,organic_acid_metabolism,3,5,0.6877,0.6521,0.9659,0.8747,0.7143,0.1604,0.9545,0.9449,0.0096,0.5,0.667,True,nucleic_purine,nucleic_purine,3,True,0.2676,0.2014,-0.0662,0.1536,0.1999
valine,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.4249,0.8199,0.9668,0.2074,0.174,0.0333,0.9455,0.9362,0.0093,1.0,1.0,False,saccharide_glycan,nucleic_purine,4,False,0.2057,0.2132,0.0076,0.1585,0.199
mannose,saccharide,saccharide_glycan,3,5,0.6013,0.7375,0.8841,-0.6059,-0.5032,-0.1027,0.9455,0.9293,0.0162,1.0,0.667,False,saccharide_glycan,nucleic_purine,2,True,0.1329,0.2135,0.0806,0.1162,0.2056
cysteine,amino_acid,sulfur_antioxidant,3,5,0.58,0.8088,0.9608,0.6942,0.6889,0.0053,0.9455,0.9287,0.0167,1.0,1.0,True,nucleic_purine,nucleic_purine,5,False,0.3034,0.2033,-0.1001,0.1228,0.2075
