family,n,L1_latent,L2_mss,L3a_theme_raw,L3b_theme_identity,L4_rank_rho,L4_rank_separation,L5_top3,L6_argmax,delta_purine
polysaccharide,1,0.684,0.902,0.957,0.065,0.954,-0.001,1.0,0.0,0.045
cofactor,5,0.65,0.901,0.98,0.648,0.918,0.004,0.667,1.0,-0.025
amino_acid,16,0.347,0.76,0.928,-0.369,0.877,0.013,0.667,0.25,0.065
saccharide,6,0.397,0.715,0.865,-0.603,0.877,0.009,0.667,0.0,0.093
purine,5,0.644,0.874,0.947,0.827,0.873,0.047,0.667,0.8,-0.108
lipid,5,0.321,0.372,0.566,0.078,0.854,0.038,0.667,0.2,0.069
protein,1,0.602,0.879,0.929,-0.193,0.818,0.074,0.333,0.0,0.076
organic_acid,7,0.423,0.696,0.917,0.603,0.809,-0.0,0.667,0.286,0.002
small_nitrogenous,2,0.678,0.587,0.924,0.889,0.8,0.023,0.5,0.5,0.015
polyol,1,0.47,0.596,0.804,-0.76,0.727,-0.01,0.333,0.0,0.136
pyrimidine,2,0.163,0.514,0.595,0.357,0.432,-0.014,0.333,0.5,0.012
