analyte,family,L4_theme_rank_rho,L4_rank_null,L4_rank_separation,L3a_theme_raw,L3b_theme_identity,L6_argmax_agreement
phosphatidylinositol,lipid,0.9909,0.9805,0.0104,0.9888,0.4695,True
coenzyme a,cofactor,0.9818,0.9778,0.004,0.9852,0.7183,True
glutathione,cofactor,0.9818,0.9642,0.0176,0.9858,0.6482,True
hypoxanthine,purine,0.9545,0.8818,0.0727,0.9914,0.8269,True
phosphate,organic_acid,0.9545,0.9444,0.0102,0.9183,0.603,False
glycogen,polysaccharide,0.9545,0.9556,-0.0011,0.9572,0.0647,False
creatinine,small_nitrogenous,0.9545,0.9449,0.0096,0.9659,0.8747,True
valine,amino_acid,0.9455,0.9362,0.0093,0.9668,0.2074,False
mannose,saccharide,0.9455,0.9293,0.0162,0.8841,-0.6059,False
cysteine,amino_acid,0.9455,0.9287,0.0167,0.9608,0.6942,True
galactose,saccharide,0.9364,0.9344,0.002,0.9241,-0.2446,False
methionine,amino_acid,0.9364,0.9302,0.0062,0.9546,0.8119,True
histidine,amino_acid,0.9364,0.9264,0.01,0.9256,-0.7794,False
glutamate,amino_acid,0.9273,0.9075,0.0198,0.9535,0.1533,False
xanthine,purine,0.9273,0.8802,0.0471,0.9751,0.9557,True
riboflavin,cofactor,0.9182,0.9067,0.0115,0.972,0.7086,True
leucine,amino_acid,0.9182,0.9209,-0.0027,0.9349,-0.6361,False
proline,amino_acid,0.9091,0.8938,0.0153,0.8689,-0.733,False
n-acetylglucosamine,saccharide,0.9,0.8836,0.0164,0.9014,-0.6277,False
tryptophan,amino_acid,0.8818,0.8825,-0.0007,0.9305,0.2139,True
cholesterol,lipid,0.8818,0.7915,0.0904,0.9181,0.1114,False
guanine,purine,0.8727,0.8144,0.0584,0.8758,0.9241,True
acetyl-coa,cofactor,0.8727,0.8851,-0.0124,0.9795,0.5083,True
isoleucine,amino_acid,0.8727,0.8798,-0.0071,0.9379,-0.9043,False
phosphoenolpyruvate,organic_acid,0.8727,0.7995,0.0733,0.9331,0.8668,True
tyrosine,amino_acid,0.8727,0.8529,0.0198,0.9473,0.1874,True
adenine,purine,0.8636,0.8305,0.0331,0.9466,0.733,True
stearate,lipid,0.8545,0.7718,0.0827,0.5662,0.0776,False
glucose,saccharide,0.8545,0.8642,-0.0096,0.8458,-0.4605,False
ergothioneine,cofactor,0.8545,0.944,-0.0895,0.9582,0.2507,True
alanine,amino_acid,0.8364,0.8275,0.0089,0.8867,-0.4841,False
fructose-6-phosphate,saccharide,0.8364,0.8198,0.0165,0.8287,-0.7297,False
lactate,organic_acid,0.8364,0.842,-0.0056,0.7821,-0.6338,False
hydroxyproline,amino_acid,0.8273,0.8029,0.0244,0.8238,-0.5354,False
urate,purine,0.8273,0.8847,-0.0575,0.9127,-0.5662,False
albumin,protein,0.8182,0.7444,0.0738,0.9286,-0.1934,False
fructose,saccharide,0.8182,0.8184,-0.0002,0.7526,-0.6003,False
citrate,organic_acid,0.8091,0.8018,0.0073,0.8426,0.8517,False
serine,amino_acid,0.8,0.7816,0.0184,0.8496,-0.6139,False
acetoacetate,organic_acid,0.7636,0.8504,-0.0867,0.9169,0.446,False
ascorbate,organic_acid,0.7636,0.7847,-0.0211,0.8605,-0.5823,False
glycine,amino_acid,0.7636,0.7462,0.0175,0.8118,-0.2531,False
pyruvate,organic_acid,0.7545,0.7549,-0.0004,0.9333,0.6639,True
arginine,amino_acid,0.7545,0.7631,-0.0085,0.8175,-0.9317,False
glycerol,polyol,0.7273,0.7375,-0.0102,0.8044,-0.7601,False
oleate,lipid,0.7,0.6618,0.0382,0.5072,-0.4675,False
uracil,pyrimidine,0.6455,0.668,-0.0225,0.45,0.1591,False
urea,small_nitrogenous,0.6455,0.6091,0.0364,0.8827,0.9025,False
phenylalanine,amino_acid,0.6455,0.6236,0.0218,0.8306,-0.0917,False
triolein,lipid,0.6364,0.6102,0.0262,0.5219,-0.3572,False
thymine,pyrimidine,0.2182,0.2244,-0.0062,0.7403,0.5558,True
