analyte,family,L5_top2_overlap,L5_top3_overlap,L6_argmax_agreement,expected_retained_top3
phosphatidylinositol,lipid,1.0,1.0,True,False
coenzyme a,cofactor,1.0,1.0,True,False
glutathione,cofactor,1.0,1.0,True,False
hypoxanthine,purine,1.0,0.667,True,True
phosphate,organic_acid,0.5,1.0,False,True
glycogen,polysaccharide,1.0,1.0,False,True
creatinine,small_nitrogenous,0.5,0.667,True,True
valine,amino_acid,1.0,1.0,False,False
mannose,saccharide,1.0,0.667,False,True
cysteine,amino_acid,1.0,1.0,True,False
galactose,saccharide,1.0,1.0,False,True
methionine,amino_acid,0.5,1.0,True,False
histidine,amino_acid,1.0,0.667,False,False
glutamate,amino_acid,0.5,1.0,False,False
xanthine,purine,1.0,1.0,True,True
riboflavin,cofactor,1.0,0.667,True,False
leucine,amino_acid,1.0,0.667,False,False
proline,amino_acid,1.0,0.667,False,False
n-acetylglucosamine,saccharide,0.5,0.667,False,True
tryptophan,amino_acid,0.5,0.667,True,False
cholesterol,lipid,0.5,0.667,False,False
guanine,purine,0.5,0.333,True,True
acetyl-coa,cofactor,1.0,0.667,True,False
isoleucine,amino_acid,1.0,0.667,False,False
phosphoenolpyruvate,organic_acid,0.5,0.667,True,True
tyrosine,amino_acid,1.0,0.667,True,False
adenine,purine,1.0,0.667,True,True
stearate,lipid,0.5,0.667,False,False
glucose,saccharide,1.0,0.667,False,True
ergothioneine,cofactor,1.0,0.667,True,False
alanine,amino_acid,1.0,0.667,False,False
fructose-6-phosphate,saccharide,0.5,0.667,False,True
lactate,organic_acid,0.5,0.333,False,True
hydroxyproline,amino_acid,0.5,0.333,False,False
urate,purine,1.0,0.667,False,True
albumin,protein,0.0,0.333,False,False
fructose,saccharide,0.5,0.667,False,True
citrate,organic_acid,0.5,0.667,False,True
serine,amino_acid,0.5,0.333,False,False
acetoacetate,organic_acid,0.5,0.667,False,True
ascorbate,organic_acid,0.5,0.667,False,True
glycine,amino_acid,0.5,0.333,False,False
pyruvate,organic_acid,0.5,0.667,True,True
arginine,amino_acid,0.5,0.667,False,False
glycerol,polyol,0.5,0.333,False,True
oleate,lipid,0.5,0.333,False,False
uracil,pyrimidine,0.5,0.333,False,False
urea,small_nitrogenous,0.0,0.333,False,True
phenylalanine,amino_acid,0.0,0.333,False,False
triolein,lipid,0.5,0.333,False,False
thymine,pyrimidine,0.5,0.333,True,False
