source_dataset,source_identifier,analyte_label,canonical_name,modality,excitation_nm,inclusion_status,identifier_sha1
RamanBioLib,ramanbiolib::1,12-methyltetradecanoic acid,12-methyltetradecanoic acid,raman,785.0,included_in_X_ref,841468798dee
RamanBioLib,ramanbiolib::2,13-methylmyristicacid,13-methylmyristicacid,raman,785.0,included_in_X_ref,1b45560aeff4
RamanBioLib,ramanbiolib::3,14-methylhexadecanoic acid,14-methylhexadecanoic acid,raman,785.0,included_in_X_ref,b84394d9b7cc
RamanBioLib,ramanbiolib::4,14-methylpentadecanoic acid,14-methylpentadecanoic acid,raman,785.0,included_in_X_ref,ea57f4c1a635
RamanBioLib,ramanbiolib::5,15-methylpalmiticacid,15-methylpalmiticacid,raman,785.0,included_in_X_ref,3876df9cab55
RamanBioLib,ramanbiolib::6,acetoacetate,acetoacetate,raman,785.0,included_in_X_ref,a07d9c7376c3
RamanBioLib,ramanbiolib::7,acetyl coenzyme a,acetyl coenzyme a,raman,785.0,included_in_X_ref,9dd91214c4ce
RamanBioLib,ramanbiolib::8,adenine,adenine,raman,785.0,included_in_X_ref,64093a11fef0
RamanBioLib,ramanbiolib::9,amylopectin,amylopectin,raman,785.0,included_in_X_ref,e0e2048679c5
RamanBioLib,ramanbiolib::10,amylose,amylose,raman,785.0,included_in_X_ref,cf42839d4868
RamanBioLib,ramanbiolib::11,ascorbate,ascorbate,raman,785.0,included_in_X_ref,697194ce0918
RamanBioLib,ramanbiolib::12,cellulose,cellulose,raman,785.0,included_in_X_ref,42a179e9b6f1
RamanBioLib,ramanbiolib::13,chitin,chitin,raman,785.0,included_in_X_ref,1da9c45b04cf
RamanBioLib,ramanbiolib::14,citrate,citrate,raman,785.0,included_in_X_ref,faa9c74b9926
RamanBioLib,ramanbiolib::15,coenzyme a,coenzyme a,raman,785.0,included_in_X_ref,b2268c3b8724
RamanBioLib,ramanbiolib::16,cytosine,cytosine,raman,785.0,included_in_X_ref,17fdb0352406
RamanBioLib,ramanbiolib::17,(+)-dextrose,(+)-dextrose,raman,785.0,included_in_X_ref,0e8671e45b73
RamanBioLib,ramanbiolib::18,(+)-fucose,(+)-fucose,raman,785.0,included_in_X_ref,089874e72c6f
RamanBioLib,ramanbiolib::19,(+)-galactosamine,(+)-galactosamine,raman,785.0,included_in_X_ref,e5e9ba060717
RamanBioLib,ramanbiolib::20,(+)-mannose,(+)-mannose,raman,785.0,included_in_X_ref,064208699181
RamanBioLib,ramanbiolib::21,(+)-trehalose,(+)-trehalose,raman,785.0,included_in_X_ref,e13ee5ff6171
RamanBioLib,ramanbiolib::22,(+)-xylose,(+)-xylose,raman,785.0,included_in_X_ref,d06e1ea9e86e
RamanBioLib,ramanbiolib::23,(-)-arabinose,(-)-arabinose,raman,785.0,included_in_X_ref,c250681141ee
RamanBioLib,ramanbiolib::24,(-)-fructose,(-)-fructose,raman,785.0,included_in_X_ref,e675454b4334
RamanBioLib,ramanbiolib::25,fructose-6-phosphate,fructose-6-phosphate,raman,785.0,included_in_X_ref,91bd65ef9833
RamanBioLib,ramanbiolib::26,fumarate,fumarate,raman,785.0,included_in_X_ref,ceda6b18329e
RamanBioLib,ramanbiolib::27,glutathione,glutathione,raman,785.0,included_in_X_ref,1ca92d667046
RamanBioLib,ramanbiolib::28,glycerol,glycerol,raman,785.0,included_in_X_ref,42f42d5f257b
RamanBioLib,ramanbiolib::29,glycine,glycine,raman,785.0,included_in_X_ref,d7d6d85abd4a
RamanBioLib,ramanbiolib::30,guanine,guanine,raman,785.0,included_in_X_ref,8cb48f19ae40
RamanBioLib,ramanbiolib::31,alanine,alanine,raman,785.0,included_in_X_ref,d3d807074709
RamanBioLib,ramanbiolib::32,arginine,arginine,raman,785.0,included_in_X_ref,e6c72b46d890
RamanBioLib,ramanbiolib::33,glutamate,glutamate,raman,785.0,included_in_X_ref,d98f5f82cf5a
RamanBioLib,ramanbiolib::34,histidine,histidine,raman,785.0,included_in_X_ref,257727de340a
RamanBioLib,ramanbiolib::35,phenylalanine,phenylalanine,raman,785.0,included_in_X_ref,197a4f2f967e
RamanBioLib,ramanbiolib::36,proline,proline,raman,785.0,included_in_X_ref,b4108c7a5139
