analyte,family,region,cosine,pearson,n_raman_peaks,n_sers_peaks,n_shared,n_missing,mean_abs_shift,dominant_raman_peak,dominant_sers_peak,intensity_redistribution
acetoacetate,organic_acid,600-800,-0.23622086006906295,-0.26212083705879224,2,4,1,1,12.0,640.0,726.0,
acetoacetate,organic_acid,800-1000,-0.05470082608740276,-0.06403228943230235,3,6,1,2,0.0,830.0,808.0,
acetoacetate,organic_acid,1000-1200,-0.07621450755126026,-0.08633558676639413,4,6,2,2,2.0,1006.0,1120.0,
acetoacetate,organic_acid,1200-1400,-0.06508498221895191,-0.06848714542869189,1,8,1,0,6.0,1326.0,1320.0,
acetoacetate,organic_acid,1400-1600,0.333031530344509,0.29969943249058817,3,3,1,2,6.0,1400.0,1468.0,
acetoacetate,organic_acid,1600-1800,-0.18027030336148567,-0.20801202782919706,1,3,0,1,,1706.0,1722.0,
acetyl-coa,cofactor,600-800,0.1403787342905299,0.2098642388541483,2,6,2,0,7.0,724.0,704.0,
acetyl-coa,cofactor,800-1000,0.4884819479611302,0.6458987724328453,2,9,2,0,6.0,806.0,808.0,
acetyl-coa,cofactor,1000-1200,0.383922153837486,0.3723175196979163,2,9,2,0,7.0,1126.0,1050.0,
acetyl-coa,cofactor,1200-1400,0.6723419647598777,0.7476594870708477,2,7,2,0,4.0,1334.0,1340.0,
acetyl-coa,cofactor,1400-1600,0.4666610397469395,0.4790581887232547,3,9,3,0,1.3333333333333333,1578.0,1452.0,0.0886207099374065
acetyl-coa,cofactor,1600-1800,0.10348854585809066,-0.1714388717417065,1,8,1,0,6.0,1672.0,1610.0,
adenine,purine,600-800,-0.10590533650433652,-0.09296737822305007,2,3,1,1,10.0,722.0,732.0,
adenine,purine,800-1000,0.010533777738614105,0.0540148557756184,2,3,0,2,,942.0,804.0,
adenine,purine,1000-1200,-0.09028136739086962,-0.09355264011337777,2,4,0,2,,1126.0,1104.0,
adenine,purine,1200-1400,0.4841324568322249,0.4610790409724505,3,4,1,2,4.0,1334.0,1338.0,
adenine,purine,1400-1600,0.33945086344701825,0.34037296993843363,1,6,1,0,0.0,1484.0,1444.0,
adenine,purine,1600-1800,0.4510190009824725,0.5702168753488925,0,4,0,0,,,1602.0,
alanine,amino_acid,600-800,0.26861005943553423,-0.050076362929340645,2,7,2,0,4.0,652.0,670.0,
alanine,amino_acid,800-1000,-0.10993616210359573,-0.1269724680115366,2,8,1,1,12.0,852.0,808.0,
