family,n,cosine,pearson,peak_f1,mean_abs_shift,pcs,redistribution,rank_corr,matched_pct,ceiling
polysaccharide,1,0.23188795744982152,0.23188795744982207,0.5555555555555555,5.5,0.30092592592592593,0.1856811775946452,0.23308270676691725,74.07407407407408,0.6615366141076239
amino_acid,16,0.08599834968778748,0.08599834968778768,0.3564629500961926,5.403804492291334,0.20398174287291304,0.2544048622628162,0.05597668263109442,84.34616692646878,0.6780420225521093
protein,1,0.5099631647181558,0.5099631647181567,0.35714285714285715,5.2,0.20238095238095238,0.16714501366226808,0.3,29.411764705882355,0.8958210605874393
polyol,1,0.34770531246454406,0.3477053124645447,0.3137254901960785,5.0,0.18300653594771243,0.20191718091232297,-0.30952380952380953,100.0,0.7835195493038304
saccharide,6,0.07515988117583654,0.07515988117583673,0.3829904589729595,6.727306680247857,0.17719288937368424,0.22855037739495918,-0.20070028011204485,86.01495726495727,0.6917800528541411
pyrimidine,2,0.0128167899209028,0.01281678992090281,0.2743764172335601,5.0,0.16439909297052158,0.27221191821486856,-0.4285714285714285,72.22222222222223,0.7610609469183176
organic_acid,7,-0.004699972533544643,-0.0046999725335446565,0.33900308222747233,6.450133200133201,0.15863944297761795,0.23168240040691326,0.19770705484991197,83.50340136054422,0.6834693326345914
cofactor,5,0.24556210706890275,0.24556210706890322,0.3058755623461506,6.708974358974359,0.14765844177608883,0.2145511353366894,0.09795204795204798,60.38095238095239,0.770281538155882
purine,5,0.2898966476106256,0.28989664761062606,0.2933276013367546,6.533333333333333,0.14360244451777632,0.18254832315311256,0.4714285714285715,30.4020979020979,0.9214310046074534
lipid,5,0.17918128406761022,0.1791812840676106,0.2663887939288824,5.986274509803922,0.1313878944990836,0.21606173400713446,0.058921568627450994,61.09941520467836,0.7573941271973943
small_nitrogenous,2,0.507758367016081,0.5077583670160819,0.28,8.88888888888889,0.08,0.17930830434566417,0.3,75.0,0.8434954281490754
