analyte,family,raman_peak,sers_peak,shift,intensity_ratio,confidence,note,raman_rel,sers_rel,raman_prom,sers_prom,kind
acetoacetate,organic_acid,,528.0,,,None,SERS-only,,0.5706691398451738,,1.729934589390007,sers_only
acetoacetate,organic_acid,552.0,562.0,10.0,1.6923056726397872,Low,Intensity enhanced,0.2236257889286065,0.37844319284473416,0.6977227094015771,0.7765731958540718,matched
acetoacetate,organic_acid,580.0,,,,None,Absent in SERS,0.207857033183891,,0.6062133584452817,,raman_only
acetoacetate,organic_acid,,596.0,,,None,SERS-only,,0.37223817118578234,,1.7539353925843209,sers_only
acetoacetate,organic_acid,,620.0,,,None,SERS-only,,0.3081146880966473,,1.6093552055128022,sers_only
acetoacetate,organic_acid,640.0,652.0,12.0,0.2958878040052646,Low,Intensity reduced,0.6038277781965767,0.17866527558385087,2.8708846173218183,0.6000257317094158,matched
acetoacetate,organic_acid,,678.0,,,None,SERS-only,,0.22718307143227,,0.8954439583118586,sers_only
acetoacetate,organic_acid,,726.0,,,None,SERS-only,,0.8241125821070087,,3.821477434953213,sers_only
acetoacetate,organic_acid,760.0,,,,None,Absent in SERS,0.41772072675913074,,1.883321682478945,,raman_only
acetoacetate,organic_acid,,808.0,,,None,SERS-only,,1.0,,5.728605568441919,sers_only
acetoacetate,organic_acid,830.0,,,,None,Absent in SERS,1.0,,4.964852422632161,,raman_only
acetoacetate,organic_acid,,856.0,,,None,SERS-only,,0.3525347769500408,,0.6360974278685021,sers_only
acetoacetate,organic_acid,,876.0,,,None,SERS-only,,0.37475496535336245,,1.2872383979787951,sers_only
acetoacetate,organic_acid,902.0,,,,None,Absent in SERS,0.30867815978711516,,0.8421647924936506,,raman_only
acetoacetate,organic_acid,930.0,930.0,0.0,0.558863405468319,High,Intensity reduced,0.48250052373990443,0.2696518863963939,2.3702840244775985,0.8934272911270967,matched
acetoacetate,organic_acid,,954.0,,,None,SERS-only,,0.3869844843225192,,1.6399122439392113,sers_only
acetoacetate,organic_acid,,978.0,,,None,SERS-only,,0.2738693202801186,,1.1091946168323714,sers_only
acetoacetate,organic_acid,1006.0,1004.0,-2.0,0.6586302096517052,High,Intensity reduced,0.43526278275641034,0.28667721851906935,2.0845250443879597,1.0235661377733494,matched
acetoacetate,organic_acid,,1044.0,,,None,SERS-only,,0.35347882832637045,,1.3108308417860974,sers_only
acetoacetate,organic_acid,,1070.0,,,None,SERS-only,,0.3420955541517718,,1.0803415431409484,sers_only
acetoacetate,organic_acid,1088.0,,,,None,Absent in SERS,0.2936998394893588,,1.3787624859220984,,raman_only
acetoacetate,organic_acid,,1120.0,,,None,SERS-only,,0.4182654430934214,,1.8844117446988742,sers_only
acetoacetate,organic_acid,,1142.0,,,None,SERS-only,,0.2277148250675055,,0.5831715246913122,sers_only
acetoacetate,organic_acid,1158.0,,,,None,Absent in SERS,0.3653631026246969,,0.8454603905186651,,raman_only
acetoacetate,organic_acid,1190.0,1188.0,-2.0,1.233281638581299,High,Strong correspondence,0.38993913650125395,0.480904778444525,1.8634701960304008,1.8312175720439394,matched
acetoacetate,organic_acid,,1210.0,,,None,SERS-only,,0.4984185236181383,,2.723222164464738,sers_only
acetoacetate,organic_acid,,1238.0,,,None,SERS-only,,0.23395102643656043,,0.6568641612338925,sers_only
acetoacetate,organic_acid,,1258.0,,,None,SERS-only,,0.35074992017437423,,1.7359703753244096,sers_only
acetoacetate,organic_acid,,1284.0,,,None,SERS-only,,0.31495332198822,,0.818517624222062,sers_only
acetoacetate,organic_acid,1326.0,1320.0,-6.0,2.6300931377975116,Medium,Intensity enhanced,0.19524087105597304,0.5135016778120166,0.8487701088814594,2.9771974411232565,matched
acetoacetate,organic_acid,,1344.0,,,None,SERS-only,,0.47885898900401475,,1.1497884482423006,sers_only
acetoacetate,organic_acid,,1370.0,,,None,SERS-only,,0.3788028148767993,,0.8210118639850172,sers_only
acetoacetate,organic_acid,1400.0,1392.0,-8.0,0.3384965738163916,Medium,Intensity reduced,0.8824637087296112,0.2987109422607761,4.34241275463553,1.5104000298633882,matched
acetoacetate,organic_acid,1444.0,1438.0,-6.0,0.7807370888291797,Medium,Shifted band,0.8451739038223159,0.6598586140053652,0.970171088070559,1.2891775666053946,matched
acetoacetate,organic_acid,,1468.0,,,None,SERS-only,,0.6726132805656332,,3.772329108700026,sers_only
acetoacetate,organic_acid,,1520.0,,,None,SERS-only,,0.3311134740134593,,0.9393650971108765,sers_only
acetoacetate,organic_acid,1580.0,,,,None,Absent in SERS,0.1776470973858372,,0.7803691294872932,,raman_only
acetoacetate,organic_acid,,1636.0,,,None,SERS-only,,0.3880393685137563,,2.0629074984846394,sers_only
acetoacetate,organic_acid,,1680.0,,,None,SERS-only,,0.35862763798013203,,1.712374095154538,sers_only
acetoacetate,organic_acid,1706.0,,,,None,Absent in SERS,0.8187159451515847,,4.012656431108237,,raman_only
acetoacetate,organic_acid,,1722.0,,,None,SERS-only,,0.4613062428664045,,2.1796219680553612,sers_only
acetyl-coa,cofactor,,524.0,,,None,SERS-only,,0.7474898465934807,,1.7232893273731364,sers_only
acetyl-coa,cofactor,,552.0,,,None,SERS-only,,0.471849703465826,,0.6192486457286532,sers_only
acetyl-coa,cofactor,,570.0,,,None,SERS-only,,0.48950397672027823,,1.6118201289042404,sers_only
acetyl-coa,cofactor,632.0,622.0,-10.0,0.8636704993225933,Low,Shifted band,0.44350481678922943,0.38304202743199955,2.569640929078334,1.1735040283417626,matched
acetyl-coa,cofactor,,654.0,,,None,SERS-only,,0.45312730401462603,,1.6616926911129724,sers_only
acetyl-coa,cofactor,,686.0,,,None,SERS-only,,0.48254606882666423,,1.6963932888410382,sers_only
acetyl-coa,cofactor,,704.0,,,None,SERS-only,,0.5297856613641082,,1.976370687496226,sers_only
acetyl-coa,cofactor,724.0,728.0,4.0,0.5275802924328516,High,Intensity reduced,1.0,0.527580292960432,6.438549567275144,1.5373219135128782,matched
acetyl-coa,cofactor,,756.0,,,None,SERS-only,,0.4056432134489263,,0.9162392755753637,sers_only
acetyl-coa,cofactor,806.0,808.0,2.0,2.532038385668818,High,Intensity enhanced,0.3949387193843112,1.0,2.3156925635945282,4.600420072914941,matched
acetyl-coa,cofactor,,842.0,,,None,SERS-only,,0.41283940589908136,,0.8131131419933387,sers_only
acetyl-coa,cofactor,,860.0,,,None,SERS-only,,0.6366921428988305,,0.6018099144033854,sers_only
acetyl-coa,cofactor,882.0,872.0,-10.0,2.097164121979551,Low,Intensity enhanced,0.337065842054889,0.7068823927995035,1.6920563420716728,2.636623394093042,matched
acetyl-coa,cofactor,,908.0,,,None,SERS-only,,0.46672958468203485,,0.9073690389309352,sers_only
acetyl-coa,cofactor,,924.0,,,None,SERS-only,,0.523094755774884,,1.5626939749637958,sers_only
acetyl-coa,cofactor,,938.0,,,None,SERS-only,,0.5332688800342498,,1.7744078795378704,sers_only
acetyl-coa,cofactor,,972.0,,,None,SERS-only,,0.5384235253194823,,1.8060523811330846,sers_only
acetyl-coa,cofactor,,988.0,,,None,SERS-only,,0.4702658958062811,,1.4344868263927022,sers_only
acetyl-coa,cofactor,,1000.0,,,None,SERS-only,,0.4409635549532004,,0.5881485093932377,sers_only
acetyl-coa,cofactor,,1022.0,,,None,SERS-only,,0.6234831560549956,,1.705538445548712,sers_only
acetyl-coa,cofactor,1052.0,1050.0,-2.0,2.478580739789735,High,Intensity enhanced,0.35773093140409856,0.8866649990838223,0.8672936394244957,3.587155368912418,matched
acetyl-coa,cofactor,,1070.0,,,None,SERS-only,,0.5301794185562363,,0.5136107459961251,sers_only
acetyl-coa,cofactor,,1086.0,,,None,SERS-only,,0.5754598809983098,,0.9725272822757239,sers_only
acetyl-coa,cofactor,1126.0,1114.0,-12.0,1.6092775566676631,Low,Intensity enhanced,0.40505260967656526,0.6518420756314411,2.6698985602549836,1.6857542183743381,matched
acetyl-coa,cofactor,,1162.0,,,None,SERS-only,,0.3771001006238056,,1.078165315958528,sers_only
acetyl-coa,cofactor,,1176.0,,,None,SERS-only,,0.42633993000366355,,0.5651720157052758,sers_only
acetyl-coa,cofactor,,1192.0,,,None,SERS-only,,0.580181557438149,,2.2489118069264533,sers_only
acetyl-coa,cofactor,1206.0,1208.0,2.0,2.0091847057747265,High,Intensity enhanced,0.1779253776703717,0.3574849495936876,0.8591226067297524,0.7726168394378062,matched
acetyl-coa,cofactor,,1254.0,,,None,SERS-only,,0.4904624095797871,,0.7961565720127486,sers_only
acetyl-coa,cofactor,,1270.0,,,None,SERS-only,,0.6008978526143112,,1.659466710505604,sers_only
