analyte,n_raman_peaks,n_sers_peaks,recall_observed_allSERS,recall_mismatched_mean,recall_mismatched_p95,recall_random_mean,excess_over_mismatched,recall_observed_topK,recall_mismatched_topK_mean,recall_random_topK_mean,excess_topK,p_specificity,p_specificity_topK
acetoacetate,16,33,0.5,0.68875,0.9375,0.4675,-0.18874999999999997,0.1875,0.30625,0.2775,-0.11875000000000002,0.803921568627451,0.9411764705882353
acetyl-coa,12,51,1.0,0.7566666666666667,1.0,0.6416666666666667,0.2433333333333333,0.4166666666666667,0.3483333333333333,0.2266666666666667,0.06833333333333341,0.19607843137254902,0.39215686274509803
adenine,11,26,0.2727272727272727,0.729090909090909,1.0,0.4254545454545455,-0.4563636363636363,0.18181818181818182,0.20363636363636367,0.20363636363636364,-0.021818181818181848,0.9411764705882353,0.7450980392156863
alanine,14,49,0.7857142857142857,0.7071428571428571,1.0,0.6371428571428571,0.07857142857142863,0.2857142857142857,0.25285714285714284,0.22,0.03285714285714286,0.6274509803921569,0.45098039215686275
albumin,17,11,0.29411764705882354,0.7352941176470589,1.0,0.1964705882352941,-0.44117647058823534,0.29411764705882354,0.3788235294117647,0.3011764705882353,-0.08470588235294119,0.9215686274509803,0.8431372549019608
arginine,13,60,0.9230769230769231,0.7184615384615385,1.0,0.6999999999999998,0.20461538461538464,0.3076923076923077,0.23846153846153847,0.22153846153846157,0.06923076923076923,0.39215686274509803,0.35294117647058826
ascorbate,12,49,0.9166666666666666,0.7016666666666667,1.0,0.5966666666666667,0.21499999999999997,0.3333333333333333,0.245,0.23166666666666663,0.08833333333333332,0.3137254901960784,0.35294117647058826
cholesterol,19,8,0.21052631578947367,0.7347368421052631,0.976315789473684,0.13578947368421052,-0.5242105263157895,0.21052631578947367,0.38315789473684203,0.32421052631578945,-0.17263157894736836,0.9803921568627451,0.9803921568627451
citrate,11,52,1.0,0.6781818181818181,0.9590909090909088,0.6200000000000001,0.3218181818181819,0.18181818181818182,0.1872727272727273,0.1690909090909091,-0.00545454545454549,0.0784313725490196,0.7647058823529411
coenzyme a,15,50,0.8666666666666667,0.7373333333333334,1.0,0.648,0.1293333333333333,0.6,0.3493333333333333,0.2533333333333333,0.2506666666666667,0.43137254901960786,0.0196078431372549
creatinine,9,41,1.0,0.68,1.0,0.5644444444444443,0.31999999999999995,0.4444444444444444,0.10888888888888887,0.15555555555555556,0.33555555555555555,0.21568627450980393,0.0196078431372549
cysteine,14,45,0.7142857142857143,0.7114285714285715,1.0,0.6042857142857143,0.0028571428571427804,0.35714285714285715,0.29428571428571426,0.22428571428571428,0.06285714285714289,0.7254901960784313,0.4117647058823529
ergothioneine,10,8,0.2,0.728,1.0,0.14400000000000002,-0.528,0.2,0.24599999999999997,0.18399999999999994,-0.04599999999999996,0.9411764705882353,0.6862745098039216
fructose,13,50,0.7692307692307693,0.7169230769230769,0.9653846153846152,0.6184615384615384,0.05230769230769239,0.15384615384615385,0.2876923076923077,0.24615384615384614,-0.13384615384615384,0.6470588235294118,0.9411764705882353
fructose-6-phosphate,8,55,0.875,0.685,1.0,0.6475,0.18999999999999995,0.25,0.1325,0.14,0.1175,0.5098039215686274,0.2549019607843137
galactose,17,52,1.0,0.7388235294117647,0.9411764705882353,0.6129411764705882,0.26117647058823534,0.5882352941176471,0.3835294117647059,0.26470588235294124,0.20470588235294118,0.058823529411764705,0.09803921568627451
glucose,12,46,0.9166666666666666,0.6766666666666667,0.9166666666666666,0.6166666666666667,0.23999999999999988,0.08333333333333333,0.22499999999999998,0.20166666666666663,-0.14166666666666666,0.3333333333333333,0.9607843137254902
glutamate,15,53,0.8,0.7,0.9333333333333333,0.6346666666666667,0.10000000000000009,0.26666666666666666,0.3346666666666666,0.24400000000000002,-0.06799999999999995,0.6274509803921569,0.8431372549019608
glutathione,14,20,0.2857142857142857,0.6614285714285714,0.9678571428571426,0.32285714285714284,-0.37571428571428567,0.21428571428571427,0.21142857142857138,0.22714285714285712,0.0028571428571428914,0.8431372549019608,0.6470588235294118
glycerol,8,43,1.0,0.725,1.0,0.585,0.275,0.125,0.1775,0.1275,-0.05249999999999999,0.21568627450980393,0.7843137254901961
glycine,7,49,0.8571428571428571,0.6999999999999998,1.0,0.5971428571428572,0.15714285714285725,0.14285714285714285,0.2114285714285714,0.15428571428571428,-0.06857142857142856,0.5294117647058824,0.8823529411764706
glycogen,27,45,0.7407407407407407,0.7170370370370369,0.9629629629629629,0.5762962962962963,0.023703703703703782,0.5185185185185185,0.4918518518518518,0.39259259259259255,0.026666666666666672,0.7058823529411765,0.6470588235294118
guanine,8,11,0.25,0.7,1.0,0.1725,-0.44999999999999996,0.125,0.11,0.16,0.015,0.9019607843137255,0.6666666666666666
histidine,20,59,0.95,0.701,0.95,0.695,0.249,0.4,0.37900000000000006,0.332,0.020999999999999963,0.13725490196078433,0.5294117647058824
hydroxyproline,7,43,0.8571428571428571,0.7828571428571428,1.0,0.5971428571428572,0.07428571428571429,0.42857142857142855,0.2114285714285714,0.1457142857142857,0.21714285714285714,0.6078431372549019,0.13725490196078433
hypoxanthine,16,10,0.375,0.7675,1.0,0.17875,-0.39249999999999996,0.375,0.40375,0.2575,-0.028749999999999998,0.8627450980392157,0.7450980392156863
isoleucine,24,60,0.875,0.6916666666666668,0.9395833333333332,0.6891666666666666,0.18333333333333324,0.4583333333333333,0.4475,0.36166666666666664,0.010833333333333306,0.27450980392156865,0.6274509803921569
lactate,16,36,0.75,0.71125,1.0,0.47875,0.03874999999999995,0.375,0.3375,0.26875,0.03749999999999998,0.6666666666666666,0.5490196078431373
leucine,17,48,0.7058823529411765,0.6741176470588235,0.9735294117647058,0.6105882352941177,0.03176470588235303,0.4117647058823529,0.3023529411764706,0.31529411764705884,0.10941176470588232,0.6470588235294118,0.19607843137254902
mannose,16,45,0.75,0.67,0.9718749999999998,0.60625,0.07999999999999996,0.25,0.2625,0.305,-0.012500000000000011,0.5882352941176471,0.6862745098039216
methionine,11,50,1.0,0.7309090909090908,1.0,0.6399999999999999,0.26909090909090916,0.6363636363636364,0.28545454545454546,0.1763636363636364,0.3509090909090909,0.11764705882352941,0.0196078431372549
n-acetylglucosamine,20,49,0.85,0.7020000000000001,0.9774999999999998,0.617,0.1479999999999999,0.35,0.374,0.3390000000000001,-0.02400000000000002,0.39215686274509803,0.7254901960784313
oleate,5,46,0.6,0.732,1.0,0.588,-0.132,0.6,0.136,0.096,0.46399999999999997,0.7647058823529411,0.0196078431372549
phenylalanine,8,50,0.625,0.72,1.0,0.5875,-0.09499999999999997,0.375,0.2,0.14,0.175,0.7647058823529411,0.19607843137254902
phosphate,4,51,0.75,0.68,1.0,0.595,0.06999999999999995,0.0,0.035,0.08,-0.035,0.6470588235294118,1.0
phosphatidylinositol,17,54,1.0,0.7647058823529411,1.0,0.651764705882353,0.23529411764705888,0.5294117647058824,0.44,0.2741176470588236,0.08941176470588236,0.13725490196078433,0.35294117647058826
phosphoenolpyruvate,11,60,1.0,0.6745454545454546,1.0,0.6709090909090908,0.32545454545454544,0.45454545454545453,0.1927272727272727,0.18181818181818182,0.26181818181818184,0.1568627450980392,0.058823529411764705
proline,16,62,1.0,0.6675,0.9375,0.69875,0.3325,0.1875,0.27375,0.24625,-0.08625,0.058823529411764705,0.8627450980392157
pyruvate,14,43,0.9285714285714286,0.7085714285714287,1.0,0.5499999999999999,0.21999999999999986,0.35714285714285715,0.2785714285714285,0.24857142857142858,0.07857142857142863,0.37254901960784315,0.3333333333333333
riboflavin,12,43,0.6666666666666666,0.69,1.0,0.5683333333333334,-0.023333333333333317,0.16666666666666666,0.22166666666666668,0.225,-0.05500000000000002,0.6862745098039216,0.9019607843137255
serine,11,58,0.8181818181818182,0.6927272727272726,1.0,0.6927272727272725,0.1254545454545456,0.09090909090909091,0.21454545454545457,0.2072727272727273,-0.12363636363636366,0.5294117647058824,0.8627450980392157
stearate,9,20,0.4444444444444444,0.7222222222222221,1.0,0.31555555555555553,-0.2777777777777777,0.3333333333333333,0.2622222222222222,0.16666666666666663,0.07111111111111112,0.8627450980392157,0.5098039215686274
thymine,9,40,0.8888888888888888,0.728888888888889,1.0,0.5466666666666667,0.1599999999999998,0.2222222222222222,0.14222222222222222,0.15555555555555556,0.07999999999999999,0.5098039215686274,0.37254901960784315
triolein,5,44,0.8,0.736,1.0,0.544,0.06400000000000006,0.4,0.152,0.1,0.24800000000000003,0.6470588235294118,0.21568627450980393
tryptophan,19,29,0.631578947368421,0.6894736842105263,0.976315789473684,0.42421052631578937,-0.05789473684210533,0.42105263157894735,0.3494736842105262,0.31999999999999995,0.07157894736842113,0.7450980392156863,0.3137254901960784
tyrosine,12,58,1.0,0.7366666666666666,1.0,0.6966666666666668,0.2633333333333334,0.16666666666666666,0.34666666666666673,0.20500000000000004,-0.18000000000000008,0.13725490196078433,0.9607843137254902
uracil,9,36,0.5555555555555556,0.6777777777777777,1.0,0.49333333333333335,-0.12222222222222212,0.0,0.11555555555555555,0.18444444444444444,-0.11555555555555555,0.803921568627451,1.0
urate,13,10,0.07692307692307693,0.693846153846154,1.0,0.20153846153846153,-0.6169230769230771,0.07692307692307693,0.2276923076923077,0.22923076923076924,-0.15076923076923077,1.0,0.9803921568627451
urea,2,8,0.5,0.73,1.0,0.11,-0.22999999999999998,0.5,0.02,0.03,0.48,0.9019607843137255,0.058823529411764705
valine,21,62,0.9523809523809523,0.680952380952381,0.9523809523809523,0.7219047619047619,0.27142857142857135,0.2857142857142857,0.3857142857142856,0.3419047619047618,-0.09999999999999992,0.1568627450980392,0.803921568627451
xanthine,11,11,0.5454545454545454,0.7563636363636363,1.0,0.1690909090909091,-0.21090909090909093,0.5454545454545454,0.2927272727272728,0.18181818181818182,0.25272727272727263,0.8431372549019608,0.0196078431372549
