analyte,n_raman_peaks,n_sers_peaks,recall,precision,f1,mean_abs_shift,pcs,excess_over_mismatched
acetoacetate,16,30,0.4375,0.23333333333333334,0.3043478260869565,4.571428571428571,0.18840579710144925,-0.19499999999999995
acetyl-coa,13,45,0.9230769230769231,0.26666666666666666,0.4137931034482759,5.333333333333333,0.2298850574712644,0.1923076923076923
adenine,11,22,0.2727272727272727,0.13636363636363635,0.1818181818181818,4.0,0.12121212121212122,-0.4309090909090909
alanine,14,45,0.6428571428571429,0.2,0.3050847457627119,8.0,0.10169491525423731,-0.03142857142857125
albumin,17,12,0.35294117647058826,0.5,0.41379310344827586,4.333333333333333,0.264367816091954,-0.35058823529411737
arginine,13,59,0.9230769230769231,0.2033898305084746,0.3333333333333333,4.333333333333333,0.21296296296296294,0.27230769230769236
ascorbate,12,45,0.9166666666666666,0.24444444444444444,0.3859649122807018,6.0,0.1929824561403509,0.2499999999999999
cholesterol,19,8,0.21052631578947367,0.5,0.2962962962962963,7.0,0.12345679012345677,-0.4631578947368421
citrate,12,49,0.9166666666666666,0.22448979591836735,0.36065573770491804,6.7272727272727275,0.15846994535519124,0.26
coenzyme a,14,43,0.9285714285714286,0.3023255813953488,0.456140350877193,4.923076923076923,0.26900584795321636,0.22142857142857142
creatinine,9,38,0.8888888888888888,0.21052631578947367,0.3404255319148936,8.25,0.10638297872340426,0.2577777777777778
cysteine,14,37,0.7142857142857143,0.2702702702702703,0.39215686274509803,6.8,0.16993464052287582,0.04428571428571426
ergothioneine,11,9,0.18181818181818182,0.2222222222222222,0.19999999999999998,10.0,0.033333333333333326,-0.49454545454545445
fructose,13,47,0.7692307692307693,0.2127659574468085,0.33333333333333337,6.4,0.15555555555555559,0.08769230769230763
fructose-6-phosphate,8,48,0.875,0.14583333333333334,0.25000000000000006,11.142857142857142,0.01785714285714288,0.21750000000000003
galactose,17,38,0.8235294117647058,0.3684210526315789,0.509090909090909,6.714285714285714,0.22424242424242422,0.11294117647058821
glucose,12,42,0.9166666666666666,0.2619047619047619,0.4074074074074074,5.636363636363637,0.21604938271604937,0.275
glutamate,15,44,0.8,0.2727272727272727,0.4067796610169491,5.666666666666667,0.2146892655367231,0.14666666666666672
glutathione,14,21,0.2857142857142857,0.19047619047619047,0.22857142857142854,9.0,0.057142857142857134,-0.34285714285714286
glycerol,9,39,0.8888888888888888,0.20512820512820512,0.3333333333333333,5.0,0.19444444444444442,0.22666666666666668
glycine,7,48,0.8571428571428571,0.125,0.21818181818181817,7.0,0.0909090909090909,0.1971428571428573
glycogen,27,35,0.7407407407407407,0.5714285714285714,0.6451612903225806,5.8,0.33333333333333326,0.05555555555555569
guanine,8,11,0.25,0.18181818181818182,0.2105263157894737,9.0,0.052631578947368425,-0.39749999999999996
histidine,20,51,0.85,0.3333333333333333,0.4788732394366197,5.411764705882353,0.26291079812206575,0.19899999999999984
hydroxyproline,7,35,0.7142857142857143,0.14285714285714285,0.23809523809523808,8.0,0.07936507936507937,-0.008571428571428452
hypoxanthine,17,9,0.29411764705882354,0.5555555555555556,0.3846153846153846,4.4,0.24358974358974356,-0.41882352941176476
isoleucine,24,56,0.8333333333333334,0.35714285714285715,0.5,4.5,0.3125,0.1874999999999999
lactate,16,35,0.75,0.34285714285714286,0.47058823529411753,7.666666666666667,0.16993464052287574,0.09125000000000005
leucine,17,43,0.5882352941176471,0.23255813953488372,0.3333333333333333,5.4,0.18333333333333335,-0.04235294117647048
