analyte,n_raman_peaks,n_sers_peaks,recall,precision,f1,mean_abs_shift,pcs,excess_over_mismatched
acetoacetate,16,33,0.5,0.24242424242424243,0.326530612244898,5.75,0.17006802721088435,-0.18874999999999997
acetyl-coa,12,51,1.0,0.23529411764705882,0.38095238095238093,4.833333333333333,0.22751322751322753,0.2433333333333333
adenine,11,26,0.2727272727272727,0.11538461538461539,0.16216216216216214,4.666666666666667,0.0990990990990991,-0.4563636363636363
alanine,14,49,0.7857142857142857,0.22448979591836735,0.3492063492063492,7.090909090909091,0.14285714285714285,0.07857142857142863
albumin,17,11,0.29411764705882354,0.45454545454545453,0.35714285714285715,5.2,0.20238095238095238,-0.44117647058823534
arginine,13,60,0.9230769230769231,0.2,0.32876712328767127,4.333333333333333,0.21004566210045664,0.20461538461538464
ascorbate,12,49,0.9166666666666666,0.22448979591836735,0.36065573770491804,6.0,0.18032786885245902,0.21499999999999997
cholesterol,19,8,0.21052631578947367,0.5,0.2962962962962963,7.0,0.12345679012345677,-0.5242105263157895
citrate,11,52,1.0,0.21153846153846154,0.34920634920634924,6.545454545454546,0.15873015873015872,0.3218181818181819
coenzyme a,15,50,0.8666666666666667,0.26,0.4,4.461538461538462,0.2512820512820513,0.1293333333333333
creatinine,9,41,1.0,0.21951219512195122,0.36,7.777777777777778,0.12666666666666668,0.31999999999999995
cysteine,14,45,0.7142857142857143,0.2222222222222222,0.3389830508474576,6.6,0.15254237288135594,0.0028571428571427804
ergothioneine,10,8,0.2,0.25,0.22222222222222224,10.0,0.03703703703703703,-0.528
fructose,13,50,0.7692307692307693,0.2,0.31746031746031744,6.4,0.14814814814814814,0.05230769230769239
fructose-6-phosphate,8,55,0.875,0.12727272727272726,0.22222222222222224,9.714285714285714,0.04232804232804235,0.18999999999999995
galactose,17,52,1.0,0.3269230769230769,0.4927536231884058,5.529411764705882,0.2657004830917875,0.26117647058823534
glucose,12,46,0.9166666666666666,0.2391304347826087,0.3793103448275862,5.818181818181818,0.1954022988505747,0.23999999999999988
glutamate,15,53,0.8,0.22641509433962265,0.35294117647058826,5.166666666666667,0.20098039215686275,0.10000000000000009
glutathione,14,20,0.2857142857142857,0.2,0.23529411764705882,9.0,0.058823529411764705,-0.37571428571428567
glycerol,8,43,1.0,0.18604651162790697,0.3137254901960785,5.0,0.18300653594771243,0.275
glycine,7,49,0.8571428571428571,0.12244897959183673,0.21428571428571427,7.0,0.08928571428571427,0.15714285714285725
glycogen,27,45,0.7407407407407407,0.4444444444444444,0.5555555555555555,5.5,0.30092592592592593,0.023703703703703782
guanine,8,11,0.25,0.18181818181818182,0.2105263157894737,9.0,0.052631578947368425,-0.44999999999999996
histidine,20,59,0.95,0.3220338983050847,0.48101265822784806,4.631578947368421,0.2953586497890295,0.249
hydroxyproline,7,43,0.8571428571428571,0.13953488372093023,0.24,8.666666666666666,0.06666666666666667,0.07428571428571429
hypoxanthine,16,10,0.375,0.6,0.4615384615384615,4.333333333333333,0.2948717948717948,-0.39249999999999996
isoleucine,24,60,0.875,0.35,0.4999999999999999,4.666666666666667,0.3055555555555555,0.18333333333333324
lactate,16,36,0.75,0.3333333333333333,0.46153846153846156,7.666666666666667,0.16666666666666666,0.03874999999999995
leucine,17,48,0.7058823529411765,0.25,0.36923076923076925,5.166666666666667,0.21025641025641026,0.03176470588235303
mannose,16,45,0.75,0.26666666666666666,0.3934426229508197,6.666666666666667,0.17486338797814208,0.07999999999999996
methionine,11,50,1.0,0.22,0.36065573770491804,4.7272727272727275,0.21857923497267756,0.26909090909090916
n-acetylglucosamine,20,49,0.85,0.3469387755102041,0.49275362318840576,6.235294117647059,0.2367149758454106,0.1479999999999999
oleate,5,46,0.6,0.06521739130434782,0.11764705882352941,4.666666666666667,0.07189542483660132,-0.132
phenylalanine,8,50,0.625,0.1,0.1724137931034483,7.2,0.06896551724137932,-0.09499999999999997
phosphate,4,51,0.75,0.058823529411764705,0.10909090909090909,8.0,0.03636363636363637,0.06999999999999995
phosphatidylinositol,17,54,1.0,0.3148148148148148,0.4788732394366197,5.764705882352941,0.24882629107981216,0.23529411764705888
phosphoenolpyruvate,11,60,1.0,0.18333333333333332,0.30985915492957744,4.7272727272727275,0.1877934272300469,0.32545454545454544
proline,16,62,1.0,0.25806451612903225,0.41025641025641024,5.0,0.23931623931623927,0.3325
pyruvate,14,43,0.9285714285714286,0.3023255813953488,0.456140350877193,6.461538461538462,0.2105263157894737,0.21999999999999986
riboflavin,12,43,0.6666666666666666,0.18604651162790697,0.2909090909090909,5.25,0.16363636363636364,-0.023333333333333317
serine,11,58,0.8181818181818182,0.15517241379310345,0.26086956521739135,5.111111111111111,0.14975845410628025,0.1254545454545456
stearate,9,20,0.4444444444444444,0.2,0.2758620689655173,6.0,0.13793103448275865,-0.2777777777777777
thymine,9,40,0.8888888888888888,0.2,0.326530612244898,4.0,0.21768707482993202,0.1599999999999998
triolein,5,44,0.8,0.09090909090909091,0.163265306122449,6.5,0.07482993197278913,0.06400000000000006
tryptophan,19,29,0.631578947368421,0.41379310344827586,0.5,4.0,0.33333333333333337,-0.05789473684210533
tyrosine,12,58,1.0,0.20689655172413793,0.34285714285714286,3.5,0.24285714285714283,0.2633333333333334
uracil,9,36,0.5555555555555556,0.1388888888888889,0.22222222222222227,6.0,0.11111111111111113,-0.12222222222222212
urate,13,10,0.07692307692307693,0.1,0.08695652173913043,8.0,0.028985507246376815,-0.6169230769230771
urea,2,8,0.5,0.125,0.2,10.0,0.033333333333333326,-0.22999999999999998
valine,21,62,0.9523809523809523,0.3225806451612903,0.4819277108433735,3.6,0.3373493975903614,0.27142857142857135
xanthine,11,11,0.5454545454545454,0.5454545454545454,0.5454545454545454,6.666666666666667,0.2424242424242424,-0.21090909090909093
