analyte,modality,position,index,prominence,width_cm,rel_intensity,height,snr
acetoacetate,raman,830.0,155,4.964852422632161,16.1517714269292,1.0,4.169513732624907,4964852422.63216
acetoacetate,raman,1400.0,440,4.34241275463553,61.925896705241485,0.8824637087296112,3.582903803943038,4342412754.6355295
acetoacetate,raman,1706.0,593,4.012656431108237,20.402545335605737,0.8187159451515847,3.2647461469168473,4012656431.108237
acetoacetate,raman,640.0,60,2.8708846173218183,16.45144816348072,0.6038277781965767,2.1922643548712926,2870884617.3218184
acetoacetate,raman,930.0,205,2.3702840244775985,25.876294347434566,0.48250052373990443,1.5867341708342024,2370284024.477598
acetoacetate,raman,1006.0,243,2.0845250443879597,32.70511975969782,0.43526278275641034,1.350976112026019,2084525044.3879595
acetoacetate,raman,760.0,120,1.883321682478945,15.109453117411164,0.41772072675913074,1.2634257553976576,1883321682.4789448
acetoacetate,raman,1190.0,335,1.8634701960304008,15.605456404574284,0.38993913650125395,1.1247710768835009,1863470196.0304008
acetoacetate,raman,1088.0,284,1.3787624859220984,12.567042504233882,0.2936998394893588,0.6444519639835697,1378762485.9220984
acetoacetate,raman,1444.0,462,0.970171088070559,8.89220440278234,0.8451739038223159,3.3967947344735285,970171088.0705589
acetoacetate,raman,1326.0,403,0.8487701088814594,13.52388645029282,0.19524087105597304,0.15305472976311502,848770108.8814594
acetoacetate,raman,1158.0,319,0.8454603905186651,10.821994015601831,0.3653631026246969,1.0021149566010812,845460390.518665
acetoacetate,raman,902.0,191,0.8421647924936506,12.912334866402546,0.30867815978711516,0.7192070145868609,842164792.4936506
acetoacetate,raman,1580.0,530,0.7803691294872932,12.765787466993515,0.1776470973858372,0.06524625625818797,780369129.4872931
acetoacetate,raman,552.0,16,0.6977227094015771,12.385799926340514,0.2236257889286065,0.2947205460734271,697722709.4015771
acetoacetate,raman,580.0,30,0.6062133584452817,18.17477661703706,0.207857033183891,0.21602052429436858,606213358.4452816
acetyl-coa,raman,724.0,102,6.438549567275144,18.58222532085111,1.0,5.37307939407036,6438549567.275144
acetyl-coa,raman,1334.0,407,4.891137673099375,55.40373700751127,0.7285389582614901,3.5210317787758214,4891137673.099375
acetyl-coa,raman,1126.0,303,2.6698985602549836,140.34369907048244,0.40505260967656526,1.3140406148129502,2669898560.2549834
acetyl-coa,raman,632.0,56,2.569640929078334,27.803868021436998,0.44350481678922943,1.576381457645274,2569640929.078334
acetyl-coa,raman,806.0,143,2.3156925635945282,22.18493452247003,0.3949387193843112,1.245038424748554,2315692563.594528
acetyl-coa,raman,882.0,181,1.6920563420716728,34.218945896975754,0.337065842054889,0.850199726120718,1692056342.0716727
acetyl-coa,raman,1578.0,529,1.2861292288598722,18.026223809486964,0.2656585629547063,0.3630223391733974,1286129228.859872
acetyl-coa,raman,1510.0,495,1.1905008990668782,15.167927042979386,0.2838630814669022,0.48722297909643614,1190500899.066878
acetyl-coa,raman,1412.0,446,0.9894928110773457,24.706835019974164,0.3813825595967356,1.1525512919859984,989492811.0773456
acetyl-coa,raman,1672.0,576,0.9819562178315686,55.97321301262582,0.22735246717690324,0.10167834343030598,981956217.8315686
acetyl-coa,raman,1052.0,266,0.8672936394244957,40.66590837623352,0.35773093140409856,0.9911876528005221,867293639.4244956
acetyl-coa,raman,1206.0,343,0.8591226067297524,14.650950546104468,0.1779253776703717,-0.23553882285354114,859122606.7297523
adenine,raman,722.0,101,7.600891542300592,11.158289478771138,1.0,7.003238304388956,7600891542.300591
adenine,raman,1334.0,407,6.377035578556881,11.606193188136672,0.844123577809553,5.806170894991636,6377035578.55688
adenine,raman,1248.0,364,3.9394887394452516,11.833557254117409,0.5334738294808797,3.4205074044132324,3939488739.4452515
adenine,raman,536.0,8,3.590301673009103,11.35701652658525,0.482256998941804,3.0271830145574947,3590301673.009103
adenine,raman,1484.0,482,2.9814420746921746,21.24011422280512,0.40657597471551443,2.4459835853044116,2981442074.6921744
adenine,raman,942.0,211,2.840311952808201,13.018784347182134,0.387969247611698,2.3030915025985674,2840311952.808201
adenine,raman,1126.0,303,2.518490135730576,11.483786130996464,0.3451695929173694,1.9744075935886278,2518490135.730576
adenine,raman,622.0,51,2.2003411406666955,13.048716706210882,0.3079836962908566,1.6888350591713968,2200341140.6666956
adenine,raman,1372.0,426,1.2160101858331835,10.915566204990796,0.2151470679945687,0.9758875808411549,1216010185.8331835
adenine,raman,1024.0,252,1.0371858467869166,13.109770454082138,0.17739380052983753,0.6859578695659391,1037185846.7869165
adenine,raman,898.0,189,0.9517054836196863,10.654415691637837,0.1654023817095622,0.5938686590203756,951705483.6196862
alanine,raman,852.0,166,7.973540297781406,12.146514264083066,1.0,7.463540899494418,7973540297.781405
alanine,raman,1360.0,420,5.118098308952801,11.83418400712128,0.6407356501812783,4.574838693687326,5118098308.952801
alanine,raman,1306.0,393,3.6633735475362648,11.36616183841511,0.47348369746011254,3.2300320492346857,3663373547.5362644
alanine,raman,1462.0,471,3.314905042495013,10.613703005149887,0.4184862236224705,2.787819165967036,3314905042.4950128
alanine,raman,532.0,6,3.2408833374655783,13.018477893654175,0.4649453635160327,3.1613786910302704,3240883337.465578
alanine,raman,1020.0,250,2.8624330945905405,13.77144162959064,0.3621236142420004,2.33462976901028,2862433094.5905404
alanine,raman,1484.0,482,2.667447336961462,9.383422986988876,0.37342448069365486,2.4254955558964477,2667447336.961462
alanine,raman,1114.0,297,2.077176469482838,11.328971665191261,0.2702095118184035,1.5955849109557694,2077176469.482838
alanine,raman,1412.0,446,1.6708827010910092,15.819203432078439,0.2155493850090528,1.156084501400692,1670882701.0910091
alanine,raman,1596.0,538,1.4715735004172505,13.930328888558279,0.19689934541493237,1.0061269268706576,1471573500.4172504
alanine,raman,1148.0,314,1.350558409276488,13.96297721823737,0.19484944119297407,0.9896444597106064,1350558409.2764878
alanine,raman,652.0,66,1.2209168466683136,17.72358711755338,0.1613834019381153,0.720557305741901,1220916846.6683135
alanine,raman,920.0,200,1.1999938082920885,13.532554944425556,0.1585213539632268,0.6975447126405878,1199993808.2920883
alanine,raman,774.0,127,1.1853270790893335,13.093444190613269,0.15679511818117908,0.6836647350868434,1534.2180948578646
albumin,raman,1448.0,464,4.54041174571637,33.64419017012858,1.0,3.0436169783227167,4540411745.71637
albumin,raman,1336.0,408,4.043522055027632,59.13996929893733,0.9219463501071034,2.6280897616842025,4043522055.0276313
albumin,raman,1004.0,242,3.8734602316385973,11.565893640654963,0.9002687526123061,2.512686679793949,3873460231.638597
albumin,raman,1654.0,567,3.5124868087779033,38.776097545230186,0.8522829769175987,2.2572291087511833,3512486808.777903
albumin,raman,940.0,210,2.8349456721570223,46.14997554929619,0.7565379211612258,1.7475197411567585,2834945672.157022
albumin,raman,1034.0,257,2.3768373918294277,43.60726665374625,0.7337936897585273,1.6264383159791553,2376837391.8294277
albumin,raman,1206.0,343,1.9639641252975764,45.34450479856389,0.5692857829059148,0.7506623241672088,1963964125.2975762
albumin,raman,650.0,65,1.7096718800442074,45.10891520738312,0.5789839787950485,0.8022917399569439,1709671880.0442073
albumin,raman,1606.0,543,0.9017929463799462,8.507333234448652,0.5901342543434074,0.8616514620163187,901792946.3799461
albumin,raman,1102.0,291,0.8794383924777638,16.055964384117374,0.6099546659714327,0.9671676100468609,879438392.4777638
albumin,raman,828.0,154,0.8228274198545429,8.437522025471083,0.4157057912128235,-0.06693770564772022,822827419.8545429
albumin,raman,896.0,188,0.7757872728345928,13.460731159364457,0.5849787907526871,0.8342057828037165,775787272.8345928
albumin,raman,852.0,166,0.7034139678825196,11.167187107335451,0.5637897558426638,0.7214036177352052,703413967.8825196
albumin,raman,532.0,6,0.6964023215831975,13.877764144044832,0.5590934511517123,0.6964023215831975,696402321.5831975
albumin,raman,742.0,111,0.6697447950876625,8.415465833297162,0.34284202521080764,-0.45483600280823544,1133.5970638769543
albumin,raman,568.0,24,0.6205644171688933,8.832353332115744,0.40248050111282807,-0.13734399660309218,49.85609995505746
albumin,raman,1084.0,282,0.5711818675869662,10.44911093870735,0.569646341590248,0.7525817981026544,571181867.5869662
arginine,raman,982.0,231,8.002487237982589,15.680107806381102,1.0,7.310449148188226,8002487237.982588
arginine,raman,1068.0,274,4.647560913722053,17.364463730156785,0.5825459280518644,3.9667896896960375,4647560913.722053
arginine,raman,1436.0,458,3.488131736844017,27.95481881958233,0.4430698793807184,2.8496358739576326,3488131736.8440166
arginine,raman,1298.0,389,2.0932290957721857,46.28912180693874,0.2644751063553979,1.4191549128387058,2093229095.7721856
arginine,raman,552.0,16,1.9896571525612803,14.255299958231621,0.25574660581470476,1.3492427108684524,1989657152.5612803
arginine,raman,1100.0,290,1.7695542238589945,12.0352158627162,0.29077463206561516,1.6298048113639545,1769554223.8589945
arginine,raman,1190.0,335,1.7052409854256212,22.07643565324213,0.217432068073491,1.0423568158086436,1705240985.425621
arginine,raman,850.0,165,1.5469334467064457,15.31656887035308,0.20222424788530438,0.920547555264178,1546933446.7064457
arginine,raman,612.0,46,1.5254029699614844,14.195859223963268,0.22483622554555038,1.1016614982329482,1525402969.9614842
arginine,raman,1476.0,478,1.4352870038608345,9.400258535542093,0.22066978500884124,1.0682897832469138,1435287003.8608344
arginine,raman,922.0,201,1.3430305211421132,18.756202548798854,0.1760725004531457,0.7110813084754775,1343030521.1421132
arginine,raman,576.0,28,0.9930352163369343,11.318286480909606,0.18365204269766974,0.77179076089182,993035216.3369342
arginine,raman,1032.0,256,0.9009275895223811,15.725176538032201,0.1295280135287233,0.338276431476107,900927589.522381
