analyte,family,family_ambiguous,n_raman,n_sers,raman_sources,sers_sources,raman_multi_source,within_raman_cos,within_sers_cos,cosine,pearson,spearman,spectral_angle_deg,nrmse,derivative_corr,xcorr_max,xcorr_lag_cm,dtw,peak_overlap,peak_jaccard,peak_precision,peak_recall,peak_f1,n_raman_peaks,n_sers_peaks,n_matched,n_raman_only,n_sers_only,matched_pct_of_raman,unmatched_pct_of_raman,mean_shift,median_shift,mean_abs_shift,max_abs_shift,std_shift,peak_correspondence_score,align_baseline_cosine,align_baseline_peak_f1,align_optimal_shift_cm,align_aligned_cosine,align_aligned_peak_f1,align_cosine_gain,align_peak_f1_gain,red_n_pairs,red_peak_rank_corr,red_norm_intensity_corr,red_band_ratio_preservation,red_intensity_redistribution_index,reproducibility_ceiling,cosine_vs_ceiling,interpretation
acetoacetate,organic_acid,False,4,5,RamanBioLib|gobbato_raman_metabolites,gobbato_sers_metabolites,True,0.9748478622877353,0.7191315361317681,0.0005867707922053616,0.0005867707922053522,-0.029415761909755762,89.96638050813588,0.2650961958188405,-0.06144643552408045,0.3095285009584885,630.0,0.26220670071005625,0.326530612244898,0.1951219512195122,0.24242424242424243,0.5,0.326530612244898,16,33,8,8,25,50.0,50.0,-0.25,-2.0,5.75,12.0,6.959705453537527,0.17006802721088435,0.0005867707922053616,0.326530612244898,-10.0,0.0844814911120581,0.326530612244898,0.08389472031985275,0.0,8,-0.19047619047619052,0.0036146238976029754,-0.32026660557371195,0.25531287838143146,0.8469896992097516,0.0006927720523081019,"Of 16 prominent Raman bands, 8 (50%) have an Ag-SERS counterpart within 12 cm⁻¹ (peak F1 0.33), while the full-profile cosine is only +0.00 — the band inventory therefore agrees far better than the overall spectral shape. Strongest retained correspondences: 1400→1392 cm⁻¹ (-8); 640→652 cm⁻¹ (+12); 930→930 cm⁻¹ (+0). Modest systematic displacement (mean |Δν| 5.8 cm⁻¹, median -2.0 cm⁻¹) consistent with chemisorption/charge transfer at the Ag surface rather than a change of vibrational identity. Relative intensities are strongly reordered (peak-rank ρ -0.19, redistribution index 0.26): the same modes are observed but re-weighted by SERS surface selection rules, not replaced. Notes: a band in the 1380–1430 cm⁻¹ carboxylate symmetric-stretch window is present in Ag-SERS, the expected signature of COO⁻ anchoring to the colloid; 25/33 Ag-SERS bands have no Raman counterpart, which may reflect surface-activated modes, adsorbate reorientation, or residual citrate/colloid features; Raman replicates span two sources (Gobbato powder + RamanBioLib), so within-Raman spread here is partly inter-instrument, not pure measurement noise."
acetyl-coa,cofactor,True,3,5,gobbato_raman_metabolites,gobbato_sers_metabolites,False,0.9771817465791579,0.5905814208492564,0.37773020880830144,0.37773020880830216,0.33057898992640133,67.80684274780852,0.14941084520723302,0.16418752875086384,0.37773020880745956,0.0,0.2883057436265157,0.38095238095238093,0.23529411764705882,0.23529411764705882,1.0,0.38095238095238093,12,51,12,0,39,100.0,0.0,-1.5,-1.0,4.833333333333333,12.0,5.951190357119041,0.22751322751322753,0.37773020880830144,0.38095238095238093,0.0,0.37773020880830144,0.38095238095238093,0.0,0.0,12,0.2797202797202798,0.24192012504078297,0.27279615158355197,0.2002351799418241,0.7838815837142071,0.48187151816800033,"Of 12 prominent Raman bands, 12 (100%) have an Ag-SERS counterpart within 12 cm⁻¹ (peak F1 0.38), while the full-profile cosine is only +0.38 — the band inventory therefore agrees far better than the overall spectral shape. Strongest retained correspondences: 724→728 cm⁻¹ (+4); 1334→1340 cm⁻¹ (+6); 1126→1114 cm⁻¹ (-12). Modest systematic displacement (mean |Δν| 4.8 cm⁻¹, median -1.0 cm⁻¹) consistent with chemisorption/charge transfer at the Ag surface rather than a change of vibrational identity. Relative intensities are strongly reordered (peak-rank ρ 0.28, redistribution index 0.20): the same modes are observed but re-weighted by SERS surface selection rules, not replaced. Notes: a band in the 1380–1430 cm⁻¹ carboxylate symmetric-stretch window is present in Ag-SERS, the expected signature of COO⁻ anchoring to the colloid; 39/51 Ag-SERS bands have no Raman counterpart, which may reflect surface-activated modes, adsorbate reorientation, or residual citrate/colloid features."
adenine,purine,False,4,5,RamanBioLib|gobbato_raman_metabolites,gobbato_sers_metabolites,True,0.9574049412258588,0.6344257689529462,0.14087348379574866,0.14087348379574888,0.3717986216193007,81.90160586894397,0.1561716906437146,0.01229746200741804,0.2687333064963341,-84.0,0.32356400399399643,0.16216216216216214,0.08823529411764706,0.11538461538461539,0.2727272727272727,0.16216216216216214,11,26,3,8,23,27.27272727272727,72.72727272727273,4.666666666666667,4.0,4.666666666666667,10.0,4.109609335312651,0.0990990990990991,0.14087348379574866,0.16216216216216214,-8.0,0.2109526267241876,0.37837837837837834,0.07007914292843895,0.2162162162162162,3,0.5,0.46015805960045586,0.9143504750255462,0.13773385171383562,0.7959153550894025,0.17699555976015166,"Of 11 prominent Raman bands, 3 (27%) have an Ag-SERS counterpart within 12 cm⁻¹ (peak F1 0.16), while the full-profile cosine is only +0.14 — the band inventory therefore agrees far better than the overall spectral shape. Characteristic bands are retained: 725 cm⁻¹ (purine ring breathing) → 732 cm⁻¹ (+10); 1330 cm⁻¹ (C-N stretch) → 1338 cm⁻¹ (+4); 1480 cm⁻¹ (imidazole) → 1484 cm⁻¹ (+0). Modest systematic displacement (mean |Δν| 4.7 cm⁻¹, median 4.0 cm⁻¹) consistent with chemisorption/charge transfer at the Ag surface rather than a change of vibrational identity. Relative band intensities are comparatively well preserved (peak-rank ρ 0.50, redistribution 0.14), an unusually faithful transfer for a colloidal SERS measurement. Notes: a band in the 1380–1430 cm⁻¹ carboxylate symmetric-stretch window is present in Ag-SERS, the expected signature of COO⁻ anchoring to the colloid; 23/26 Ag-SERS bands have no Raman counterpart, which may reflect surface-activated modes, adsorbate reorientation, or residual citrate/colloid features; 8/11 Raman bands are not recovered, consistent with modes whose polarisability change lies unfavourably relative to the surface normal; Raman replicates span two sources (Gobbato powder + RamanBioLib), so within-Raman spread here is partly inter-instrument, not pure measurement noise."
alanine,amino_acid,False,4,5,RamanBioLib|gobbato_raman_metabolites,gobbato_sers_metabolites,True,0.9815761622417281,0.38001813070816853,0.02072062613582884,0.020720626135828875,0.00763231520744356,88.81271060387932,0.15012161852802616,-0.13406767650189527,0.28845588697122176,42.0,0.27864678874736143,0.3492063492063492,0.21153846153846154,0.22448979591836735,0.7857142857142857,0.3492063492063492,14,49,11,3,38,78.57142857142857,21.42857142857143,-2.3636363636363638,-4.0,7.090909090909091,12.0,7.666606779021096,0.14285714285714285,0.02072062613582884,0.3492063492063492,-10.0,0.16882516165569084,0.4126984126984127,0.148104535519862,0.06349206349206349,11,-0.05454545454545456,-0.12433344857184211,-0.0005387792067156616,0.25041215070829803,0.6807971464749483,0.030435829884300655,"Of 14 prominent Raman bands, 11 (79%) have an Ag-SERS counterpart within 12 cm⁻¹ (peak F1 0.35), while the full-profile cosine is only +0.02 — the band inventory therefore agrees far better than the overall spectral shape. Strongest retained correspondences: 852→840 cm⁻¹ (-12); 1360→1356 cm⁻¹ (-4); 1306→1300 cm⁻¹ (-6). Modest systematic displacement (mean |Δν| 7.1 cm⁻¹, median -4.0 cm⁻¹) consistent with chemisorption/charge transfer at the Ag surface rather than a change of vibrational identity. Relative intensities are strongly reordered (peak-rank ρ -0.05, redistribution index 0.25): the same modes are observed but re-weighted by SERS surface selection rules, not replaced. Notes: a band in the 1380–1430 cm⁻¹ carboxylate symmetric-stretch window is present in Ag-SERS, the expected signature of COO⁻ anchoring to the colloid; 38/49 Ag-SERS bands have no Raman counterpart, which may reflect surface-activated modes, adsorbate reorientation, or residual citrate/colloid features; Raman replicates span two sources (Gobbato powder + RamanBioLib), so within-Raman spread here is partly inter-instrument, not pure measurement noise."
albumin,protein,False,3,5,gobbato_raman_metabolites,gobbato_sers_metabolites,False,0.8749364942225609,0.9167056269523176,0.5099631647181558,0.5099631647181567,0.6880149971074798,59.338623805863236,0.17856475352724663,0.28571483326377317,0.5123414955058154,-2.0,0.197066771678958,0.35714285714285715,0.21739130434782608,0.45454545454545453,0.29411764705882354,0.35714285714285715,17,11,5,12,6,29.411764705882355,70.58823529411764,3.6,4.0,5.2,8.0,4.079215610874227,0.20238095238095238,0.5099631647181558,0.35714285714285715,-2.0,0.5123414955068817,0.42857142857142855,0.0023783307887258465,0.0714285714285714,5,0.3,-0.4564080721158977,-0.24273897820839208,0.16714501366226808,0.8958210605874393,0.5692690060041063,"Of 17 prominent Raman bands, 5 (29%) have an Ag-SERS counterpart within 12 cm⁻¹ (peak F1 0.36), while the full-profile cosine is only +0.51 — the band inventory therefore agrees far better than the overall spectral shape. Strongest retained correspondences: 1336→1332 cm⁻¹ (-4); 940→946 cm⁻¹ (+6); 1606→1610 cm⁻¹ (+4). Modest systematic displacement (mean |Δν| 5.2 cm⁻¹, median 4.0 cm⁻¹) consistent with chemisorption/charge transfer at the Ag surface rather than a change of vibrational identity. Intensity transfer is partial (peak-rank ρ 0.30, redistribution 0.17), with enhancement favouring a subset of modes. Notes: 6/11 Ag-SERS bands have no Raman counterpart, which may reflect surface-activated modes, adsorbate reorientation, or residual citrate/colloid features; 12/17 Raman bands are not recovered, consistent with modes whose polarisability change lies unfavourably relative to the surface normal."
arginine,amino_acid,False,4,5,RamanBioLib|gobbato_raman_metabolites,gobbato_sers_metabolites,True,0.9911147380710245,0.46182170525723504,0.13804738084126675,0.13804738084126705,0.043478360755758734,82.06512769232971,0.14514027858682613,0.03268932079416068,0.18385252492853527,-712.0,0.3925456029290728,0.32876712328767127,0.19672131147540983,0.2,0.9230769230769231,0.32876712328767127,13,60,12,1,48,92.3076923076923,7.692307692307687,1.3333333333333333,2.0,4.333333333333333,8.0,4.853406592853679,0.21004566210045664,0.13804738084126675,0.32876712328767127,0.0,0.13804738084126675,0.32876712328767127,0.0,0.0,12,0.2867132867132868,0.4161453774847199,0.14266985853165817,0.24889486822717946,0.7264682216641297,0.19002535379323257,"Of 13 prominent Raman bands, 12 (92%) have an Ag-SERS counterpart within 12 cm⁻¹ (peak F1 0.33), while the full-profile cosine is only +0.14 — the band inventory therefore agrees far better than the overall spectral shape. Strongest retained correspondences: 982→986 cm⁻¹ (+4); 1068→1068 cm⁻¹ (+0); 1436→1442 cm⁻¹ (+6). Modest systematic displacement (mean |Δν| 4.3 cm⁻¹, median 2.0 cm⁻¹) consistent with chemisorption/charge transfer at the Ag surface rather than a change of vibrational identity. Relative intensities are strongly reordered (peak-rank ρ 0.29, redistribution index 0.25): the same modes are observed but re-weighted by SERS surface selection rules, not replaced. Notes: a band in the 1380–1430 cm⁻¹ carboxylate symmetric-stretch window is present in Ag-SERS, the expected signature of COO⁻ anchoring to the colloid; 48/60 Ag-SERS bands have no Raman counterpart, which may reflect surface-activated modes, adsorbate reorientation, or residual citrate/colloid features; Raman replicates span two sources (Gobbato powder + RamanBioLib), so within-Raman spread here is partly inter-instrument, not pure measurement noise."
ascorbate,organic_acid,False,4,5,RamanBioLib|gobbato_raman_metabolites,gobbato_sers_metabolites,True,0.986158441091725,0.481104924226104,-0.03673452723024194,-0.03673452723024202,0.05725359427730502,92.10520702385571,0.25277418664948514,0.0636169322863565,0.2673093643722694,316.0,0.34986892988989166,0.36065573770491804,0.22,0.22448979591836735,0.9166666666666666,0.36065573770491804,12,49,11,1,38,91.66666666666666,8.333333333333337,-0.9090909090909091,-2.0,6.0,12.0,7.254522670276364,0.18032786885245902,-0.03673452723024194,0.36065573770491804,10.0,0.0545749845951651,0.2950819672131148,0.09130951182540703,-0.06557377049180324,11,0.38181818181818183,0.20695852060640973,0.36110233962291693,0.24638646881111326,0.7336316826589145,-0.05007216577275443,"Of 12 prominent Raman bands, 11 (92%) have an Ag-SERS counterpart within 12 cm⁻¹ (peak F1 0.36), while the full-profile cosine is only -0.04 — the band inventory therefore agrees far better than the overall spectral shape. Strongest retained correspondences: 1130→1122 cm⁻¹ (-8); 628→628 cm⁻¹ (+0); 1258→1252 cm⁻¹ (-6). Modest systematic displacement (mean |Δν| 6.0 cm⁻¹, median -2.0 cm⁻¹) consistent with chemisorption/charge transfer at the Ag surface rather than a change of vibrational identity. Intensity transfer is partial (peak-rank ρ 0.38, redistribution 0.25), with enhancement favouring a subset of modes. Notes: a band in the 1380–1430 cm⁻¹ carboxylate symmetric-stretch window is present in Ag-SERS, the expected signature of COO⁻ anchoring to the colloid; 38/49 Ag-SERS bands have no Raman counterpart, which may reflect surface-activated modes, adsorbate reorientation, or residual citrate/colloid features; Raman replicates span two sources (Gobbato powder + RamanBioLib), so within-Raman spread here is partly inter-instrument, not pure measurement noise."
cholesterol,lipid,False,3,5,gobbato_raman_metabolites,gobbato_sers_metabolites,False,0.987261148474811,0.9279032180902727,0.10897952493459952,0.10897952493459967,0.20508055739581452,83.74350699340128,0.1755767539661889,0.053610087232564094,0.6591911353320484,388.0,0.36251328515002507,0.2962962962962963,0.17391304347826086,0.5,0.21052631578947367,0.2962962962962963,19,8,4,15,4,21.052631578947366,78.94736842105263,-5.0,-8.0,7.0,8.0,5.196152422706632,0.12345679012345677,0.10897952493459952,0.2962962962962963,6.0,0.12264243699295212,0.2962962962962963,0.0136629120583526,0.0,4,-0.7999999999999999,-0.7994020525404993,-0.9810544935970391,0.45290686075373165,0.9575821832825417,0.11380696804635963,"Of 19 prominent Raman bands, 4 (21%) have an Ag-SERS counterpart within 12 cm⁻¹ (peak F1 0.30), while the full-profile cosine is only +0.11 — the band inventory therefore agrees far better than the overall spectral shape. Characteristic bands are retained: 1670 cm⁻¹ (C=C stretch) → 1666 cm⁻¹ (-8). Modest systematic displacement (mean |Δν| 7.0 cm⁻¹, median -8.0 cm⁻¹) consistent with chemisorption/charge transfer at the Ag surface rather than a change of vibrational identity. Intensity transfer is partial (peak-rank ρ -0.80, redistribution 0.45), with enhancement favouring a subset of modes. Notes: a band in the 1380–1430 cm⁻¹ carboxylate symmetric-stretch window is present in Ag-SERS, the expected signature of COO⁻ anchoring to the colloid; 15/19 Raman bands are not recovered, consistent with modes whose polarisability change lies unfavourably relative to the surface normal."
citrate,organic_acid,False,4,5,RamanBioLib|gobbato_raman_metabolites,gobbato_sers_metabolites,True,0.9140826163100405,0.49771186662549055,-0.03219678477998364,-0.03219678477998372,0.05947835890758515,91.8450587502448,0.15735012411116583,-0.022348728556224957,0.27080365410125107,-106.0,0.3974520785250351,0.34920634920634924,0.21153846153846154,0.21153846153846154,1.0,0.34920634920634924,11,52,11,0,41,100.0,0.0,-2.5454545454545454,-4.0,6.545454545454546,12.0,7.190443612103705,0.15873015873015872,-0.03219678477998364,0.34920634920634924,10.0,0.023168887669603726,0.31746031746031744,0.055365672449587365,-0.0317460317460318,11,-0.3545454545454546,-0.29960365256578725,-0.6060530198922174,0.31355046979245954,0.7058972414677656,-0.045611149737654684,"Of 11 prominent Raman bands, 11 (100%) have an Ag-SERS counterpart within 12 cm⁻¹ (peak F1 0.35), while the full-profile cosine is only -0.03 — the band inventory therefore agrees far better than the overall spectral shape. Characteristic bands are retained: 950 cm⁻¹ (C-C) → 932 cm⁻¹ (-12). Modest systematic displacement (mean |Δν| 6.5 cm⁻¹, median -4.0 cm⁻¹) consistent with chemisorption/charge transfer at the Ag surface rather than a change of vibrational identity. Relative intensities are strongly reordered (peak-rank ρ -0.35, redistribution index 0.31): the same modes are observed but re-weighted by SERS surface selection rules, not replaced. Notes: a band in the 1380–1430 cm⁻¹ carboxylate symmetric-stretch window is present in Ag-SERS, the expected signature of COO⁻ anchoring to the colloid; 41/52 Ag-SERS bands have no Raman counterpart, which may reflect surface-activated modes, adsorbate reorientation, or residual citrate/colloid features; Raman replicates span two sources (Gobbato powder + RamanBioLib), so within-Raman spread here is partly inter-instrument, not pure measurement noise."
coenzyme a,cofactor,True,4,5,RamanBioLib|gobbato_raman_metabolites,gobbato_sers_metabolites,True,0.8217655634383704,0.32651749000778785,0.2683664988057491,0.2683664988057497,0.2554730099338432,74.43291289038622,0.13940063175126632,0.09326731934388638,0.27453544389926027,4.0,0.2468308771651866,0.4,0.25,0.26,0.8666666666666667,0.4,15,50,13,2,37,86.66666666666667,13.33333333333333,-3.230769230769231,-4.0,4.461538461538462,12.0,4.869905166567511,0.2512820512820513,0.2683664988057491,0.4,4.0,0.27453546722158434,0.4,0.006168968415835252,0.0,13,0.5549450549450549,0.28539727652845864,0.5131012805613091,0.16017283226995718,0.5741415267230792,0.4674222057015361,"Of 15 prominent Raman bands, 13 (87%) have an Ag-SERS counterpart within 12 cm⁻¹ (peak F1 0.40), while the full-profile cosine is only +0.27 — the band inventory therefore agrees far better than the overall spectral shape. Strongest retained correspondences: 724→720 cm⁻¹ (-4); 1328→1324 cm⁻¹ (-4); 804→800 cm⁻¹ (-4). Modest systematic displacement (mean |Δν| 4.5 cm⁻¹, median -4.0 cm⁻¹) consistent with chemisorption/charge transfer at the Ag surface rather than a change of vibrational identity. Relative band intensities are comparatively well preserved (peak-rank ρ 0.55, redistribution 0.16), an unusually faithful transfer for a colloidal SERS measurement. Notes: a band in the 1380–1430 cm⁻¹ carboxylate symmetric-stretch window is present in Ag-SERS, the expected signature of COO⁻ anchoring to the colloid; 37/50 Ag-SERS bands have no Raman counterpart, which may reflect surface-activated modes, adsorbate reorientation, or residual citrate/colloid features; Raman replicates span two sources (Gobbato powder + RamanBioLib), so within-Raman spread here is partly inter-instrument, not pure measurement noise; replicate reproducibility is itself limited (within-modality cosine ceiling 0.57), which caps any achievable cross-modal agreement."
