motif,parent_theme,component,weight_v1,band,exemplar,theme_W,raw,theme_share_of_raw,band_only_evidence
purine_ring_breathing,nucleic_purine,3,0.3736,0.833,0.91,0.473,0.76992,0.1536,False
purine_ring_breathing,nucleic_purine,15,0.3159,0.333,1.0,0.672,0.6511,0.2579,False
purine_ring_breathing,nucleic_purine,23,0.1059,0.333,0.0,0.34,0.2181,0.3893,True
purine_ring_breathing,nucleic_purine,13,0.1028,0.333,0.0,0.314,0.21175,0.371,True
purine_ring_breathing,nucleic_purine,0,0.1018,0.333,0.0,0.306,0.20972,0.3649,True
oxopurine_carbonyl,nucleic_purine,15,0.4424,0.667,1.0,0.672,0.7847,0.214,False
oxopurine_carbonyl,nucleic_purine,20,0.1529,0.167,0.507,0.109,0.27145,0.1002,False
oxopurine_carbonyl,nucleic_purine,0,0.1183,0.333,0.0,0.306,0.20972,0.3649,True
oxopurine_carbonyl,nucleic_purine,3,0.1043,0.167,0.0,0.473,0.18502,0.639,True
oxopurine_carbonyl,nucleic_purine,5,0.0938,0.333,0.0,0.132,0.1662,0.1986,True
oxopurine_carbonyl,nucleic_purine,17,0.0883,0.167,0.193,0.089,0.1566,0.1421,False
pyrimidine_ring,nucleic_pyrimidine,17,0.4286,0.833,1.0,0.468,0.80015,0.1462,False
pyrimidine_ring,nucleic_pyrimidine,13,0.2991,0.333,1.0,0.301,0.55837,0.1346,False
pyrimidine_ring,nucleic_pyrimidine,23,0.1911,0.333,0.518,0.169,0.35665,0.1182,False
pyrimidine_ring,nucleic_pyrimidine,21,0.0811,0.333,0.0,0.073,0.15138,0.1201,True
aromatic_ring_residue,aromatic_amino_acid,5,0.3172,0.667,1.0,0.189,0.664,0.0711,False
aromatic_ring_residue,aromatic_amino_acid,6,0.1977,0.167,0.886,0.148,0.41382,0.0892,False
aromatic_ring_residue,aromatic_amino_acid,11,0.152,0.167,0.598,0.168,0.31818,0.1322,False
aromatic_ring_residue,aromatic_amino_acid,22,0.1332,0.333,0.298,0.164,0.27855,0.1474,False
aromatic_ring_residue,aromatic_amino_acid,19,0.1042,0.5,0.0,0.072,0.2181,0.083,True
aromatic_ring_residue,aromatic_amino_acid,0,0.0956,0.167,0.318,0.089,0.20038,0.1112,False
protein_amide_backbone,protein_peptide,2,0.4889,0.833,1.0,0.476,0.80232,0.1485,False
protein_amide_backbone,protein_peptide,0,0.1058,0.333,0.0,0.161,0.17355,0.2325,True
protein_amide_backbone,protein_peptide,3,0.1044,0.333,0.0,0.152,0.1712,0.222,True
protein_amide_backbone,protein_peptide,11,0.1042,0.333,0.0,0.151,0.17095,0.2208,True
protein_amide_backbone,protein_peptide,15,0.0999,0.333,0.0,0.122,0.16378,0.1867,True
protein_amide_backbone,protein_peptide,18,0.0968,0.333,0.0,0.102,0.1588,0.1612,True
lipid_acyl_chain,lipid_acyl,7,0.2844,0.667,0.566,0.491,0.58777,0.2091,False
lipid_acyl_chain,lipid_acyl,16,0.2262,0.5,0.353,0.575,0.4673,0.3076,False
lipid_acyl_chain,lipid_acyl,1,0.2115,0.333,0.439,0.6,0.43685,0.3434,False
lipid_acyl_chain,lipid_acyl,12,0.1039,0.5,0.0,0.059,0.2147,0.0685,True
lipid_acyl_chain,lipid_acyl,10,0.1005,0.5,0.0,0.031,0.2077,0.0371,True
lipid_acyl_chain,lipid_acyl,8,0.0735,0.333,0.0,0.074,0.15165,0.1217,True
sterol_ring_system,sterol_membrane,3,0.3374,0.4,0.609,0.125,0.4043,0.077,False
sterol_ring_system,sterol_membrane,7,0.209,0.6,0.0,0.042,0.25042,0.0416,True
sterol_ring_system,sterol_membrane,8,0.1866,0.0,0.571,0.095,0.22367,0.1065,False
sterol_ring_system,sterol_membrane,2,0.1335,0.4,0.0,0.0,0.16,0.0,True
sterol_ring_system,sterol_membrane,15,0.1335,0.4,0.0,0.0,0.16,0.0,True
glycan_co_network,saccharide_glycan,10,0.2008,0.667,1.0,0.553,0.75508,0.1831,False
glycan_co_network,saccharide_glycan,4,0.1829,0.5,1.0,0.55,0.6875,0.2,False
glycan_co_network,saccharide_glycan,18,0.176,0.5,1.0,0.447,0.66162,0.1687,False
glycan_co_network,saccharide_glycan,12,0.16,0.333,1.0,0.473,0.60152,0.1967,False
glycan_co_network,saccharide_glycan,20,0.1523,0.333,1.0,0.356,0.57222,0.1556,False
glycan_co_network,saccharide_glycan,21,0.128,0.333,0.783,0.295,0.4809,0.1532,False
carboxylate_organic_acid,organic_acid_metabolism,23,0.3968,0.8,1.0,0.342,0.75545,0.1131,False
carboxylate_organic_acid,organic_acid_metabolism,14,0.3486,0.6,0.912,0.419,0.66392,0.1577,False
carboxylate_organic_acid,organic_acid_metabolism,22,0.1652,0.2,0.466,0.286,0.31452,0.2271,False
carboxylate_organic_acid,organic_acid_metabolism,17,0.0894,0.4,0.0,0.041,0.1703,0.0605,True
sulfur_heterocycle_thione,sulfur_antioxidant,19,0.2814,0.667,0.528,0.084,0.47265,0.0445,False
sulfur_heterocycle_thione,sulfur_antioxidant,21,0.1861,0.333,0.439,0.102,0.3124,0.0818,False
sulfur_heterocycle_thione,sulfur_antioxidant,15,0.1765,0.167,0.657,0.0,0.29675,0.0,False
sulfur_heterocycle_thione,sulfur_antioxidant,3,0.1362,0.167,0.427,0.051,0.22905,0.0559,False
sulfur_heterocycle_thione,sulfur_antioxidant,20,0.1118,0.167,0.316,0.042,0.18792,0.056,False
sulfur_heterocycle_thione,sulfur_antioxidant,5,0.1079,0.333,0.0,0.192,0.18112,0.2646,True
porphyrin_macrocycle,heme_porphyrin,8,0.3305,0.6,1.0,0.099,0.61482,0.0404,False
porphyrin_macrocycle,heme_porphyrin,13,0.2527,0.4,0.844,0.058,0.46998,0.031,False
porphyrin_macrocycle,heme_porphyrin,0,0.2304,0.6,0.504,0.049,0.4286,0.0285,False
porphyrin_macrocycle,heme_porphyrin,2,0.0963,0.4,0.0,0.076,0.17913,0.1068,True
porphyrin_macrocycle,heme_porphyrin,22,0.0901,0.4,0.0,0.03,0.16758,0.0452,True
flavin_redox_cofactor,redox_broad,0,0.4747,0.8,1.0,0.09,0.6926,0.0326,False
flavin_redox_cofactor,redox_broad,22,0.1645,0.6,0.0,0.0,0.24,0.0,True
flavin_redox_cofactor,redox_broad,17,0.1414,0.2,0.361,0.0,0.20635,0.0,False
flavin_redox_cofactor,redox_broad,2,0.1097,0.4,0.0,0.0,0.16,0.0,True
flavin_redox_cofactor,redox_broad,8,0.1097,0.4,0.0,0.0,0.16,0.0,True
colloid_matrix_background,background_matrix,14,0.2505,0.667,0.973,0.084,0.62828,0.0333,False
