motif,band_fidelity_v1,band_fidelity_v6,delta
purine_ring_breathing,0.6976,0.7012,0.0036
oxopurine_carbonyl,0.5267,0.6174,0.0907
pyrimidine_ring,0.6298,0.6926,0.0628
aromatic_ring_residue,0.7135,0.779,0.0655
protein_amide_backbone,0.4717,0.5634,0.0917
lipid_acyl_chain,0.8139,0.8087,-0.0052
sterol_ring_system,0.3977,0.491,0.0933
glycan_co_network,0.5919,0.5967,0.0048
carboxylate_organic_acid,0.4825,0.5126,0.0301
sulfur_heterocycle_thione,0.6322,0.6395,0.0074
porphyrin_macrocycle,0.663,0.6815,0.0185
flavin_redox_cofactor,0.6791,0.6918,0.0127
colloid_matrix_background,0.4196,0.451,0.0314
