motif,component_weight_cosine,components_v1,components_v6,components_shared,components_added,components_dropped,activation_spearman,stability_v1,stability_v6,breadth_v1,breadth_v6,confidence_v1,confidence_v6,spectral_purity_v6
purine_ring_breathing,0.9174,"[0, 3, 13, 15, 23]","[0, 2, 3, 13, 15, 18]",4,2,1,0.7197,0.7895,0.8192,0.3333,0.8333,0.2632,0.6826,0.0771
oxopurine_carbonyl,0.8932,"[0, 3, 5, 15, 17, 20]","[0, 2, 7, 15, 17, 20]",4,2,2,0.6705,0.7887,0.8309,0.3333,0.75,0.2629,0.6232,0.0724
pyrimidine_ring,0.9743,"[13, 17, 21, 23]","[7, 13, 14, 17, 21, 23]",4,2,0,0.8903,0.7612,0.78,0.3333,0.625,0.2537,0.4875,0.1155
aromatic_ring_residue,0.9538,"[0, 5, 6, 11, 19, 22]","[5, 6, 11, 15, 19, 22]",5,1,1,0.9273,0.8021,0.8032,0.3333,0.7083,0.2674,0.5689,0.0679
protein_amide_backbone,0.9021,"[0, 2, 3, 11, 15, 18]","[0, 2, 7, 10, 11, 18]",4,2,2,0.7568,0.8997,0.8897,0.3333,0.7083,0.2999,0.6302,0.0865
lipid_acyl_chain,0.9604,"[1, 7, 8, 10, 12, 16]","[1, 2, 7, 10, 12, 16]",5,1,1,0.9737,0.8797,0.8794,0.3333,0.625,0.2932,0.5496,0.0432
sterol_ring_system,0.9343,"[2, 3, 7, 8, 15]","[1, 2, 3, 7, 8, 15]",5,1,0,0.7818,0.8833,0.8989,0.3333,0.5833,0.2944,0.5244,0.0183
glycan_co_network,0.9987,"[4, 10, 12, 18, 20, 21]","[4, 10, 12, 18, 20, 21]",6,0,0,0.9993,0.7685,0.7699,0.3333,0.7917,0.2562,0.6095,0.0087
carboxylate_organic_acid,0.9871,"[14, 17, 22, 23]","[13, 14, 17, 22, 23]",4,1,0,0.969,0.7726,0.7639,0.3333,0.65,0.2575,0.4965,0.1063
sulfur_heterocycle_thione,0.9948,"[3, 5, 15, 19, 20, 21]","[3, 5, 15, 19, 20, 21]",6,0,0,0.9984,0.7916,0.7891,0.3333,0.9167,0.2639,0.7234,0.0239
porphyrin_macrocycle,0.9866,"[0, 2, 8, 13, 22]","[0, 2, 8, 13, 18, 22]",5,1,0,0.8793,0.8199,0.8245,0.3333,0.625,0.2733,0.5153,0.0987
flavin_redox_cofactor,0.9856,"[0, 2, 8, 17, 22]","[0, 2, 8, 13, 17, 22]",5,1,0,0.9732,0.8288,0.814,0.3333,0.5833,0.2763,0.4748,0.1259
colloid_matrix_background,0.9928,"[6, 9, 10, 14, 21, 23]","[6, 9, 10, 14, 21, 23]",6,0,0,0.9959,0.7668,0.7635,0.3333,0.625,0.2556,0.4772,0.0301
