motif,chemical_class,n_bands,bands_cm,n_exemplars,exemplars,n_components,components,top_component,top_component_weight,spectral_purity,band_fidelity,stability,evidence_breadth,confidence,corpus_coverage_n,corpus_coverage_pct,discriminative_auc,claimed_families,top_activating_analytes,top_activating_family,mean_activation,non_biochemical
purine_ring_breathing,-,6,"[720, 730, 1250, 1334, 1480, 1580]",4,"adenine, guanine, hypoxanthine, xanthine",6,"[3, 15, 0, 2, 13, 18]",3,0.3549,0.0771,0.7012,0.8192,0.8333,0.6826,4,2.4,0.9831,purine(4),"xanthine, adenine, guanine, acetyl coenzyme a",purine,0.03203,False
oxopurine_carbonyl,-,6,"[640, 938, 1230, 1330, 1580, 1660]",4,"xanthine, guanine, urate, hypoxanthine",6,"[15, 20, 0, 7, 2, 17]",15,0.3743,0.0724,0.6174,0.8309,0.75,0.6232,4,2.4,0.8834,purine(4),"guanine, xanthine, cysteine, fructose",purine,0.03328,False
pyrimidine_ring,-,6,"[560, 578, 790, 1236, 1396, 1660]",4,"uracil, cytosine, thymine, uridine",6,"[17, 13, 23, 7, 14, 21]",17,0.3719,0.1155,0.6926,0.78,0.625,0.4875,3,1.8,1.0,pyrimidine(3),"uracil, cytosine, thymine, t-rna",pyrimidine,0.03138,False
aromatic_ring_residue,-,6,"[640, 828, 852, 1006, 1178, 1614]",3,"phenylalanine, tyrosine, tryptophan",6,"[5, 6, 11, 22, 15, 19]",5,0.3305,0.0679,0.779,0.8032,0.7083,0.5689,4,2.4,0.9816,amino_acid(4),"tyrosine, urea, phenylalanine, ure",amino_acid,0.03239,False
protein_amide_backbone,-,6,"[856, 1000, 1130, 1240, 1336, 1654]",4,"albumin, ubiquitin, trypsin, superoxide dismutases",6,"[2, 11, 0, 18, 7, 10]",2,0.3992,0.0865,0.5634,0.8897,0.7083,0.6302,9,5.4,0.9339,protein(9),"major proteinase, ubiquitin, superoxide dismutases, trypsin",protein,0.04762,False
lipid_acyl_chain,-,6,"[1062, 1130, 1260, 1302, 1442, 1654]",4,"elaidic acid, arachidonic acid, palmitic acid, tripalmitolein",6,"[7, 16, 1, 10, 12, 2]",7,0.2712,0.0432,0.8087,0.8794,0.625,0.5496,4,2.4,0.8865,"fatty_acid(2), organic_acid(1), triglyceride(1)","triarachidin, tribehenin, tristearin, trilinolein",triglyceride,0.07087,False
sterol_ring_system,-,5,"[536, 700, 1250, 1440, 1670]",3,"estrone, cholesterol, diethylstilbestrol",6,"[3, 7, 2, 8, 15, 1]",3,0.2444,0.0183,0.491,0.8989,0.5833,0.5244,3,1.8,0.6829,"sterol(2), lipid(1)","arachidonic acid, trilinolenin, trilinolein, adenine",fatty_acid,0.05032,False
glycan_co_network,-,6,"[816, 872, 916, 1054, 1108, 1122]",4,"glucose, galactose, fructose, cellulose",6,"[10, 18, 4, 20, 12, 21]",10,0.2006,0.0087,0.5967,0.7699,0.7917,0.6095,12,7.2,0.9113,"saccharide(10), polysaccharide(1), protein(1)","(+)-dextrose, β-d-glucose, lactose, cellulose",saccharide,0.04011,False
carboxylate_organic_acid,-,5,"[760, 940, 1382, 1398, 1628]",4,"citrate, succinic acid, pyruvate, fumarate",5,"[23, 14, 22, 17, 13]",23,0.3393,0.1063,0.5126,0.7639,0.65,0.4965,5,3.0,0.9716,organic_acid(5),"aspartic acid, citrate, succinic acid, phosphate",organic_acid,0.03602,False
sulfur_heterocycle_thione,-,6,"[536, 640, 674, 838, 970, 1200]",4,"ergothioneine, cysteine, glutathione, methionine",6,"[19, 15, 21, 5, 3, 20]",19,0.2625,0.0239,0.6395,0.7891,0.9167,0.7234,5,3.0,0.8037,"amino_acid(2), cofactor(2), protein(1)","creatinine, tubulin, xanthine, ergothioneine",purine,0.02978,False
porphyrin_macrocycle,-,5,"[750, 1130, 1362, 1590, 1620]",4,"hemoglobin, myoglobin, cytochrome c, melanin",6,"[8, 13, 0, 22, 18, 2]",8,0.3277,0.0987,0.6815,0.8245,0.625,0.5153,4,2.4,0.9954,"protein(3), unknown(1)","melanin, thymine, myoglobin, hemoglobin",protein,0.03149,False
flavin_redox_cofactor,-,5,"[754, 1178, 1348, 1408, 1578]",4,"riboflavin, ubiquinone, nadh, fad",6,"[0, 22, 8, 17, 2, 13]",0,0.4316,0.1259,0.6918,0.814,0.5833,0.4748,2,1.2,1.0,cofactor(2),"riboﬂavin, riboflavin, tryptophan, melanin",cofactor,0.03135,False
colloid_matrix_background,-,3,"[930, 1050, 1400]",3,"citrate, phosphate, urea",6,"[14, 21, 23, 6, 10, 9]",14,0.2787,0.0301,0.451,0.7635,0.625,0.4772,6,3.6,0.941,"organic_acid(2), saccharide(1), protein(1), unknown(1)","phosphate, aspartic acid, citrate, succinic acid",organic_acid,0.03553,True
