motif_a,motif_b,activation_corr,component_support_cosine
porphyrin_macrocycle,flavin_redox_cofactor,0.6927,0.6986
carboxylate_organic_acid,colloid_matrix_background,0.6776,0.6874
purine_ring_breathing,sterol_ring_system,0.2434,0.6793
pyrimidine_ring,carboxylate_organic_acid,0.4663,0.5346
lipid_acyl_chain,sterol_ring_system,0.5824,0.5014
purine_ring_breathing,oxopurine_carbonyl,0.5056,0.5006
oxopurine_carbonyl,sterol_ring_system,0.3525,0.4613
protein_amide_backbone,sterol_ring_system,0.3928,0.4591
oxopurine_carbonyl,sulfur_heterocycle_thione,0.3237,0.4499
aromatic_ring_residue,sulfur_heterocycle_thione,0.3269,0.4425
purine_ring_breathing,sulfur_heterocycle_thione,0.3312,0.4211
protein_amide_backbone,lipid_acyl_chain,0.0268,0.3813
protein_amide_backbone,flavin_redox_cofactor,0.2653,0.3568
oxopurine_carbonyl,protein_amide_backbone,0.3451,0.3336
oxopurine_carbonyl,flavin_redox_cofactor,0.2899,0.325
purine_ring_breathing,protein_amide_backbone,0.2557,0.3137
pyrimidine_ring,colloid_matrix_background,0.1619,0.304
sterol_ring_system,sulfur_heterocycle_thione,-0.1913,0.2966
purine_ring_breathing,porphyrin_macrocycle,0.259,0.2891
purine_ring_breathing,flavin_redox_cofactor,0.2056,0.2864
sterol_ring_system,porphyrin_macrocycle,0.027,0.2855
protein_amide_backbone,porphyrin_macrocycle,0.1561,0.2823
glycan_co_network,colloid_matrix_background,0.1779,0.2595
pyrimidine_ring,porphyrin_macrocycle,0.2201,0.2345
pyrimidine_ring,flavin_redox_cofactor,0.3455,0.2281
protein_amide_backbone,glycan_co_network,-0.0388,0.2212
glycan_co_network,sulfur_heterocycle_thione,0.136,0.2177
oxopurine_carbonyl,lipid_acyl_chain,-0.1586,0.2169
lipid_acyl_chain,glycan_co_network,-0.3979,0.2105
oxopurine_carbonyl,pyrimidine_ring,0.1805,0.2073
carboxylate_organic_acid,flavin_redox_cofactor,0.2446,0.171
sulfur_heterocycle_thione,colloid_matrix_background,0.1171,0.1675
oxopurine_carbonyl,porphyrin_macrocycle,0.0628,0.1627
oxopurine_carbonyl,aromatic_ring_residue,0.0691,0.1593
sterol_ring_system,flavin_redox_cofactor,0.0447,0.1468
aromatic_ring_residue,colloid_matrix_background,0.1875,0.1398
carboxylate_organic_acid,porphyrin_macrocycle,0.0814,0.1258
oxopurine_carbonyl,glycan_co_network,-0.1286,0.1222
aromatic_ring_residue,protein_amide_backbone,0.0712,0.1063
purine_ring_breathing,pyrimidine_ring,0.0644,0.0989
pyrimidine_ring,lipid_acyl_chain,-0.3038,0.0988
purine_ring_breathing,glycan_co_network,0.0152,0.0954
purine_ring_breathing,aromatic_ring_residue,0.0466,0.0929
aromatic_ring_residue,flavin_redox_cofactor,0.0393,0.083
lipid_acyl_chain,colloid_matrix_background,-0.4958,0.075
aromatic_ring_residue,carboxylate_organic_acid,-0.0354,0.0731
pyrimidine_ring,sterol_ring_system,-0.1639,0.0717
glycan_co_network,porphyrin_macrocycle,-0.108,0.0707
protein_amide_backbone,colloid_matrix_background,-0.1236,0.0643
aromatic_ring_residue,sterol_ring_system,-0.2389,0.0597
pyrimidine_ring,sulfur_heterocycle_thione,0.0183,0.0557
purine_ring_breathing,lipid_acyl_chain,-0.4104,0.0524
pyrimidine_ring,glycan_co_network,-0.1262,0.0396
aromatic_ring_residue,porphyrin_macrocycle,-0.0393,0.0373
oxopurine_carbonyl,carboxylate_organic_acid,-0.0674,0.0366
lipid_acyl_chain,flavin_redox_cofactor,-0.2953,0.0361
pyrimidine_ring,protein_amide_backbone,-0.1586,0.036
lipid_acyl_chain,porphyrin_macrocycle,-0.331,0.0342
purine_ring_breathing,carboxylate_organic_acid,0.0242,0.0314
porphyrin_macrocycle,colloid_matrix_background,-0.1105,0.0
purine_ring_breathing,colloid_matrix_background,-0.0383,0.0
sulfur_heterocycle_thione,flavin_redox_cofactor,-0.0963,0.0
sulfur_heterocycle_thione,porphyrin_macrocycle,-0.1072,0.0
oxopurine_carbonyl,colloid_matrix_background,-0.1743,0.0
pyrimidine_ring,aromatic_ring_residue,-0.1762,0.0
carboxylate_organic_acid,sulfur_heterocycle_thione,-0.0434,0.0
glycan_co_network,flavin_redox_cofactor,-0.3056,0.0
aromatic_ring_residue,lipid_acyl_chain,-0.4345,0.0
aromatic_ring_residue,glycan_co_network,-0.0695,0.0
glycan_co_network,carboxylate_organic_acid,-0.1384,0.0
sterol_ring_system,colloid_matrix_background,-0.421,0.0
protein_amide_backbone,carboxylate_organic_acid,-0.1648,0.0
protein_amide_backbone,sulfur_heterocycle_thione,-0.2287,0.0
lipid_acyl_chain,carboxylate_organic_acid,-0.3908,0.0
sterol_ring_system,carboxylate_organic_acid,-0.2738,0.0
sterol_ring_system,glycan_co_network,-0.5824,0.0
lipid_acyl_chain,sulfur_heterocycle_thione,-0.4861,0.0
flavin_redox_cofactor,colloid_matrix_background,-0.0868,0.0
