analyte,family
(+)-arabinose,saccharide
(+)-dextrose,saccharide
(+)-fucose,saccharide
(+)-galactosamine,saccharide
(+)-maltose,saccharide
(+)-mannose,saccharide
(+)-raffinose pentahydrate,saccharide
(+)-sucrose,saccharide
(+)-trehalose,saccharide
(+)-xylose,saccharide
(-)-arabinose,saccharide
(-)-ribose,saccharide
12-methyltetradecanoic acid,fatty_acid
13-methylmyristicacid,fatty_acid
14-methylhexadecanoic acid,fatty_acid
14-methylpentadecanoic acid,fatty_acid
15-methylpalmiticacid,fatty_acid
2-deoxy-d-ribose,saccharide
a-dna,nucleic_acid
acetoacetate,organic_acid
acetyl coenzyme a,protein
acetyl-coa,cofactor
amylopectin,polysaccharide
amylose,polysaccharide
arachidic acid,fatty_acid
arginine,amino_acid
ascorbate,organic_acid
asparagine,amino_acid
aspartate,organic_acid
aspartic acid,organic_acid
b-dna,nucleic_acid
carbonic anhydrase,protein
carotene,carotenoid
ceramide,phospholipid
chitin,polysaccharide
cholesteryl linoleate,sterol
cholesteryl oleate,sterol
cholesteryl palmitate,sterol
cholesteryl stearate,sterol
coenzyme a,cofactor
collagen,protein
creatinine,small_nitrogenous
elastase,protein
elastin,protein
estradiol,sterol
estriol,sterol
ethinylestradiol,sterol
ferritin,protein
glucosamine,saccharide
glutamate,amino_acid
gluth,unknown
glycerol,polyol
glycine,amino_acid
glycogen,polysaccharide
histidine,amino_acid
horseradish peroxidase,protein
hydroxyproline,amino_acid
insulin,protein
isoleucine,amino_acid
keratin,protein
lactate,organic_acid
lauric acid,fatty_acid
lectin,protein
leucine,amino_acid
linoleic acid,fatty_acid
major proteinase,protein
malic acid,organic_acid
mannose,saccharide
myristic acid,fatty_acid
n-acetyl- d-glucosamine,saccharide
n-acetylglucosamine,saccharide
oleate,lipid
palmitoleic acid,organic_acid
papain,protein
pepsin,protein
pepsinogen,protein
phosphatidylinositol,lipid
proline,amino_acid
serine,amino_acid
sphingomyelin,phospholipid
stearate,lipid
t-rna,nucleic_acid
thaumatin,protein
tri-11-eicosenoin,unknown
triarachidin,triglyceride
tribehenin,triglyceride
tricaprin,triglyceride
tricaproin,triglyceride
tricaprylin,triglyceride
trielaidin,triglyceride
trierucin,triglyceride
trilaurin,triglyceride
trilinolein,triglyceride
trilinolenin,triglyceride
trimyristin,triglyceride
triolein,lipid
tripalmitin,triglyceride
tripetroselinin,triglyceride
tristearin,triglyceride
tubulin,protein
vaccenic acid,organic_acid
valine,amino_acid
xylanase,protein
α-linolenic acid,fatty_acid
α-phosphatidylcholine,unknown
α-phosphatidylethanolamine,unknown
β-carotene,carotenoid
