method,K,n_scored,chemically_admissible,top1,top3,null_top1,null_p95,kappa,above_null_p95,macro_f1,balanced_acc,mean_expected_rank,median_expected_rank,ece,mean_confidence,chem_coherence,spec_coherence,resolution,interpretability,score_kappa_x_interp,theme_overlap,theme_usage_entropy,max_theme_size,min_theme_size,theme_names,pareto
A_manual,2,163,False,0.8282,1.0,0.5229,0.5828,0.64,True,0.8154,0.8198,1.172,1,0.179,0.6493,0.1947,0.4581,0.2447,0.2887,0.1848,0.7742,0.983,10,7,Free + Aromatic + Flavin… | Organic + Carotenoid + Fatty…,False
A_manual,3,163,False,0.7301,1.0,0.487,0.5399,0.4738,True,0.6487,0.6128,1.301,1,0.1682,0.5619,0.1761,0.4789,0.3878,0.3304,0.1566,0.7238,0.6761,7,4,Nucleic acid | Free + Aromatic + Flavin… | Organic + Carotenoid + Fatty…,False
A_manual,4,163,False,0.6626,0.9939,0.3365,0.3865,0.4915,True,0.5567,0.5745,1.479,1,0.2235,0.4992,0.1734,0.5066,0.4893,0.3682,0.1809,0.6462,0.6436,7,3,Nucleic acid | Protein / amino acid | Lipid | Organic + Carotenoid + Flavin…,False
A_manual,5,163,False,0.6135,0.9755,0.2171,0.2699,0.5063,True,0.5863,0.6134,1.558,1,0.1906,0.4229,0.2162,0.5444,0.5681,0.4202,0.2128,0.6415,0.9029,5,2,Nucleic acid | Protein / amino acid | Lipid | Carbohydrate | Organic + Carotenoid + Flavin…,False
A_manual,6,163,False,0.6564,0.9632,0.2208,0.2761,0.5591,True,0.5359,0.5566,1.54,1,0.2468,0.4096,0.3484,0.6224,0.6324,0.5158,0.2884,0.6231,0.9355,4,1,Nucleic acid | Protein / amino acid | Lipid | Carbohydrate | Organic acid | Cofactor / redox,False
A_manual,8,163,False,0.5521,0.9018,0.1985,0.2454,0.4412,True,0.3606,0.4165,1.871,1,0.1718,0.385,0.3461,0.7235,0.734,0.5757,0.254,0.6103,0.787,4,1,Nucleobase | Phosphate ester | Protein | Free amino acid | Lipid | Carbohydrate | Organic acid | Cofactor / redox,False
A_manual,10,163,False,0.546,0.8834,0.1974,0.2454,0.4344,True,0.3408,0.3738,1.957,1,0.1693,0.3767,0.5506,0.8379,0.8127,0.7154,0.3108,0.5743,0.6942,4,1,Purine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Lipid | Carbohydrate | Organic acid | Cofactor / redox,False
A_manual,12,163,False,0.4479,0.8834,0.1413,0.1779,0.357,True,0.2927,0.3622,2.086,2,0.1124,0.346,0.5873,0.9171,0.8771,0.7732,0.276,0.5558,0.6507,4,1,Purine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Acyl lipid | Sterol | Monosaccharide | Polysaccharide | Organic acid | Cofactor / redox,False
A_manual,14,163,True,0.411,0.8712,0.0827,0.1166,0.3579,True,0.3467,0.4222,2.104,2,0.1586,0.2525,0.553,0.9366,0.9315,0.7816,0.2798,0.524,0.7811,3,1,Purine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Fatty acyl | Acylglycerol | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Conjugated cofactor,False
A_manual,17,163,True,0.5706,0.9141,0.0973,0.135,0.5243,True,0.438,0.523,1.816,1,0.3469,0.2236,0.6054,1.0,1.0,0.8422,0.4415,0.5042,0.8694,1,1,Purine | Oxopurine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Fatty acyl | Acylglycerol | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Porphyrin | Flavin | Carotenoid,False
