theme,K_index,n_motifs,motifs,n_analytes,coverage_pct,top1,top3,median_rank,mean_confidence,motif_confidence,key_bands_cm,key_components,example_analytes,failure_cases,most_confused_with
Purine,0,2,"oxopurine_carbonyl, purine_ring_breathing",9,5.5,0.778,1.0,1,0.273,0.691,"640, 720, 730, 938, 1230, 1250, 1330, 1334, 1480, 1580","c15, c3, c19, c23, c17, c20","a-dna, adenine, b-dna, creatinine, guanine, hypoxanthine","creatinine, urate",Pyrimidine
Pyrimidine,1,1,pyrimidine_ring,3,1.8,0.667,1.0,1,0.317,0.487,"560, 578, 790, 1236, 1396, 1660","c17, c23, c13, c7, c14, c21","cytosine, thymine, uracil",thymine,Flavin + Porphyrin
Monosaccharide + Phosphate,2,2,"glycan_co_network, nucleic_backbone_phosphate",36,22.1,0.722,0.972,1,0.253,0.607,"788, 816, 835, 872, 916, 920, 1052, 1054, 1094, 1108","c17, c10, c4, c23, c18, c20","(+)-arabinose, (+)-dextrose, (+)-fucose, (+)-galactosamine, (+)-galactose, (+)-glucose","(+)-galactose, (+)-xylose, glucosamine, glucose oxidase, phosphate, phosphatidylinositol",Acyl lipid
Aromatic residue,3,1,aromatic_ring_residue,5,3.1,0.4,0.8,2,0.255,0.601,"640, 828, 852, 1006, 1178, 1614","c5, c6, c11, c15, c0, c22","alanine, histidine, phenylalanine, tryptophan, tyrosine","histidine, phenylalanine, tryptophan",Monosaccharide + Phosphate
Protein backbone,4,1,protein_amide_backbone,23,14.1,0.087,0.913,2,0.203,0.731,"856, 1000, 1130, 1240, 1336, 1654","c2, c10, c12, c18, c6, c14","alb, albumin, carbonic anhydrase, collagen, elastase, elastin","alb, albumin, carbonic anhydrase, collagen, elastase, elastin",Acyl lipid
Free amino acid,5,1,amino_acid_zwitterion,11,6.7,0.364,0.727,2,0.209,0.599,"870, 930, 1030, 1345, 1410, 1520","c22, c14, c9, c11, c21, c10","arginine, asparagine, aspartic acid, glutamate, glycine, hydroxyproline","arginine, asparagine, aspartic acid, isoleucine, leucine, proline",Monosaccharide + Phosphate
Acyl lipid,6,2,"fatty_acyl_chain, triglyceride_ester",32,19.6,1.0,1.0,1,0.669,0.63,"1062, 1065, 1128, 1160, 1265, 1301, 1440, 1655, 1745","c16, c7, c1, c12, c4, c2","12-methyltetradecanoic acid, 13-methylmyristicacid, 14-methylhexadecanoic acid, 14-methylpentadecanoic acid, 15-methylpalmiticacid, arachidic acid",,-
Sterol,7,1,sterol_ring_system,12,7.4,0.583,0.75,1,0.329,0.618,"548, 608, 702, 958, 1128, 1440, 1670","c3, c8, c13, c12, c2, c20","cholesterol, cholesteryl linoleate, cholesteryl oleate, cholesteryl palmitate, cholesteryl stearate, diethylstilbestrol","cholesterol, cholesteryl palmitate, diethylstilbestrol, estrone, ethinylestradiol",Acyl lipid
Polysaccharide,8,1,polysaccharide_glycosidic,5,3.1,1.0,1.0,1,0.238,0.507,"890, 940, 1080, 1122, 1340, 1460","c18, c9, c14, c2, c16, c10","amylopectin, amylose, cellulose, chitin, glycogen",,-
Organic acid,9,1,carboxylate_organic_acid,8,4.9,0.375,0.5,3,0.228,0.548,"760, 940, 1382, 1398, 1628","c23, c14, c22, c5, c18, c17","acetoacetate, ascorbate, aspartate, citrate, fumarate, lactate","ascorbate, aspartate, fumarate, lactate, malic acid",Monosaccharide + Phosphate
Sulfur metabolite,10,1,sulfur_heterocycle_thione,9,5.5,0.111,0.556,3,0.191,0.726,"536, 640, 674, 838, 970, 1200","c19, c3, c15, c21, c20, c5","acetyl coenzyme a, acetyl-coa, coenzyme a, cysteine, ergothioneine, glutathione","acetyl coenzyme a, acetyl-coa, coenzyme a, cysteine, glutathione, glutathione transferase",Purine
Flavin + Porphyrin,11,2,"flavin_redox_cofactor, porphyrin_macrocycle",8,4.9,0.875,1.0,1,0.352,0.495,"750, 754, 1130, 1178, 1348, 1362, 1408, 1578, 1590, 1620","c0, c8, c13, c22, c17, c2","cytochrome c, ferritin, hemoglobin, horseradish peroxidase, melanin, myoglobin",ferritin,Acyl lipid
Carotenoid,12,1,carotenoid_polyene,2,1.2,1.0,1.0,1,0.184,0.506,"1005, 1157, 1190, 1270, 1520","c6, c12, c5, c4","carotene, β-carotene",,-
