analyte,family,n_spectra,expected_motifs,primary_motif,expected_themes,top_component,top_component_share,n_active_components,predicted_motif,motif_rank,motif_top1,motif_top3,predicted_theme,theme_rank,theme_top1,theme_top3,theme_confidence,expected_theme_share,top_theme_share,nearest_analytes,labelled
(+)-arabinose,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,10,0.2836,16,amino_acid_zwitterion,2,False,True,Monosaccharide + Phosphate,1,True,True,0.2499,0.1531,0.1531,"(-)-arabinose, proline, glycerol",True
(+)-dextrose,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,12,0.5744,5,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.2438,0.2054,0.2054,"β-d-glucose, glucose, (-)-ribose",True
(+)-fucose,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,4,0.1871,14,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.2118,0.1363,0.1363,"(-)-ribose, (+)-raffinose pentahydrate, 2-deoxy-d-ribose",True
(+)-galactosamine,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,4,0.3635,10,carotenoid_polyene,2,False,True,Monosaccharide + Phosphate,1,True,True,0.2379,0.1733,0.1733,"galactose, (-)-ribose, β-d-glucose",True
(+)-galactose,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,15,0.1506,14,sulfur_heterocycle_thione,6,False,False,Purine,2,False,True,0.2002,0.1169,0.1412,"ethinylestradiol, phosphatidylinositol, hypoxanthine",True
(+)-glucose,saccharide,1,protein_amide_backbone|glycan_co_network,glycan_co_network,Monosaccharide + Phosphate|Protein backbone,12,0.3724,8,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.2199,0.1792,0.1792,"glucose, β-d-glucose, (+)-maltose",True
(+)-lactose,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,18,0.5041,13,polysaccharide_glycosidic,2,False,True,Monosaccharide + Phosphate,1,True,True,0.24,0.1616,0.1616,"lactate, lactose, cellulose",True
(+)-maltose,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,12,0.2568,16,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.2023,0.1498,0.1498,"glucose, (+)-trehalose, (+)-glucose",True
(+)-mannose,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,18,0.3182,14,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.223,0.1475,0.1475,"mannose, n-acetylglucosamine, n-acetyl- d-glucosamine",True
(+)-raffinose pentahydrate,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,10,0.2159,13,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.1991,0.1458,0.1458,"glucose, (+)-glucose, (+)-maltose",True
(+)-sucrose,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,11,0.2287,14,protein_amide_backbone,2,False,True,Monosaccharide + Phosphate,1,True,True,0.1841,0.1275,0.1275,"(+)-raffinose pentahydrate, (+)-trehalose, (+)-maltose",True
(+)-trehalose,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,12,0.3022,14,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.1982,0.1455,0.1455,"(+)-maltose, glucose, (+)-glucose",True
(+)-xylose,saccharide,2,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,9,0.2859,13,polysaccharide_glycosidic,2,False,True,Polysaccharide,2,False,True,0.2231,0.1113,0.1427,"chitin, xylanase, amylose",True
(-)-arabinose,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,10,0.3533,13,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.2873,0.1768,0.1768,"(+)-arabinose, proline, n-acetyl- d-glucosamine",True
(-)-fructose,saccharide,2,nucleic_backbone_phosphate|glycan_co_network,nucleic_backbone_phosphate,Monosaccharide + Phosphate,20,0.5761,10,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.4291,0.2792,0.2792,"fructose, fructose-6-phosphate, (-)-arabinose",True
(-)-ribose,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,12,0.3329,14,carotenoid_polyene,2,False,True,Monosaccharide + Phosphate,1,True,True,0.2044,0.1443,0.1443,"glucose, β-d-glucose, (+)-galactosamine",True
12-methyltetradecanoic acid,fatty_acid,1,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,1,0.4754,16,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.6579,0.3688,0.3688,"15-methylpalmiticacid, tricaprin, tripetroselinin",True
13-methylmyristicacid,fatty_acid,1,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,1,0.4887,13,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.5633,0.3336,0.3336,"15-methylpalmiticacid, α-phosphatidylethanolamine, 12-methyltetradecanoic acid",True
14-methylhexadecanoic acid,fatty_acid,1,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,1,0.4068,10,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.4665,0.2951,0.2951,"13-methylmyristicacid, 12-methyltetradecanoic acid, triolein",True
