K,explained_variance_motif,reconstruction_error,kl_divergence,mi_family_theme,mi_family_motif,compression_ratio,theme_entropy,membership_entropy,mean_support,chemically_admissible,themes,grouping,mi_retained
2,0.4275,0.5295,0.2601,0.3398,0.272,8.5,0.5657,0.0,1.0,False,"amino_acid_zwitterion, aromatic_ring_residue, carboxylate_organic_acid, carotenoid_polyene, flavin_redox_cofactor, glycan_co_network, nucleic_backbone_phosphate, oxopurine_carbonyl, polysaccharide_gly",hybrid_clustering,1.2493
3,0.5582,0.4651,0.2218,0.3419,0.272,5.667,0.7806,0.0827,1.353,False,"flavin_redox_cofactor, oxopurine_carbonyl, porphyrin_macrocycle, purine_ring_breathing, pyrimidine_ring, sterol_ring_system, sulfur_heterocycle_thione | amino_acid_zwitterion, aromatic_ring_residue, c",hybrid_clustering,1.257
4,0.6533,0.412,0.2349,0.3183,0.272,4.25,0.7652,0.0596,1.353,False,"flavin_redox_cofactor, oxopurine_carbonyl, porphyrin_macrocycle, purine_ring_breathing, pyrimidine_ring, sterol_ring_system, sulfur_heterocycle_thione | amino_acid_zwitterion, carboxylate_organic_acid",hybrid_clustering,1.1702
5,0.7268,0.3657,0.1765,0.2965,0.272,3.4,0.7669,0.0705,1.353,False,"flavin_redox_cofactor, oxopurine_carbonyl, porphyrin_macrocycle, purine_ring_breathing, sterol_ring_system, sulfur_heterocycle_thione | pyrimidine_ring | amino_acid_zwitterion, carboxylate_organic_aci",hybrid_clustering,1.0901
6,0.7961,0.316,0.177,0.2914,0.272,2.833,0.7899,0.0609,1.294,False,"flavin_redox_cofactor, oxopurine_carbonyl, porphyrin_macrocycle, purine_ring_breathing, sterol_ring_system, sulfur_heterocycle_thione | pyrimidine_ring | glycan_co_network, nucleic_backbone_phosphate,",hybrid_clustering,1.0713
7,0.8656,0.2565,0.1604,0.2897,0.272,2.429,0.8029,0.0548,1.294,False,"oxopurine_carbonyl, purine_ring_breathing, sulfur_heterocycle_thione | pyrimidine_ring | glycan_co_network, nucleic_backbone_phosphate, polysaccharide_glycosidic, protein_amide_backbone | aromatic_rin",hybrid_clustering,1.0651
8,0.9041,0.2167,0.1465,0.2859,0.272,2.125,0.8007,0.0268,1.176,False,"oxopurine_carbonyl, purine_ring_breathing, sulfur_heterocycle_thione | pyrimidine_ring | glycan_co_network, nucleic_backbone_phosphate | aromatic_ring_residue, carotenoid_polyene | polysaccharide_glyc",hybrid_clustering,1.0511
9,0.928,0.1877,0.1595,0.2785,0.272,1.889,0.7931,0.0291,1.235,False,"oxopurine_carbonyl, purine_ring_breathing, sulfur_heterocycle_thione | pyrimidine_ring | glycan_co_network, nucleic_backbone_phosphate | aromatic_ring_residue, carotenoid_polyene | polysaccharide_glyc",hybrid_clustering,1.0239
10,0.9366,0.1762,0.138,0.2798,0.272,1.7,0.789,0.0356,1.353,False,"oxopurine_carbonyl, purine_ring_breathing | pyrimidine_ring | glycan_co_network, nucleic_backbone_phosphate | aromatic_ring_residue, carotenoid_polyene | polysaccharide_glycosidic, protein_amide_backb",hybrid_clustering,1.0287
11,0.9498,0.1567,0.1288,0.2776,0.272,1.545,0.7871,0.0397,1.471,False,"oxopurine_carbonyl, purine_ring_breathing | pyrimidine_ring | glycan_co_network, nucleic_backbone_phosphate | aromatic_ring_residue, carotenoid_polyene | polysaccharide_glycosidic, protein_amide_backb",hybrid_clustering,1.0206
12,0.973,0.1151,0.0955,0.2764,0.272,1.417,0.7945,0.0375,1.471,False,"oxopurine_carbonyl, purine_ring_breathing | pyrimidine_ring | glycan_co_network, nucleic_backbone_phosphate | aromatic_ring_residue, carotenoid_polyene | protein_amide_backbone | amino_acid_zwitterion",hybrid_clustering,1.0162
13,0.9812,0.0961,0.0698,0.2733,0.272,1.308,0.7916,0.0363,1.471,True,"oxopurine_carbonyl, purine_ring_breathing | pyrimidine_ring | glycan_co_network, nucleic_backbone_phosphate | aromatic_ring_residue | protein_amide_backbone | amino_acid_zwitterion | fatty_acyl_chain,",hybrid_clustering,1.0048
14,0.9857,0.0836,0.0466,0.275,0.272,1.214,0.7914,0.0279,1.353,True,"oxopurine_carbonyl, purine_ring_breathing | pyrimidine_ring | nucleic_backbone_phosphate | aromatic_ring_residue | protein_amide_backbone | amino_acid_zwitterion | fatty_acyl_chain, triglyceride_ester",hybrid_clustering,1.011
15,0.9914,0.0648,0.0324,0.2754,0.272,1.133,0.7918,0.0308,1.412,True,"oxopurine_carbonyl, purine_ring_breathing | pyrimidine_ring | nucleic_backbone_phosphate | aromatic_ring_residue | protein_amide_backbone | amino_acid_zwitterion | fatty_acyl_chain, triglyceride_ester",hybrid_clustering,1.0125
16,0.9978,0.0329,0.005,0.2693,0.272,1.062,0.7865,0.0112,1.235,True,"purine_ring_breathing | oxopurine_carbonyl | pyrimidine_ring | nucleic_backbone_phosphate | aromatic_ring_residue | protein_amide_backbone | amino_acid_zwitterion | fatty_acyl_chain, triglyceride_este",hybrid_clustering,0.9901
17,1.0,0.0,0.0,0.2741,0.272,1.0,0.8285,0.0394,1.353,True,purine_ring_breathing | oxopurine_carbonyl | pyrimidine_ring | nucleic_backbone_phosphate | aromatic_ring_residue | protein_amide_backbone | amino_acid_zwitterion | fatty_acyl_chain | triglyceride_est,hybrid_clustering,1.0077
6,0.7508,0.3493,0.2817,0.3142,0.272,2.833,0.8359,0.1662,2.059,True,L2 chemical superclasses: Nucleic chemistry | Carbohydrate chemistry | Protein chemistry | Lipid chemistry | Energy metabolism | Redox / pigments,L2_superclass,1.1551
