K,interpretability,information_retained,mi_retained,recoverability,stability,compression,calibration_ece,chemically_admissible,pareto
2,0.4817,0.4275,1.2493,0.9693,1.0,8.5,0.1352,False,True
3,0.4663,0.5582,1.257,0.8773,0.9989,5.667,0.2759,False,True
4,0.5114,0.6533,1.1702,0.7791,0.9992,4.25,0.2332,False,True
5,0.6021,0.7268,1.0901,0.7607,0.9936,3.4,0.2561,False,True
6,0.6272,0.7961,1.0713,0.6748,0.9934,2.833,0.2201,False,True
7,0.656,0.8656,1.0651,0.6933,0.9929,2.429,0.2781,False,True
8,0.7014,0.9041,1.0511,0.638,0.9976,2.125,0.2551,False,False
9,0.7771,0.928,1.0239,0.638,0.9976,1.889,0.2639,False,True
10,0.8388,0.9366,1.0287,0.589,0.9994,1.7,0.2344,False,True
11,0.8903,0.9498,1.0206,0.5399,0.9994,1.545,0.2084,False,True
12,0.934,0.973,1.0162,0.5031,0.9994,1.417,0.1678,False,False
13,0.9716,0.9812,1.0048,0.5337,0.9994,1.308,0.2058,True,True
14,0.9794,0.9857,1.011,0.4601,0.9994,1.214,0.159,True,False
15,0.9867,0.9914,1.0125,0.4663,0.9994,1.133,0.1728,True,False
16,0.9936,0.9978,0.9901,0.4724,0.9999,1.062,0.1828,True,False
17,1.0,1.0,1.0077,0.5031,0.9999,1.0,0.2887,True,True
