,purine_ring_breathing,oxopurine_carbonyl,pyrimidine_ring,nucleic_backbone_phosphate,aromatic_ring_residue,protein_amide_backbone,amino_acid_zwitterion,fatty_acyl_chain,triglyceride_ester,sterol_ring_system,glycan_co_network,polysaccharide_glycosidic,carboxylate_organic_acid,sulfur_heterocycle_thione,porphyrin_macrocycle,flavin_redox_cofactor,carotenoid_polyene
purine_ring_breathing,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
oxopurine_carbonyl,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
pyrimidine_ring,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
nucleic_backbone_phosphate,0,0,1,0,0,1,0,0,2,0,3,0,2,1,0,0,0
aromatic_ring_residue,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1
protein_amide_backbone,0,0,0,0,1,18,0,0,2,0,0,1,0,1,0,0,0
amino_acid_zwitterion,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,2
fatty_acyl_chain,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0
triglyceride_ester,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0
sterol_ring_system,2,0,0,0,0,0,0,0,7,2,0,0,0,0,1,0,0
glycan_co_network,0,0,0,1,0,1,1,0,1,0,13,5,0,1,0,0,3
polysaccharide_glycosidic,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
carboxylate_organic_acid,0,0,1,0,0,0,1,1,0,0,0,1,4,0,0,0,0
sulfur_heterocycle_thione,3,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0
porphyrin_macrocycle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0
flavin_redox_cofactor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
carotenoid_polyene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
