level,motif,chemical_class,dominant_theme,dominant_weight,runner_up_theme,runner_up_weight,entropy,n_themes_above_floor,weights
L1_fine,purine_ring_breathing,nucleobase_purine,Purine,1.0,Porphyrin,0.0,-0.0,1,"{""Purine"": 1.0}"
L1_fine,oxopurine_carbonyl,nucleobase_purine,Purine,1.0,Purine,0.0,-0.0,1,"{""Purine"": 1.0}"
L1_fine,pyrimidine_ring,nucleobase_pyrimidine,Pyrimidine,1.0,Purine,0.0,-0.0,1,"{""Pyrimidine"": 1.0}"
L1_fine,nucleic_backbone_phosphate,phosphate_ester,Phosphate ester,1.0,Purine,0.0,-0.0,1,"{""Phosphate ester"": 1.0}"
L1_fine,aromatic_ring_residue,aromatic_sidechain,Aromatic residue,1.0,Purine,0.0,-0.0,1,"{""Aromatic residue"": 1.0}"
L1_fine,protein_amide_backbone,polypeptide,Protein backbone,1.0,Purine,0.0,-0.0,1,"{""Protein backbone"": 1.0}"
L1_fine,amino_acid_zwitterion,free_amino_acid,Free amino acid,0.9767,Organic acid,0.0233,0.039,2,"{""Free amino acid"": 0.9767, ""Organic acid"": 0.0233}"
L1_fine,fatty_acyl_chain,fatty_acid,Fatty acyl,0.5615,Acylglycerol,0.4385,0.242,2,"{""Fatty acyl"": 0.5615, ""Acylglycerol"": 0.4385}"
L1_fine,triglyceride_ester,acylglycerol,Acylglycerol,0.5615,Fatty acyl,0.4385,0.242,2,"{""Acylglycerol"": 0.5615, ""Fatty acyl"": 0.4385}"
L1_fine,sterol_ring_system,sterol,Sterol,1.0,Purine,0.0,-0.0,1,"{""Sterol"": 1.0}"
L1_fine,glycan_co_network,monosaccharide,Monosaccharide,1.0,Purine,0.0,-0.0,1,"{""Monosaccharide"": 1.0}"
L1_fine,polysaccharide_glycosidic,polysaccharide,Polysaccharide,1.0,Purine,0.0,-0.0,1,"{""Polysaccharide"": 1.0}"
L1_fine,carboxylate_organic_acid,organic_acid,Organic acid,0.9767,Free amino acid,0.0233,0.039,2,"{""Organic acid"": 0.9767, ""Free amino acid"": 0.0233}"
L1_fine,sulfur_heterocycle_thione,sulfur_metabolite,Sulfur metabolite,1.0,Purine,0.0,-0.0,1,"{""Sulfur metabolite"": 1.0}"
L1_fine,porphyrin_macrocycle,tetrapyrrole,Porphyrin,0.9648,Flavin,0.0352,0.0538,2,"{""Porphyrin"": 0.9648, ""Flavin"": 0.0352}"
L1_fine,flavin_redox_cofactor,redox_cofactor,Flavin,0.9648,Porphyrin,0.0352,0.0538,2,"{""Flavin"": 0.9648, ""Porphyrin"": 0.0352}"
L1_fine,carotenoid_polyene,polyene,Carotenoid,1.0,Porphyrin,0.0,-0.0,1,"{""Carotenoid"": 1.0}"
L2_medium,purine_ring_breathing,nucleobase_purine,Nucleic chemistry,1.0,Carbohydrate chemistry,0.0,-0.0,1,"{""Nucleic chemistry"": 1.0}"
L2_medium,oxopurine_carbonyl,nucleobase_purine,Nucleic chemistry,0.7254,Energy metabolism,0.24,0.3861,3,"{""Nucleic chemistry"": 0.7254, ""Energy metabolism"": 0.24, ""Protein chemistry"": 0.0346}"
L2_medium,pyrimidine_ring,nucleobase_pyrimidine,Nucleic chemistry,1.0,Carbohydrate chemistry,0.0,-0.0,1,"{""Nucleic chemistry"": 1.0}"
L2_medium,nucleic_backbone_phosphate,phosphate_ester,Carbohydrate chemistry,0.7256,Nucleic chemistry,0.2075,0.413,3,"{""Carbohydrate chemistry"": 0.7256, ""Nucleic chemistry"": 0.2075, ""Energy metabolism"": 0.0669}"
L2_medium,aromatic_ring_residue,aromatic_sidechain,Protein chemistry,0.9242,Redox / pigments,0.0758,0.1499,2,"{""Protein chemistry"": 0.9242, ""Redox / pigments"": 0.0758}"
L2_medium,protein_amide_backbone,polypeptide,Protein chemistry,0.8833,Carbohydrate chemistry,0.0715,0.2446,3,"{""Protein chemistry"": 0.8833, ""Carbohydrate chemistry"": 0.0715, ""Redox / pigments"": 0.0452}"
L2_medium,amino_acid_zwitterion,free_amino_acid,Protein chemistry,0.8649,Energy metabolism,0.1112,0.2561,3,"{""Protein chemistry"": 0.8649, ""Energy metabolism"": 0.1112, ""Carbohydrate chemistry"": 0.0238}"
L2_medium,fatty_acyl_chain,fatty_acid,Lipid chemistry,1.0,Nucleic chemistry,0.0,-0.0,1,"{""Lipid chemistry"": 1.0}"
L2_medium,triglyceride_ester,acylglycerol,Lipid chemistry,1.0,Nucleic chemistry,0.0,-0.0,1,"{""Lipid chemistry"": 1.0}"
L2_medium,sterol_ring_system,sterol,Redox / pigments,0.823,Lipid chemistry,0.0793,0.3632,4,"{""Redox / pigments"": 0.823, ""Lipid chemistry"": 0.0793, ""Nucleic chemistry"": 0.0652, ""Protein chemistry"": 0.0325}"
L2_medium,glycan_co_network,monosaccharide,Carbohydrate chemistry,1.0,Nucleic chemistry,0.0,-0.0,1,"{""Carbohydrate chemistry"": 1.0}"
L2_medium,polysaccharide_glycosidic,polysaccharide,Carbohydrate chemistry,0.8734,Protein chemistry,0.1266,0.212,2,"{""Carbohydrate chemistry"": 0.8734, ""Protein chemistry"": 0.1266}"
L2_medium,carboxylate_organic_acid,organic_acid,Energy metabolism,0.8905,Protein chemistry,0.0854,0.2251,3,"{""Energy metabolism"": 0.8905, ""Protein chemistry"": 0.0854, ""Carbohydrate chemistry"": 0.0241}"
L2_medium,sulfur_heterocycle_thione,sulfur_metabolite,Energy metabolism,0.9206,Nucleic chemistry,0.0794,0.1547,2,"{""Energy metabolism"": 0.9206, ""Nucleic chemistry"": 0.0794}"
L2_medium,porphyrin_macrocycle,tetrapyrrole,Redox / pigments,1.0,Nucleic chemistry,0.0,-0.0,1,"{""Redox / pigments"": 1.0}"
L2_medium,flavin_redox_cofactor,redox_cofactor,Redox / pigments,0.9773,Nucleic chemistry,0.0227,0.0605,2,"{""Redox / pigments"": 0.9773, ""Nucleic chemistry"": 0.0227}"
L2_medium,carotenoid_polyene,polyene,Protein chemistry,0.6536,Redox / pigments,0.3464,0.3601,2,"{""Protein chemistry"": 0.6536, ""Redox / pigments"": 0.3464}"
L3_coarse,purine_ring_breathing,nucleobase_purine,Energy + Nucleic,1.0,Carbohydrate chemistry,0.0,-0.0,1,"{""Energy + Nucleic"": 1.0}"
L3_coarse,oxopurine_carbonyl,nucleobase_purine,Energy + Nucleic,0.9559,Protein + Redox,0.0441,0.1303,2,"{""Energy + Nucleic"": 0.9559, ""Protein + Redox"": 0.0441}"
L3_coarse,pyrimidine_ring,nucleobase_pyrimidine,Energy + Nucleic,1.0,Carbohydrate chemistry,0.0,-0.0,1,"{""Energy + Nucleic"": 1.0}"
L3_coarse,nucleic_backbone_phosphate,phosphate_ester,Carbohydrate chemistry,0.7219,Energy + Nucleic,0.2781,0.4264,2,"{""Carbohydrate chemistry"": 0.7219, ""Energy + Nucleic"": 0.2781}"
L3_coarse,aromatic_ring_residue,aromatic_sidechain,Protein + Redox,1.0,Energy + Nucleic,0.0,-0.0,1,"{""Protein + Redox"": 1.0}"
L3_coarse,protein_amide_backbone,polypeptide,Protein + Redox,0.8761,Carbohydrate chemistry,0.1239,0.2703,2,"{""Protein + Redox"": 0.8761, ""Carbohydrate chemistry"": 0.1239}"
L3_coarse,amino_acid_zwitterion,free_amino_acid,Protein + Redox,0.8181,Carbohydrate chemistry,0.126,0.4231,3,"{""Protein + Redox"": 0.8181, ""Carbohydrate chemistry"": 0.126, ""Energy + Nucleic"": 0.0559}"
L3_coarse,fatty_acyl_chain,fatty_acid,Lipid chemistry,1.0,Energy + Nucleic,0.0,-0.0,1,"{""Lipid chemistry"": 1.0}"
L3_coarse,triglyceride_ester,acylglycerol,Lipid chemistry,1.0,Energy + Nucleic,0.0,-0.0,1,"{""Lipid chemistry"": 1.0}"
L3_coarse,sterol_ring_system,sterol,Protein + Redox,0.6709,Lipid chemistry,0.1512,0.6863,4,"{""Protein + Redox"": 0.6709, ""Lipid chemistry"": 0.1512, ""Energy + Nucleic"": 0.1411, ""Carbohydrate chemistry"": 0.0369}"
L3_coarse,glycan_co_network,monosaccharide,Carbohydrate chemistry,1.0,Energy + Nucleic,0.0,-0.0,1,"{""Carbohydrate chemistry"": 1.0}"
L3_coarse,polysaccharide_glycosidic,polysaccharide,Carbohydrate chemistry,0.9516,Protein + Redox,0.0484,0.1397,2,"{""Carbohydrate chemistry"": 0.9516, ""Protein + Redox"": 0.0484}"
L3_coarse,carboxylate_organic_acid,organic_acid,Energy + Nucleic,0.6876,Protein + Redox,0.2023,0.5941,3,"{""Energy + Nucleic"": 0.6876, ""Protein + Redox"": 0.2023, ""Carbohydrate chemistry"": 0.11}"
L3_coarse,sulfur_heterocycle_thione,sulfur_metabolite,Energy + Nucleic,1.0,Carbohydrate chemistry,0.0,-0.0,1,"{""Energy + Nucleic"": 1.0}"
L3_coarse,porphyrin_macrocycle,tetrapyrrole,Protein + Redox,0.9712,Energy + Nucleic,0.0288,0.0942,2,"{""Protein + Redox"": 0.9712, ""Energy + Nucleic"": 0.0288}"
L3_coarse,flavin_redox_cofactor,redox_cofactor,Protein + Redox,0.9223,Energy + Nucleic,0.0777,0.197,2,"{""Protein + Redox"": 0.9223, ""Energy + Nucleic"": 0.0777}"
L3_coarse,carotenoid_polyene,polyene,Protein + Redox,1.0,Energy + Nucleic,0.0,-0.0,1,"{""Protein + Redox"": 1.0}"
