analyte,family,theme_1,p_1,theme_2,p_2,theme_3,p_3,entropy,margin,confidence
(+)-arabinose,saccharide,Protein chemistry,0.3386,Carbohydrate chemistry,0.327,Energy metabolism,0.1358,0.8391,0.0116,0.0545
(+)-dextrose,saccharide,Protein chemistry,0.3284,Carbohydrate chemistry,0.2837,Redox / pigments,0.158,0.8687,0.0447,0.0431
(+)-fucose,saccharide,Carbohydrate chemistry,0.2541,Protein chemistry,0.2003,Lipid chemistry,0.1893,0.9723,0.0538,0.007
(+)-galactosamine,saccharide,Protein chemistry,0.2664,Carbohydrate chemistry,0.2598,Redox / pigments,0.1649,0.9448,0.0065,0.0147
(+)-galactose,saccharide,Nucleic chemistry,0.2929,Carbohydrate chemistry,0.1957,Energy metabolism,0.1558,0.9626,0.0971,0.011
(+)-glucose,saccharide,Carbohydrate chemistry,0.3051,Protein chemistry,0.2795,Redox / pigments,0.1746,0.8842,0.0255,0.0353
(+)-lactose,saccharide,Carbohydrate chemistry,0.4364,Protein chemistry,0.2564,Redox / pigments,0.1315,0.8147,0.18,0.0809
(+)-maltose,saccharide,Carbohydrate chemistry,0.3241,Protein chemistry,0.259,Redox / pigments,0.1422,0.9131,0.0651,0.0282
(+)-mannose,saccharide,Carbohydrate chemistry,0.3485,Protein chemistry,0.2412,Energy metabolism,0.151,0.9035,0.1072,0.0336
(+)-raffinose pentahydrate,saccharide,Protein chemistry,0.2923,Carbohydrate chemistry,0.2731,Lipid chemistry,0.1589,0.9269,0.0192,0.0214
(+)-sucrose,saccharide,Protein chemistry,0.3023,Carbohydrate chemistry,0.2354,Nucleic chemistry,0.1488,0.943,0.0669,0.0172
(+)-trehalose,saccharide,Carbohydrate chemistry,0.2973,Protein chemistry,0.29,Redox / pigments,0.1519,0.9157,0.0072,0.0251
(+)-xylose,saccharide,Carbohydrate chemistry,0.3709,Protein chemistry,0.2925,Energy metabolism,0.1253,0.8596,0.0783,0.0521
(-)-arabinose,saccharide,Carbohydrate chemistry,0.34,Protein chemistry,0.2928,Energy metabolism,0.1766,0.8246,0.0471,0.0596
