analyte,family,n_replicates,coord_total_var,mss_total_var,theme_total_var,coord_to_mss_ratio,mss_to_theme_ratio,theme_entropy,theme_confidence,theme_margin,dominant_theme
(+)-xylose,saccharide,2,0.006641,0.00051,0.000437,0.0768,0.8574,0.8596,0.0521,0.0783,Carbohydrate chemistry
(-)-fructose,saccharide,2,0.015616,0.00067,0.0006,0.0429,0.8964,0.9009,0.0373,0.1824,Carbohydrate chemistry
acetoacetate,organic_acid,4,0.001046,0.000168,0.000188,0.1604,1.1206,0.912,0.0313,0.1316,Protein chemistry
acetyl-coa,cofactor,3,0.000392,5.3e-05,5.4e-05,0.1353,1.0148,0.9865,0.003,0.0061,Nucleic chemistry
adenine,purine,4,0.014218,0.002023,0.001362,0.1423,0.6734,0.9667,0.0089,0.0725,Nucleic chemistry
alanine,amino_acid,5,0.015197,0.001205,0.001792,0.0793,1.4877,0.841,0.0701,0.21,Protein chemistry
albumin,protein,6,0.024865,0.004318,0.007489,0.1737,1.7343,0.9811,0.0048,0.0599,Protein chemistry
amylopectin,polysaccharide,2,0.00269,0.000524,0.000849,0.1948,1.6188,0.8184,0.07,0.0933,Carbohydrate chemistry
amylose,polysaccharide,2,0.001794,0.000209,0.000374,0.1164,1.7935,0.8057,0.0744,0.0771,Carbohydrate chemistry
arginine,amino_acid,5,0.041596,0.002218,0.002041,0.0533,0.9202,0.9622,0.0102,0.0812,Carbohydrate chemistry
ascorbate,organic_acid,4,0.00059,5.2e-05,5e-05,0.0885,0.9517,0.9529,0.0128,0.0295,Lipid chemistry
carbonic anhydrase,protein,3,0.010925,0.001483,0.003211,0.1357,2.1657,0.9105,0.0275,0.0598,Protein chemistry
ceramide,phospholipid,2,0.00304,0.000234,0.000393,0.0768,1.6842,0.7304,0.1593,0.4688,Lipid chemistry
cholesterol,lipid,4,0.006056,0.000912,0.001264,0.1505,1.3867,0.9892,0.0024,0.0423,Lipid chemistry
citrate,organic_acid,4,0.003301,0.000681,0.000783,0.2062,1.1513,0.8425,0.0518,0.0353,Nucleic chemistry
coenzyme a,cofactor,4,0.024465,0.002282,0.001475,0.0933,0.6465,0.9866,0.003,0.0184,Nucleic chemistry
collagen,protein,3,0.004354,0.000476,0.000682,0.1092,1.4337,0.9766,0.0057,0.0352,Protein chemistry
creatinine,small_nitrogenous,3,0.000296,3.6e-05,4.1e-05,0.1209,1.1463,0.7175,0.1374,0.1648,Energy metabolism
cysteine,amino_acid,3,1.5e-05,2e-06,3e-06,0.1563,1.4705,0.9481,0.0139,0.0289,Energy metabolism
cytochrome c,protein,2,0.048405,0.009555,0.019263,0.1974,2.016,0.8683,0.0587,0.2703,Redox / pigments
elastase,protein,3,0.012711,0.001557,0.003501,0.1225,2.2484,0.9408,0.0161,0.0315,Protein chemistry
ergothioneine,cofactor,3,5.4e-05,6e-06,5e-06,0.104,0.8095,0.9428,0.0145,0.0071,Nucleic chemistry
ferritin,protein,3,0.049273,0.006052,0.007484,0.1228,1.2366,0.9653,0.0089,0.0342,Protein chemistry
fructose,saccharide,3,9e-06,1e-06,1e-06,0.0803,1.1911,0.8869,0.0432,0.1812,Carbohydrate chemistry
fructose-6-phosphate,saccharide,4,0.004856,0.00027,0.000242,0.0556,0.8974,0.9398,0.0188,0.1026,Carbohydrate chemistry
galactose,saccharide,3,0.000124,1e-05,7e-06,0.0826,0.6609,0.9655,0.0085,0.0147,Protein chemistry
glucose,saccharide,4,0.033173,0.002556,0.001465,0.0771,0.573,0.8955,0.0308,0.0057,Carbohydrate chemistry
glucose oxidase,protein,2,0.027636,0.002254,0.003434,0.0816,1.5234,0.9432,0.017,0.0928,Lipid chemistry
glutamate,amino_acid,6,0.031467,0.002814,0.002472,0.0894,0.8786,0.9209,0.0262,0.1166,Protein chemistry
glutathione,cofactor,4,0.043122,0.005903,0.005131,0.1369,0.8691,0.9677,0.008,0.0534,Protein chemistry
glutathione transferase,protein,2,0.002157,0.000362,0.000271,0.1676,0.7494,0.9351,0.0188,0.0572,Protein chemistry
glycerol,polyol,4,0.000389,6.2e-05,5.4e-05,0.1588,0.8796,0.8626,0.049,0.0492,Carbohydrate chemistry
glycine,amino_acid,5,0.025728,0.002121,0.002803,0.0824,1.3218,0.8441,0.0576,0.0496,Protein chemistry
glycogen,polysaccharide,4,0.020695,0.003526,0.004717,0.1704,1.3379,0.9358,0.0176,0.0347,Carbohydrate chemistry
guanine,purine,4,0.000253,4.5e-05,2.1e-05,0.1774,0.4633,0.759,0.1107,0.2109,Nucleic chemistry
hemoglobin,protein,2,0.070388,0.015019,0.029293,0.2134,1.9505,0.8247,0.0856,0.3142,Redox / pigments
histidine,amino_acid,5,0.018681,0.000949,0.001411,0.0508,1.4859,0.9716,0.0061,0.0079,Carbohydrate chemistry
horseradish peroxidase,protein,2,0.022557,0.002888,0.004018,0.1281,1.3912,0.8598,0.0616,0.2558,Redox / pigments
hydroxyproline,amino_acid,3,2.3e-05,2e-06,3e-06,0.0952,1.3179,0.8051,0.0994,0.3635,Protein chemistry
hypoxanthine,purine,3,0.000613,7.9e-05,8.3e-05,0.1291,1.051,0.9939,0.0012,0.0031,Nucleic chemistry
isoleucine,amino_acid,3,0.000712,7.5e-05,0.000126,0.1053,1.6865,0.9518,0.014,0.0667,Protein chemistry
lactalbumin,protein,3,0.008959,0.000884,0.001643,0.0987,1.8583,0.9343,0.0187,0.0467,Protein chemistry
