motif_id,parent_component,n_analytes,n_bands,stability,redundancy_max,reason_category,rejection_reason
c00.m02,0,2,4,1.0,0.4237,too_few_analytes,too_few_analytes (2 < 3)
c00.m03,0,2,4,1.0,0.7095,too_few_analytes,too_few_analytes (2 < 3)
c00.m05,0,2,4,0.9375,0.5279,too_few_analytes,too_few_analytes (2 < 3)
c01.m00,1,39,1,0.9805,0.8222,noise_single_band,noise_single_band (1 < 2)
c05.m01,5,2,7,1.0,0.651,too_few_analytes,too_few_analytes (2 < 3)
c05.m06,5,1,4,1.0,0.3763,too_few_analytes,too_few_analytes (1 < 3)
c05.m07,5,1,4,1.0,0.1697,too_few_analytes,too_few_analytes (1 < 3)
c05.m08,5,1,2,1.0,0.8157,too_few_analytes,too_few_analytes (1 < 3)
c10.m06,10,1,2,1.0,0.5316,too_few_analytes,too_few_analytes (1 < 3)
c12.m00,12,2,3,1.0,0.0438,too_few_analytes,too_few_analytes (2 < 3)
c13.m00,13,2,1,1.0,0.5625,too_few_analytes,too_few_analytes (2 < 3)
c13.m01,13,5,1,0.9921,0.6941,noise_single_band,noise_single_band (1 < 2)
c13.m02,13,2,3,1.0,0.5151,too_few_analytes,too_few_analytes (2 < 3)
c13.m08,13,1,2,1.0,0.574,too_few_analytes,too_few_analytes (1 < 3)
c14.m01,14,2,1,1.0,0.0,too_few_analytes,too_few_analytes (2 < 3)
c15.m03,15,2,4,1.0,0.4998,too_few_analytes,too_few_analytes (2 < 3)
c15.m04,15,2,6,1.0,0.4998,too_few_analytes,too_few_analytes (2 < 3)
c15.m06,15,2,5,1.0,0.582,too_few_analytes,too_few_analytes (2 < 3)
c15.m07,15,2,6,1.0,0.6827,too_few_analytes,too_few_analytes (2 < 3)
c16.m01,16,2,3,1.0,0.5337,too_few_analytes,too_few_analytes (2 < 3)
c16.m04,16,7,1,0.9677,0.527,noise_single_band,noise_single_band (1 < 2)
c18.m08,18,1,4,1.0,0.5284,too_few_analytes,too_few_analytes (1 < 3)
c19.m01,19,2,4,1.0,0.5094,too_few_analytes,too_few_analytes (2 < 3)
c19.m02,19,1,4,1.0,0.331,too_few_analytes,too_few_analytes (1 < 3)
c19.m03,19,2,5,1.0,0.4529,too_few_analytes,too_few_analytes (2 < 3)
c19.m07,19,2,6,1.0,0.4849,too_few_analytes,too_few_analytes (2 < 3)
c20.m02,20,1,4,1.0,0.6317,too_few_analytes,too_few_analytes (1 < 3)
c20.m08,20,1,5,1.0,0.433,too_few_analytes,too_few_analytes (1 < 3)
c21.m03,21,2,5,1.0,0.1753,too_few_analytes,too_few_analytes (2 < 3)
c23.m02,23,2,4,1.0,0.2849,too_few_analytes,too_few_analytes (2 < 3)
