motif_id,parent_component,index_in_component,retained,rejection_reason,n_bands,band_centers_cm,n_analytes,n_spectra,dominant_class,purity,stability,coverage_analytes,coverage_spectra,band_fidelity,redundancy_max,fine_classes,broad_classes,sources,analytes,band_indices,band_weights
c00.m00,0,0,True,,5,754;1224;1318;1348;1456,12,39,peptide_protein,1.0,0.9806,0.3529,0.3824,0.5742,0.5369,peptide_protein:12,protein_amino_acid:12,RamanBioLib:12;amino_acid_raman_grounding:1;gobbato_raman_metabolites:1,albumin;carbonic anhydrase;elastase;ferritin;glutathione transferase;lactalbumin;major proteinase;papain;triosephosphate isomerase;trypsinogen;ubiquitin;α-chymotrypsinogen a (type ii),152;387;434;449;503,0.0987;0.1047;0.1509;0.1984;0.4473
c00.m01,0,1,True,,5,754;1224;1318;1348;1578,7,14,peptide_protein,0.5714,0.9583,0.2059,0.1373,0.6773,0.4065,chromophore_pigment:1;nucleic_acid_polymer:2;peptide_protein:4,nucleic:2;protein_amino_acid:4;redox_cofactor:1,RamanBioLib:7,b-dna;cytochrome c;hemoglobin;horseradish peroxidase;melanin;myoglobin;t-rna,152;387;434;449;564,0.1214;0.1130;0.1495;0.2166;0.3995
c00.m02,0,2,False,too_few_analytes (2 < 3),4,922;1086;1136;1348,2,5,mono_oligosaccharide,0.5,1.0,0.0588,0.049,0.4168,0.4237,carboxylic_acid_metabolite:1;mono_oligosaccharide:1,carbohydrate:1;energy_metabolism:1,RamanBioLib:1;gobbato_raman_metabolites:1,(+)-lactose;lactate,236;318;343;449,0.1171;0.4004;0.2790;0.2034
c00.m03,0,3,False,too_few_analytes (2 < 3),4,538;1224;1348;1402,2,7,free_amino_acid,0.5,1.0,0.0588,0.0686,0.9122,0.7095,chromophore_pigment:1;free_amino_acid:1,protein_amino_acid:1;redox_cofactor:1,RamanBioLib:1;gobbato_raman_metabolites:2,cysteine;riboflavin,44;387;449;476,0.1565;0.1057;0.5405;0.1972
c00.m04,0,4,True,,4,538;754;962;1348,3,8,free_amino_acid,0.6667,0.9271,0.0882,0.0784,0.6912,0.5446,carboxylic_acid_metabolite:1;free_amino_acid:2,energy_metabolism:1;protein_amino_acid:2,RamanBioLib:3;amino_acid_raman_grounding:2;gobbato_raman_metabolites:1,asparagine;malic acid;tryptophan,44;152;256;449,0.1378;0.3579;0.2239;0.2804
c00.m05,0,5,False,too_few_analytes (2 < 3),4,538;962;1318;1348,2,8,free_amino_acid,0.5,0.9375,0.0588,0.0784,0.5333,0.5279,free_amino_acid:1;purine:1,nucleic:1;protein_amino_acid:1,RamanBioLib:1;amino_acid_raman_grounding:1;gobbato_raman_metabolites:2,histidine;xanthine,44;256;434;449,0.1773;0.2446;0.3989;0.1792
c00.m06,0,6,True,,7,538;922;1136;1318;1348;1402;1456,6,21,free_amino_acid,0.8333,0.9667,0.1765,0.2059,0.6567,0.7095,free_amino_acid:5;mono_oligosaccharide:1,carbohydrate:1;protein_amino_acid:5,RamanBioLib:4;amino_acid_raman_grounding:4;gobbato_raman_metabolites:4,aspartate;glucosamine;glutamate;isoleucine;leucine;valine,44;236;343;434;449;476;503,0.1589;0.1157;0.1383;0.1003;0.2132;0.1322;0.1414
c01.m00,1,0,False,noise_single_band (1 < 2),1,1442,39,96,peptide_protein,0.5641,0.9805,0.398,0.4404,1.0,0.8222,carboxylic_acid_metabolite:1;fatty_acid:1;free_amino_acid:4;mono_oligosaccharide:1;peptide_protein:22;sterol_steroid:9;sulfur_thiol_cofactor:1,carbohydrate:1;energy_metabolism:1;lipid:10;protein_amino_acid:26;redox_cofactor:1,RamanBioLib:36;amino_acid_raman_grounding:3;gobbato_raman_metabolites:7,(+)-sucrose;acetoacetate;carbonic anhydrase;cholesterol;cholesteryl linoleate;cholesteryl oleate;cholesteryl palmitate;cholesteryl stearate;collagen;elaidic acid;elastase;elastin;ergothioneine;estradiol;estriol;estrone;ethinylestradiol;ferritin;glutathione transferase;horseradish peroxidase;insulin;isoleucine;keratin;lactalbumin;lectin;major proteinase;methionine;papain;pepsin;pepsinogen;proline;superoxide dismutases;thaumatin;triosephosphate isomerase;trypsin;trypsinogen;ubiquitin;valine;α-chymotrypsinogen a (type ii),496,1.0000
c01.m01,1,1,True,,2,1302;1442,43,74,acylglycerol,0.3953,0.9991,0.4388,0.3394,0.9568,0.8222,acylglycerol:17;carboxylic_acid_metabolite:2;fatty_acid:15;free_amino_acid:2;peptide_protein:2;phospholipid_sphingolipid:4;sterol_steroid:1,energy_metabolism:2;lipid:37;protein_amino_acid:4,RamanBioLib:42;amino_acid_raman_grounding:3;gobbato_raman_metabolites:6,12-methyltetradecanoic acid;13-methylmyristicacid;14-methylpentadecanoic acid;15-methylpalmiticacid;albumin;arachidic acid;arachidonic acid;ceramide;diethylstilbestrol;fumarate;glucose oxidase;lauric acid;leucine;linoleic acid;myristic acid;oleate;palmitic acid;palmitoleic acid;phenylalanine;sphingomyelin;stearate;succinic acid;tri-11-eicosenoin;triarachidin;tribehenin;tricaprin;tricaproin;tricaprylin;trielaidin;trierucin;trilaurin;trilinolein;trilinolenin;trimyristin;triolein;tripalmitin;tripalmitolein;tripetroselinin;tristearin;vaccenic acid;α-linolenic acid;α-phosphatidylcholine;α-phosphatidylethanolamine,426;496,0.4071;0.5929
c01.m02,1,2,True,,3,882;1070;1442,16,48,mono_oligosaccharide,0.3125,0.9832,0.1633,0.2202,0.6035,0.5216,carboxylic_acid_metabolite:3;fatty_acid:1;free_amino_acid:2;mono_oligosaccharide:5;peptide_protein:1;phospholipid_sphingolipid:1;purine:1;sulfur_thiol_cofactor:2,carbohydrate:5;energy_metabolism:3;lipid:2;nucleic:1;protein_amino_acid:3;redox_cofactor:2,RamanBioLib:14;amino_acid_raman_grounding:3;gobbato_raman_metabolites:10,(+)-fucose;(+)-raffinose pentahydrate;(-)-fructose;14-methylhexadecanoic acid;2-deoxy-d-ribose;acetyl-coa;arginine;citrate;coenzyme a;glycerol;histidine;hypoxanthine;malic acid;phosphatidylinositol;pyruvate;tubulin,216;310;496,0.2913;0.3962;0.3125
c02.m00,2,0,True,,4,1104;1130;1456;1676,15,22,fatty_acid,0.4,0.9395,0.3,0.1803,0.8014,0.6927,acylglycerol:4;fatty_acid:6;sterol_steroid:5,lipid:15,RamanBioLib:15;gobbato_raman_metabolites:2,13-methylmyristicacid;14-methylhexadecanoic acid;15-methylpalmiticacid;cholesterol;cholesteryl linoleate;cholesteryl oleate;cholesteryl palmitate;cholesteryl stearate;elaidic acid;lauric acid;stearate;triarachidin;tribehenin;trielaidin;tristearin,327;340;503;613,0.0979;0.2178;0.5600;0.1244
c02.m01,2,1,True,,5,1000;1240;1336;1456;1676,27,77,peptide_protein,0.9259,0.9985,0.54,0.6311,0.9775,0.6927,carboxylic_acid_metabolite:1;peptide_protein:25;small_nitrogenous:1,energy_metabolism:2;protein_amino_acid:25,RamanBioLib:26;amino_acid_raman_grounding:1;gobbato_raman_metabolites:3,albumin;ascorbate;carbonic anhydrase;collagen;creatinine;elastase;elastin;ferritin;glucose oxidase;glutathione transferase;horseradish peroxidase;insulin;keratin;lactalbumin;lectin;major proteinase;papain;pepsin;pepsinogen;superoxide dismutases;thaumatin;triosephosphate isomerase;trypsin;trypsin inhibitor;trypsinogen;ubiquitin;α-chymotrypsinogen a (type ii),275;395;443;503;613,0.1335;0.1320;0.1315;0.3119;0.2911
c02.m02,2,2,True,,6,856;958;1130;1240;1336;1456,8,23,mono_oligosaccharide,0.375,0.9881,0.16,0.1885,0.7908,0.592,free_amino_acid:1;mono_oligosaccharide:3;peptide_protein:1;purine:2;sulfur_thiol_cofactor:1,carbohydrate:3;nucleic:2;protein_amino_acid:2;redox_cofactor:1,RamanBioLib:5;amino_acid_raman_grounding:1;gobbato_raman_metabolites:5,(+)-raffinose pentahydrate;(+)-sucrose;adenine;ergothioneine;glycerol;leucine;xanthine;xylanase,203;254;340;395;443;503,0.1658;0.1147;0.1498;0.1217;0.2275;0.2205
c03.m00,3,0,True,,5,722;882;1122;1250;1334,8,19,sulfur_thiol_cofactor,0.25,0.9814,0.2963,0.3065,0.9474,0.5162,free_amino_acid:1;phospholipid_sphingolipid:2;purine:1;sterol_steroid:2;sulfur_thiol_cofactor:2,lipid:4;nucleic:1;protein_amino_acid:1;redox_cofactor:2,RamanBioLib:6;amino_acid_raman_grounding:1;gobbato_raman_metabolites:4,acetyl-coa;coenzyme a;estrone;ethinylestradiol;hypoxanthine;methionine;sphingomyelin;α-phosphatidylcholine,136;216;336;400;442,0.4495;0.1367;0.1455;0.1302;0.1381
c03.m01,3,1,True,,4,722;1122;1250;1614,4,7,sterol_steroid,0.75,0.9,0.1481,0.1129,0.4889,0.5162,carboxylic_acid_metabolite:1;sterol_steroid:3,energy_metabolism:1;lipid:3,RamanBioLib:4;gobbato_raman_metabolites:1,ascorbate;diethylstilbestrol;estradiol;estriol,136;336;400;582,0.1523;0.2586;0.2600;0.3291
c03.m02,3,2,True,,4,960;1024;1206;1486,3,5,chromophore_pigment,0.6667,1.0,0.1111,0.0806,0.7854,0.1866,chromophore_pigment:2;sulfur_thiol_cofactor:1,redox_cofactor:3,RamanBioLib:1;amino_acid_raman_grounding:1;gobbato_raman_metabolites:1,carotene;ergothioneine;β-carotene,255;287;378;518,0.1557;0.2351;0.4415;0.1677
c03.m03,3,3,True,,4,802;1250;1334;1486,3,3,nucleic_acid_polymer,1.0,1.0,0.1111,0.0484,0.8572,0.3355,nucleic_acid_polymer:3,nucleic:3,RamanBioLib:3,a-dna;b-dna;t-rna,176;400;442;518,0.2643;0.1963;0.2150;0.3244
c03.m04,3,4,True,,5,536;658;882;1122;1334,9,28,free_amino_acid,0.3333,0.9489,0.3333,0.4516,0.9489,0.3626,free_amino_acid:3;mono_oligosaccharide:1;peptide_protein:1;phospholipid_sphingolipid:1;purine:2;sterol_steroid:1,carbohydrate:1;lipid:2;nucleic:2;protein_amino_acid:4,RamanBioLib:7;amino_acid_raman_grounding:1;gobbato_raman_metabolites:6,(+)-fucose;adenine;asparagine;cholesterol;ferritin;histidine;phosphatidylinositol;tyrosine;xanthine,43;104;216;336;442,0.1584;0.1577;0.1452;0.1508;0.3878
c04.m00,4,0,True,,7,528;872;922;1060;1086;1144;1268,21,63,mono_oligosaccharide,0.381,0.9959,0.4773,0.5727,0.921,0.4621,carboxylic_acid_metabolite:2;chromophore_pigment:1;free_amino_acid:4;mono_oligosaccharide:8;peptide_protein:1;phospholipid_sphingolipid:1;polysaccharide:2;purine:1;sulfur_thiol_cofactor:1,carbohydrate:10;energy_metabolism:2;lipid:1;nucleic:1;protein_amino_acid:5;redox_cofactor:2,RamanBioLib:17;amino_acid_raman_grounding:4;gobbato_raman_metabolites:12,(+)-fucose;(+)-galactosamine;(+)-galactose;(+)-lactose;(+)-mannose;(+)-xylose;(-)-fructose;(-)-ribose;aspartate;cellulose;coenzyme a;glutamate;glycogen;hydroxyproline;hypoxanthine;lactate;malic acid;phosphatidylinositol;riboflavin;tryptophan;xylanase,39;211;236;305;318;347;409,0.1502;0.2052;0.1025;0.1254;0.2004;0.1044;0.1119
c04.m01,4,1,True,,6,872;1060;1086;1268;1314;1470,23,47,acylglycerol,0.2174,0.9855,0.5227,0.4273,0.6237,0.4621,acylglycerol:5;fatty_acid:4;free_amino_acid:1;mono_oligosaccharide:3;nucleic_acid_polymer:1;peptide_protein:4;phospholipid_sphingolipid:2;pyrimidine:1;sterol_steroid:2,carbohydrate:3;lipid:13;nucleic:2;protein_amino_acid:5,RamanBioLib:23;amino_acid_raman_grounding:1;gobbato_raman_metabolites:4,(+)-raffinose pentahydrate;2-deoxy-d-ribose;a-dna;cholesteryl linoleate;cholesteryl oleate;collagen;cytosine;elastase;glucose oxidase;glycerol;histidine;oleate;palmitoleic acid;pepsin;tri-11-eicosenoin;trilinolein;trilinolenin;triolein;tripalmitolein;vaccenic acid;α-linolenic acid;α-phosphatidylcholine;α-phosphatidylethanolamine,211;305;318;409;432;510,0.1002;0.1073;0.1431;0.2322;0.1652;0.2520
c05.m00,5,0,True,,6,828;966;1264;1326;1450;1614,3,3,sterol_steroid,1.0,1.0,0.1111,0.0435,0.6289,0.701,sterol_steroid:3,lipid:3,RamanBioLib:3,diethylstilbestrol;estradiol;estriol,189;258;407;438;500;582,0.1974;0.0974;0.1635;0.1018;0.0989;0.3411
c05.m01,5,1,False,too_few_analytes (2 < 3),7,828;986;1044;1178;1200;1326;1614,2,9,free_amino_acid,1.0,1.0,0.0741,0.1304,0.9419,0.651,free_amino_acid:2,protein_amino_acid:2,RamanBioLib:2;amino_acid_raman_grounding:1;gobbato_raman_metabolites:2,phenylalanine;tyrosine,189;268;297;364;375;438;582,0.3499;0.1025;0.0886;0.1071;0.1155;0.1091;0.1272
c05.m02,5,2,True,,5,494;828;1044;1264;1450,4,10,mono_oligosaccharide,0.75,0.9867,0.1481,0.1449,0.763,0.651,mono_oligosaccharide:3;peptide_protein:1,carbohydrate:3;protein_amino_acid:1,RamanBioLib:4;gobbato_raman_metabolites:2,(+)-mannose;(+)-raffinose pentahydrate;glycerol;tubulin,22;189;297;407;500,0.1204;0.3342;0.2482;0.1439;0.1533
c05.m03,5,3,True,,6,494;966;1178;1200;1264;1450,3,5,chromophore_pigment,0.6667,1.0,0.1111,0.0725,0.958,0.2889,chromophore_pigment:2;sulfur_thiol_cofactor:1,redox_cofactor:3,RamanBioLib:1;amino_acid_raman_grounding:1;gobbato_raman_metabolites:1,carotene;ergothioneine;β-carotene,22;258;364;375;407;500,0.1276;0.1098;0.2104;0.3082;0.1344;0.1095
c05.m04,5,4,True,,6,798;828;1326;1398;1450;1704,4,11,carboxylic_acid_metabolite,0.5,0.8467,0.1481,0.1594,0.6925,0.6307,carboxylic_acid_metabolite:2;free_amino_acid:1;mono_oligosaccharide:1,carbohydrate:1;energy_metabolism:2;protein_amino_acid:1,RamanBioLib:4;amino_acid_raman_grounding:1;gobbato_raman_metabolites:2,(+)-trehalose;acetoacetate;aspartate;pyruvate,174;189;438;474;500;627,0.1518;0.2365;0.1498;0.1776;0.1611;0.1230
c05.m05,5,5,True,,5,828;1264;1326;1450;1614,8,23,peptide_protein,0.5,0.9614,0.2963,0.3333,0.4891,0.8157,free_amino_acid:3;peptide_protein:4;sterol_steroid:1,lipid:1;protein_amino_acid:7,RamanBioLib:6;amino_acid_raman_grounding:2;gobbato_raman_metabolites:3,estrone;insulin;isoleucine;leucine;major proteinase;papain;pepsinogen;valine,189;407;438;500;582,0.1692;0.1381;0.1781;0.3784;0.1362
c05.m06,5,6,False,too_few_analytes (1 < 3),4,828;966;986;1450,1,4,phosphate_metabolite,1.0,1.0,0.037,0.058,0.4204,0.3763,phosphate_metabolite:1,energy_metabolism:1,RamanBioLib:1;gobbato_raman_metabolites:1,fructose-6-phosphate,189;258;268;500,0.1794;0.4272;0.2765;0.1169
c05.m07,5,7,False,too_few_analytes (1 < 3),4,640;828;1200;1398,1,3,free_amino_acid,1.0,1.0,0.037,0.0435,0.396,0.1697,free_amino_acid:1,protein_amino_acid:1,gobbato_raman_metabolites:1,cysteine,95;189;375;474,0.6049;0.0973;0.1521;0.1457
c05.m08,5,8,False,too_few_analytes (1 < 3),2,828;1450,1,1,fatty_acid,1.0,1.0,0.037,0.0145,0.2415,0.8157,fatty_acid:1,lipid:1,RamanBioLib:1,13-methylmyristicacid,189;500,0.1507;0.8493
c06.m00,6,0,True,,2,1006;1158,3,3,chromophore_pigment,0.6667,1.0,0.06,0.0224,0.406,0.2956,chromophore_pigment:2;mono_oligosaccharide:1,carbohydrate:1;redox_cofactor:2,RamanBioLib:2;amino_acid_raman_grounding:1,(+)-fucose;carotene;β-carotene,278;354,0.2712;0.7288
c06.m01,6,1,True,,3,514;1006;1606,47,131,peptide_protein,0.5319,0.9787,0.94,0.9776,0.8951,0.2956,carboxylic_acid_metabolite:1;free_amino_acid:5;mono_oligosaccharide:3;peptide_protein:25;phosphate_metabolite:1;phospholipid_sphingolipid:1;purine:1;small_nitrogenous:1;sterol_steroid:7;sulfur_thiol_cofactor:2,carbohydrate:3;energy_metabolism:3;lipid:8;nucleic:1;protein_amino_acid:30;redox_cofactor:2,RamanBioLib:42;amino_acid_raman_grounding:6;gobbato_raman_metabolites:15,2-deoxy-d-ribose;acetoacetate;alanine;albumin;carbonic anhydrase;cholesterol;cholesteryl oleate;coenzyme a;diethylstilbestrol;elastase;elastin;ergothioneine;estradiol;estriol;estrone;ethinylestradiol;ferritin;glucosamine;glutathione transferase;hemoglobin;horseradish peroxidase;insulin;isoleucine;keratin;lactalbumin;lectin;myoglobin;n-acetylglucosamine;papain;pepsin;pepsinogen;phenylalanine;phosphatidylinositol;phosphoenolpyruvate;serine;superoxide dismutases;thaumatin;triosephosphate isomerase;trypsin;trypsin inhibitor;trypsinogen;tryptophan;tubulin;ubiquitin;urate;urea;α-chymotrypsinogen a (type ii),32;278;578,0.2053;0.5431;0.2515
c07.m00,7,0,True,,2,1430;1654,7,8,phospholipid_sphingolipid,0.2857,0.9702,0.1207,0.0606,0.4928,0.8124,acylglycerol:2;carboxylic_acid_metabolite:2;fatty_acid:1;phospholipid_sphingolipid:2,energy_metabolism:2;lipid:5,RamanBioLib:7,ceramide;elaidic acid;fumarate;sphingomyelin;succinic acid;trierucin;tripetroselinin,490;602,0.7051;0.2949
c07.m01,7,1,True,,3,1118;1260;1318,6,10,sterol_steroid,0.5,1.0,0.1034,0.0758,0.9165,0.0,free_amino_acid:1;polysaccharide:1;pyrimidine:1;sterol_steroid:3,carbohydrate:1;lipid:3;nucleic:1;protein_amino_acid:1,RamanBioLib:6;amino_acid_raman_grounding:1;gobbato_raman_metabolites:1,chitin;cytosine;diethylstilbestrol;estradiol;estriol;histidine,334;405;434,0.3502;0.3902;0.2595
c07.m02,7,2,True,,2,1430;1654,45,114,peptide_protein,0.5333,0.9335,0.7759,0.8636,0.9077,0.8124,acylglycerol:5;carboxylic_acid_metabolite:2;chromophore_pigment:1;fatty_acid:6;peptide_protein:24;phospholipid_sphingolipid:2;purine:1;small_nitrogenous:1;sterol_steroid:2;sulfur_thiol_cofactor:1,energy_metabolism:3;lipid:15;nucleic:1;protein_amino_acid:24;redox_cofactor:2,RamanBioLib:43;amino_acid_raman_grounding:3;gobbato_raman_metabolites:7,albumin;arachidonic acid;ascorbate;carbonic anhydrase;cholesteryl linoleate;cholesteryl oleate;collagen;creatinine;elastase;elastin;ferritin;glucose oxidase;glutathione;glutathione transferase;insulin;keratin;lactalbumin;lectin;linoleic acid;major proteinase;malic acid;melanin;oleate;palmitoleic acid;papain;pepsin;pepsinogen;superoxide dismutases;thaumatin;tri-11-eicosenoin;trilinolein;trilinolenin;triolein;triosephosphate isomerase;tripalmitolein;trypsin;trypsin inhibitor;trypsinogen;ubiquitin;urate;vaccenic acid;α-chymotrypsinogen a (type ii);α-linolenic acid;α-phosphatidylcholine;α-phosphatidylethanolamine,490;602,0.3775;0.6225
c08.m00,8,0,True,,5,814;1240;1306;1590;1628,6,10,sterol_steroid,0.5,0.9697,0.25,0.1887,0.7932,0.4184,acylglycerol:1;chromophore_pigment:1;fatty_acid:1;sterol_steroid:3,lipid:5;redox_cofactor:1,RamanBioLib:6,arachidonic acid;diethylstilbestrol;estradiol;estriol;melanin;trilinolenin,182;395;428;570;589,0.1281;0.1353;0.1299;0.1264;0.4803
c08.m01,8,1,True,,5,516;1134;1240;1362;1628,8,19,mono_oligosaccharide,0.375,0.9903,0.3333,0.3585,0.5954,0.4042,mono_oligosaccharide:3;peptide_protein:1;polysaccharide:2;sterol_steroid:2,carbohydrate:5;lipid:2;protein_amino_acid:1,RamanBioLib:8;gobbato_raman_metabolites:3,(+)-galactosamine;(+)-galactose;chitin;elastase;estrone;ethinylestradiol;glycogen;n-acetylglucosamine,33;342;395;456;589,0.2162;0.2470;0.2062;0.1738;0.1567
c08.m02,8,2,True,,5,814;1240;1306;1362;1590,3,7,nucleic_acid_polymer,0.6667,1.0,0.125,0.1321,0.652,0.4652,free_amino_acid:1;nucleic_acid_polymer:2,nucleic:2;protein_amino_acid:1,RamanBioLib:3;amino_acid_raman_grounding:1;gobbato_raman_metabolites:1,a-dna;alanine;b-dna,182;395;428;456;570,0.1402;0.1599;0.2464;0.2932;0.1602
