component,status,n_participants,n_classes_in_component,component_dominant_class,component_dominant_share,n_retained_motifs,best_motif_purity,weighted_motif_purity,purity_gain,distinct_motif_classes
0,DECOMPOSED,34,7,peptide_protein,0.4706,4,1.0,0.8214,0.3508,free_amino_acid;peptide_protein
1,DECOMPOSED,98,10,peptide_protein,0.2551,2,0.3953,0.3729,0.1178,acylglycerol;mono_oligosaccharide
2,DECOMPOSED,50,10,peptide_protein,0.52,3,0.9259,0.68,0.16,fatty_acid;mono_oligosaccharide;peptide_protein
3,DECOMPOSED,27,10,sterol_steroid,0.2222,5,1.0,0.4815,0.2593,chromophore_pigment;free_amino_acid;nucleic_acid_polymer;sterol_steroid;sulfur_thiol_cofactor
4,DECOMPOSED,44,14,mono_oligosaccharide,0.25,2,0.381,0.2955,0.0455,acylglycerol;mono_oligosaccharide
5,DECOMPOSED,27,9,free_amino_acid,0.2593,5,1.0,0.6364,0.3771,carboxylic_acid_metabolite;chromophore_pigment;mono_oligosaccharide;peptide_protein;sterol_steroid
6,DECOMPOSED,50,11,peptide_protein,0.5,2,0.6667,0.54,0.04,chromophore_pigment;peptide_protein
7,DECOMPOSED,58,13,peptide_protein,0.4138,3,0.5333,0.5,0.0862,peptide_protein;phospholipid_sphingolipid;sterol_steroid
8,DECOMPOSED,24,10,peptide_protein,0.2083,4,0.6667,0.5,0.2917,mono_oligosaccharide;nucleic_acid_polymer;peptide_protein;sterol_steroid
9,DECOMPOSED,49,12,mono_oligosaccharide,0.2041,2,0.3478,0.3469,0.1429,mono_oligosaccharide;peptide_protein
10,DECOMPOSED,43,12,mono_oligosaccharide,0.3023,6,0.6667,0.5,0.1977,fatty_acid;free_amino_acid;mono_oligosaccharide;polysaccharide
11,DECOMPOSED,50,12,free_amino_acid,0.24,2,0.4138,0.38,0.14,free_amino_acid;peptide_protein
12,IRREDUCIBLE,50,14,mono_oligosaccharide,0.28,1,0.2917,0.2917,0.0117,mono_oligosaccharide
13,DECOMPOSED,40,14,mono_oligosaccharide,0.125,5,1.0,0.5333,0.4083,mono_oligosaccharide;nucleic_acid_polymer;peptide_protein;sterol_steroid;sulfur_thiol_cofactor
14,DECOMPOSED,58,12,peptide_protein,0.2759,3,0.6364,0.4821,0.2063,carboxylic_acid_metabolite;mono_oligosaccharide;peptide_protein
15,DECOMPOSED,37,9,peptide_protein,0.3514,4,1.0,0.7241,0.3728,mono_oligosaccharide;peptide_protein;sterol_steroid
16,DECOMPOSED,61,13,acylglycerol,0.2295,3,0.6667,0.4423,0.2128,acylglycerol;mono_oligosaccharide;nucleic_acid_polymer
17,DECOMPOSED,41,13,mono_oligosaccharide,0.2195,9,1.0,0.6829,0.4634,carboxylic_acid_metabolite;fatty_acid;free_amino_acid;mono_oligosaccharide;nucleic_acid_polymer;peptide_protein;purine;sterol_steroid
18,DECOMPOSED,48,12,mono_oligosaccharide,0.2917,8,0.8,0.5957,0.3041,fatty_acid;free_amino_acid;mono_oligosaccharide;nucleic_acid_polymer;peptide_protein
19,DECOMPOSED,43,13,mono_oligosaccharide,0.2093,5,0.625,0.4444,0.2351,chromophore_pigment;free_amino_acid;mono_oligosaccharide;nucleic_acid_polymer;peptide_protein
20,DECOMPOSED,39,12,mono_oligosaccharide,0.2564,7,0.75,0.4865,0.2301,carboxylic_acid_metabolite;mono_oligosaccharide;peptide_protein;sterol_steroid
21,DECOMPOSED,41,14,peptide_protein,0.1951,5,0.75,0.4103,0.2151,mono_oligosaccharide;peptide_protein;sterol_steroid
22,DECOMPOSED,66,13,peptide_protein,0.303,3,0.6552,0.5455,0.2424,fatty_acid;free_amino_acid;peptide_protein
23,DECOMPOSED,24,14,carboxylic_acid_metabolite,0.2083,5,0.75,0.5,0.2917,carboxylic_acid_metabolite;free_amino_acid;mono_oligosaccharide;nucleic_acid_polymer;sulfur_thiol_cofactor
