component,n_motifs,silhouette,size_gini,max_motif_share,sizes
0,2,0.353921,0.147059,0.647059,"[22, 12]"
0,3,0.431663,0.156863,0.441176,"[15, 12, 7]"
0,4,0.461003,0.279412,0.382353,"[13, 12, 7, 2]"
0,5,0.462632,0.341176,0.352941,"[12, 11, 7, 2, 2]"
0,6,0.502489,0.352941,0.352941,"[12, 8, 7, 3, 2, 2]"
0,7,0.529035,0.369748,0.352941,"[12, 7, 6, 3, 2, 2, 2]"
0,8,0.456507,0.404412,0.352941,"[12, 6, 6, 3, 2, 2, 2, 1]"
0,9,0.513767,0.398693,0.352941,"[12, 6, 4, 3, 2, 2, 2, 2, 1]"
1,2,0.308254,0.102041,0.602041,"[59, 39]"
1,3,0.475035,0.183673,0.438776,"[43, 39, 16]"
1,4,0.344488,0.209184,0.438776,"[43, 20, 19, 16]"
1,5,0.368663,0.342857,0.438776,"[43, 20, 19, 10, 6]"
1,6,0.405426,0.438776,0.438776,"[43, 20, 19, 8, 6, 2]"
1,7,0.363469,0.297376,0.22449,"[22, 21, 20, 19, 8, 6, 2]"
1,8,0.385315,0.367347,0.22449,"[22, 21, 20, 19, 6, 5, 3, 2]"
1,9,0.440481,0.38322,0.22449,"[22, 21, 19, 13, 7, 6, 5, 3, 2]"
2,2,0.386393,0.2,0.7,"[35, 15]"
2,3,0.481294,0.253333,0.54,"[27, 15, 8]"
2,4,0.364208,0.3,0.54,"[27, 8, 8, 7]"
2,5,0.40707,0.416,0.54,"[27, 8, 7, 6, 2]"
2,6,0.446504,0.48,0.52,"[26, 8, 7, 6, 2, 1]"
2,7,0.461959,0.508571,0.52,"[26, 7, 6, 6, 2, 2, 1]"
2,8,0.467129,0.535,0.52,"[26, 7, 6, 4, 2, 2, 2, 1]"
2,9,0.474815,0.564444,0.52,"[26, 7, 6, 3, 2, 2, 2, 1, 1]"
3,2,0.254342,0.055556,0.555556,"[15, 12]"
3,3,0.297136,0.222222,0.444444,"[12, 12, 3]"
3,4,0.338534,0.287037,0.444444,"[12, 8, 4, 3]"
3,5,0.390702,0.251852,0.333333,"[9, 8, 4, 3, 3]"
3,6,0.380093,0.339506,0.333333,"[9, 8, 3, 3, 3, 1]"
3,7,0.348299,0.328042,0.296296,"[8, 7, 3, 3, 3, 2, 1]"
3,8,0.336052,0.300926,0.259259,"[7, 6, 3, 3, 3, 2, 2, 1]"
3,9,0.365727,0.230453,0.222222,"[6, 4, 3, 3, 3, 3, 2, 2, 1]"
4,2,0.380946,0.022727,0.522727,"[23, 21]"
4,3,0.327356,0.257576,0.477273,"[21, 19, 4]"
4,4,0.332434,0.329545,0.431818,"[19, 17, 4, 4]"
4,5,0.294366,0.290909,0.386364,"[17, 10, 9, 4, 4]"
4,6,0.289987,0.333333,0.340909,"[15, 10, 9, 4, 4, 2]"
4,7,0.307886,0.266234,0.227273,"[10, 10, 9, 5, 4, 4, 2]"
4,8,0.306742,0.346591,0.227273,"[10, 10, 9, 5, 4, 3, 2, 1]"
4,9,0.317459,0.323232,0.227273,"[10, 9, 6, 5, 4, 4, 3, 2, 1]"
5,2,0.138617,0.462963,0.962963,"[26, 1]"
5,3,0.136504,0.592593,0.925926,"[25, 1, 1]"
5,4,0.08237,0.490741,0.592593,"[16, 9, 1, 1]"
5,5,0.160048,0.474074,0.481481,"[13, 9, 3, 1, 1]"
5,6,0.217232,0.462963,0.481481,"[13, 6, 3, 3, 1, 1]"
5,7,0.26864,0.37037,0.333333,"[9, 6, 4, 3, 3, 1, 1]"
5,8,0.312793,0.384259,0.296296,"[8, 6, 4, 3, 3, 1, 1, 1]"
5,9,0.333748,0.36214,0.296296,"[8, 4, 4, 3, 3, 2, 1, 1, 1]"
6,2,0.556901,0.44,0.94,"[47, 3]"
6,3,0.321157,0.28,0.48,"[24, 23, 3]"
6,4,0.259645,0.34,0.48,"[24, 14, 9, 3]"
6,5,0.311326,0.376,0.42,"[21, 14, 9, 3, 3]"
6,6,0.36124,0.36,0.34,"[17, 14, 9, 4, 3, 3]"
6,7,0.380634,0.417143,0.32,"[16, 14, 9, 4, 3, 3, 1]"
6,8,0.41841,0.35,0.28,"[14, 9, 8, 8, 4, 3, 3, 1]"
6,9,0.450485,0.324444,0.22,"[11, 9, 8, 8, 4, 3, 3, 3, 1]"
7,2,0.438498,0.37931,0.87931,"[51, 7]"
7,3,0.56685,0.448276,0.775862,"[45, 7, 6]"
7,4,0.354073,0.396552,0.62069,"[36, 9, 7, 6]"
7,5,0.405096,0.489655,0.603448,"[35, 9, 7, 6, 1]"
