motif_id,c00.m00,c00.m01,c00.m04,c00.m06,c01.m01,c01.m02,c02.m00,c02.m01,c02.m02,c03.m00,c03.m01,c03.m02,c03.m03,c03.m04,c04.m00,c04.m01,c05.m00,c05.m02,c05.m03,c05.m04,c05.m05,c06.m00,c06.m01,c07.m00,c07.m01,c07.m02,c08.m00,c08.m01,c08.m02,c08.m03,c09.m00,c09.m01,c10.m00,c10.m01,c10.m02,c10.m03,c10.m04,c10.m05,c11.m00,c11.m01,c12.m01,c13.m03,c13.m04,c13.m05,c13.m06,c13.m07,c14.m00,c14.m02,c14.m03,c15.m00,c15.m01,c15.m02,c15.m05,c16.m00,c16.m02,c16.m03,c17.m00,c17.m01,c17.m02,c17.m03,c17.m04,c17.m05,c17.m06,c17.m07,c17.m08,c18.m00,c18.m01,c18.m02,c18.m03,c18.m04,c18.m05,c18.m06,c18.m07,c19.m00,c19.m04,c19.m05,c19.m06,c19.m08,c20.m00,c20.m01,c20.m03,c20.m04,c20.m05,c20.m06,c20.m07,c21.m00,c21.m01,c21.m02,c21.m04,c21.m05,c22.m00,c22.m01,c22.m02,c23.m00,c23.m01,c23.m03,c23.m04,c23.m05
c00.m00,1.0,0.3319,0.3052,0.5369,0.0855,0.0512,0.7318,0.5543,0.4808,0.0168,0.0,0.0,0.0275,0.05,0.0,0.0776,0.1588,0.183,0.1456,0.2627,0.4826,0.0,0.0,0.0,0.1227,0.0,0.0152,0.0174,0.0544,0.1001,0.1129,0.2105,0.6825,0.0,0.4605,0.0,0.1581,0.3486,0.455,0.2864,0.5566,0.0,0.062,0.0,0.0158,0.0228,0.6052,0.2207,0.3216,0.0587,0.0189,0.0218,0.0178,0.2012,0.1052,0.1137,0.0,0.0083,0.0,0.0094,0.0,0.0184,0.0197,0.0106,0.0092,0.6702,0.7256,0.1792,0.0273,0.2793,0.2441,0.229,0.0204,0.1074,0.0,0.0023,0.0969,0.1492,0.0165,0.0905,0.0,0.0072,0.0901,0.1044,0.0654,0.0598,0.0567,0.0,0.0694,0.1254,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0357
c00.m01,0.3319,1.0,0.3735,0.2823,0.005,0.0,0.0,0.0373,0.0717,0.0189,0.0,0.0,0.031,0.0563,0.0,0.0796,0.0332,0.0,0.0,0.0506,0.0517,0.0,0.0,0.0,0.1299,0.0,0.061,0.0202,0.1246,0.2198,0.1195,0.0504,0.0,0.0,0.1064,0.0,0.1843,0.0,0.0767,0.1245,0.1019,0.0,0.075,0.0,0.0207,0.0263,0.0543,0.0688,0.0683,0.066,0.02,0.0231,0.0188,0.0,0.0,0.0,0.0,0.0095,0.0,0.0109,0.0,0.0212,0.0227,0.0122,0.0106,0.0294,0.0,0.0245,0.0299,0.0433,0.061,0.0244,0.0224,0.1252,0.0,0.0027,0.113,0.174,0.0,0.0946,0.0,0.0,0.1051,0.1107,0.0763,0.0633,0.06,0.0,0.0735,0.1327,0.0,0.1509,0.0,0.0,0.0,0.0,0.0,0.0412
c00.m04,0.3052,0.3735,1.0,0.4142,0.0,0.0,0.0,0.0431,0.1933,0.015,0.0,0.1134,0.0246,0.1293,0.0142,0.0,0.0804,0.0,0.0935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207,0.0324,0.3194,0.0,0.0,0.0,0.0,0.129,0.0,0.2235,0.0,0.0,0.0446,0.2547,0.0,0.0796,0.0,0.0572,0.0,0.0658,0.0834,0.0828,0.0,0.1751,0.0797,0.0652,0.0,0.0,0.0,0.0,0.0,0.0195,0.0,0.0,0.0,0.0263,0.0299,0.0694,0.014,0.0,0.0117,0.0545,0.0206,0.0709,0.0116,0.0107,0.1518,0.0,0.1104,0.137,0.3318,0.0,0.1147,0.0,0.0,0.1274,0.1342,0.0925,0.0017,0.0,0.0036,0.0027,0.0,0.0,0.2541,0.0,0.0385,0.0188,0.0,0.0352,0.0091
c00.m06,0.5369,0.2823,0.4142,1.0,0.0368,0.0208,0.3878,0.2538,0.3438,0.0296,0.0177,0.0,0.0326,0.1948,0.1128,0.0651,0.0784,0.0742,0.059,0.2448,0.2174,0.0,0.0,0.0,0.1046,0.0,0.0117,0.206,0.0568,0.0272,0.1477,0.1066,0.2767,0.0,0.3223,0.0431,0.2736,0.2012,0.2168,0.2875,0.525,0.0496,0.0,0.0,0.0699,0.0,0.2906,0.2267,0.1873,0.015,0.2799,0.0248,0.1115,0.0816,0.0426,0.186,0.0,0.0,0.0667,0.0,0.0512,0.0623,0.1261,0.0442,0.1025,0.2962,0.3133,0.1433,0.0476,0.1385,0.1444,0.1184,0.0362,0.1489,0.0004,0.0,0.1334,0.2061,0.197,0.1969,0.0493,0.1287,0.253,0.2645,0.3595,0.051,0.0483,0.0,0.0592,0.204,0.0,0.124,0.0,0.0569,0.0278,0.0,0.0521,0.0
c01.m01,0.0855,0.005,0.0,0.0368,1.0,0.4289,0.1487,0.1061,0.0852,0.0,0.0,0.0,0.0,0.0,0.0,0.0466,0.0904,0.1298,0.1033,0.1525,0.3077,0.0,0.0,0.1556,0.0169,0.091,0.1087,0.0,0.2335,0.0,0.0,0.7169,0.004,0.0,0.0022,0.0,0.0,0.0021,0.0,0.0,0.0415,0.0,0.0,0.0,0.0,0.0,0.2392,0.0693,0.1126,0.0481,0.0,0.0,0.0807,0.2549,0.6486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.0406,0.0088,0.0,0.0134,0.0105,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.3222,0.0046,0.0,0.0701,0.2153,0.0528,0.0,0.0218,0.0,0.0,0.0,0.0,0.0
c01.m02,0.0512,0.0,0.0,0.0208,0.4289,1.0,0.0943,0.0673,0.054,0.131,0.0,0.0,0.0,0.1474,0.175,0.1006,0.0574,0.0824,0.0655,0.0967,0.1952,0.0,0.0,0.0987,0.0,0.0577,0.0,0.0,0.0,0.0,0.0404,0.4548,0.2006,0.0074,0.0014,0.0,0.1763,0.3319,0.0,0.0,0.0264,0.0,0.0,0.0,0.0,0.0,0.1518,0.0439,0.1813,0.0305,0.0,0.0,0.0512,0.0,0.3037,0.2399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228,0.0258,0.0056,0.0,0.0085,0.2021,0.0073,0.0,0.0,0.1366,0.0,0.0,0.1849,0.0,0.0,0.0224,0.0,0.0434,0.0478,0.0,0.3007,0.0,0.3138,0.0409,0.1301,0.0,0.0026,0.0009,0.0,0.0,0.0,0.0,0.0
c02.m00,0.7318,0.0,0.0,0.3878,0.1487,0.0943,1.0,0.6927,0.592,0.0518,0.0945,0.0,0.0,0.057,0.0004,0.0032,0.1449,0.2081,0.1655,0.2444,0.4933,0.0,0.0,0.0,0.0721,0.0,0.0,0.1588,0.0,0.0,0.0,0.2465,0.693,0.0,0.3624,0.1076,0.0449,0.3421,0.4202,0.189,0.5555,0.0,0.0,0.1164,0.0506,0.0327,0.6202,0.1796,0.2921,0.0939,0.0,0.0,0.0,0.2337,0.1222,0.3225,0.0,0.0658,0.0,0.0576,0.0555,0.0,0.0,0.0,0.0447,0.6998,0.7711,0.281,0.1144,0.2501,0.2509,0.2846,0.0889,0.0,0.0483,0.0,0.0834,0.0413,0.2129,0.208,0.049,0.0643,0.128,0.0847,0.0,0.009,0.011,0.0281,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,0.0,0.0,0.0082
c02.m01,0.5543,0.0373,0.0431,0.2538,0.1061,0.0673,0.6927,1.0,0.5512,0.093,0.0599,0.0,0.1509,0.19,0.0,0.0023,0.128,0.1485,0.1181,0.2119,0.3903,0.0733,0.1821,0.0,0.0,0.0,0.0658,0.1226,0.0881,0.0653,0.0569,0.1999,0.478,0.0,0.2898,0.0,0.0541,0.2442,0.312,0.1487,0.3415,0.0,0.0012,0.3493,0.1519,0.0982,0.5098,0.2132,0.2929,0.3743,0.0625,0.0724,0.0589,0.1668,0.0872,0.0943,0.0,0.059,0.0,0.0672,0.0546,0.1807,0.1407,0.0755,0.0658,0.5457,0.5279,0.1788,0.0789,0.2888,0.2981,0.2147,0.0591,0.0171,0.0,0.0,0.1344,0.0238,0.1418,0.4721,0.08,0.0869,0.0345,0.0456,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097,0.0,0.0131,0.0333,0.0411,0.0246
c02.m02,0.4808,0.0717,0.1933,0.3438,0.0852,0.054,0.592,0.5512,1.0,0.2079,0.1573,0.0786,0.254,0.4303,0.0074,0.0047,0.1659,0.1192,0.1352,0.2136,0.3577,0.0,0.0,0.0,0.0584,0.0,0.0689,0.2874,0.0922,0.0,0.1118,0.1884,0.3837,0.0424,0.3042,0.0,0.1237,0.2146,0.3526,0.3747,0.3513,0.0,0.0,0.0,0.0,0.0,0.4872,0.2699,0.3896,0.1507,0.1228,0.2092,0.1157,0.1339,0.07,0.2664,0.0,0.0618,0.0,0.0704,0.0,0.1375,0.1474,0.0791,0.0689,0.5698,0.4535,0.328,0.3216,0.3645,0.5424,0.4241,0.3041,0.0336,0.0,0.0715,0.155,0.125,0.1616,0.1493,0.0491,0.0602,0.196,0.1507,0.0493,0.0,0.2897,0.0,0.0,0.0,0.0,0.0547,0.0195,0.0039,0.0,0.0,0.0,0.0
c03.m00,0.0168,0.0189,0.015,0.0296,0.0,0.131,0.0518,0.093,0.2079,1.0,0.5162,0.0,0.2103,0.3626,0.0485,0.0197,0.0483,0.008,0.0083,0.0587,0.0673,0.0,0.0,0.0,0.1992,0.0,0.0226,0.0734,0.0302,0.0,0.1013,0.0362,0.016,0.0035,0.0122,0.0569,0.0493,0.0,0.0218,0.0249,0.0976,0.0,0.0,0.0,0.0,0.0,0.0476,0.0603,0.0599,0.0778,0.0813,0.1034,0.0732,0.0,0.0,0.0707,0.0,0.0071,0.0,0.0081,0.0,0.0158,0.0169,0.0091,0.0079,0.1871,0.0506,0.2369,0.2512,0.1676,0.3706,0.169,0.2459,0.0028,0.0686,0.0,0.1047,0.094,0.0423,0.0524,0.0614,0.0507,0.0951,0.0835,0.0107,0.003,0.0029,0.0,0.0035,0.0063,0.0,0.0051,0.0018,0.0,0.0,0.1544,0.0,0.0
