component,n_motifs,n_analytes,observed_weighted_purity,null_purity_mean,null_purity_p95,gain_beyond_mechanical,p_permutation,significant
0,4,28,0.8214,0.5923,0.6429,0.2291,0.002,True
1,2,59,0.3729,0.3151,0.3559,0.0578,0.04192,True
2,3,50,0.68,0.5206,0.52,0.1594,0.002,True
3,5,27,0.4815,0.3367,0.4074,0.1447,0.00399,True
4,2,44,0.2955,0.2551,0.2955,0.0404,0.05389,False
5,5,22,0.6364,0.3909,0.5,0.2455,0.002,True
6,2,50,0.54,0.5037,0.52,0.0363,0.04192,True
7,3,58,0.5,0.4222,0.4483,0.0778,0.002,True
8,4,24,0.5,0.3352,0.4167,0.1648,0.00399,True
9,2,49,0.3469,0.2378,0.2857,0.1091,0.002,True
10,6,42,0.5,0.3655,0.4286,0.1345,0.002,True
11,2,50,0.38,0.2683,0.32,0.1117,0.002,True
13,5,30,0.5333,0.3002,0.3667,0.2331,0.002,True
14,3,56,0.4821,0.298,0.3393,0.1842,0.002,True
15,4,29,0.7241,0.4451,0.5172,0.279,0.002,True
16,3,52,0.4423,0.3024,0.3462,0.1399,0.002,True
17,9,41,0.6829,0.3622,0.4146,0.3207,0.002,True
18,8,47,0.5957,0.3835,0.4468,0.2123,0.002,True
19,5,36,0.4444,0.3061,0.3611,0.1383,0.00399,True
20,7,37,0.4865,0.3899,0.4595,0.0966,0.02994,True
21,5,39,0.4103,0.2988,0.359,0.1115,0.002,True
22,3,66,0.5455,0.315,0.3485,0.2304,0.002,True
23,5,22,0.5,0.3358,0.4091,0.1642,0.002,True
