subset,component,n_shared,ari,note
RamanBioLib_only,0,26,0.878,
RamanBioLib_only,1,56,0.935,
RamanBioLib_only,2,46,0.9403,
RamanBioLib_only,3,14,0.7626,
RamanBioLib_only,4,40,0.7154,
RamanBioLib_only,5,17,1.0,
RamanBioLib_only,6,0,,subset run gave <2 motifs
RamanBioLib_only,7,56,0.3976,
RamanBioLib_only,8,18,0.689,
RamanBioLib_only,9,44,1.0,
RamanBioLib_only,10,37,0.8068,
RamanBioLib_only,11,43,0.9069,
RamanBioLib_only,13,28,0.9314,
RamanBioLib_only,14,51,0.5585,
RamanBioLib_only,15,25,0.9308,
RamanBioLib_only,16,50,0.8077,
RamanBioLib_only,17,37,0.9061,
RamanBioLib_only,18,40,0.8385,
RamanBioLib_only,19,30,0.9295,
RamanBioLib_only,20,30,1.0,
RamanBioLib_only,21,35,0.5417,
RamanBioLib_only,22,58,0.5969,
RamanBioLib_only,23,17,1.0,
gobbato_only,0,0,,subset run gave <2 motifs
gobbato_only,1,10,1.0,
gobbato_only,2,0,,subset run gave <2 motifs
gobbato_only,3,0,,subset run gave <2 motifs
gobbato_only,4,14,0.5521,
gobbato_only,5,0,,subset run gave <2 motifs
gobbato_only,6,0,,subset run gave <2 motifs
gobbato_only,7,0,,subset run gave <2 motifs
gobbato_only,8,0,,subset run gave <2 motifs
gobbato_only,9,12,0.4884,
gobbato_only,10,12,0.4183,
gobbato_only,11,22,0.6002,
gobbato_only,13,0,,subset run gave <2 motifs
gobbato_only,14,13,0.7903,
gobbato_only,15,9,1.0,
gobbato_only,16,10,0.5665,
gobbato_only,17,10,0.52,
gobbato_only,18,0,,subset run gave <2 motifs
gobbato_only,19,0,,subset run gave <2 motifs
gobbato_only,20,0,,subset run gave <2 motifs
gobbato_only,21,0,,subset run gave <2 motifs
gobbato_only,22,14,0.0,
gobbato_only,23,0,,subset run gave <2 motifs
replicate_half_0,0,25,0.9751,
replicate_half_0,1,36,0.5921,
replicate_half_0,2,43,0.7869,
replicate_half_0,3,24,0.622,
replicate_half_0,4,43,1.0,
replicate_half_0,5,18,0.8025,
replicate_half_0,6,48,1.0,
replicate_half_0,7,56,0.866,
replicate_half_0,8,20,0.6604,
replicate_half_0,9,44,0.6981,
replicate_half_0,10,36,0.78,
replicate_half_0,11,48,1.0,
replicate_half_0,13,29,0.1707,
replicate_half_0,14,53,0.8303,
replicate_half_0,15,26,0.9025,
replicate_half_0,16,51,0.7226,
replicate_half_0,17,36,0.7881,
replicate_half_0,18,43,0.6954,
replicate_half_0,19,34,0.8138,
replicate_half_0,20,35,0.7754,
replicate_half_0,21,34,0.5222,
replicate_half_0,22,65,0.9108,
replicate_half_0,23,14,1.0,
replicate_half_1,0,24,0.5523,
replicate_half_1,1,56,0.7679,
replicate_half_1,2,48,0.7333,
replicate_half_1,3,27,0.7505,
replicate_half_1,4,36,0.3048,
replicate_half_1,5,21,0.8486,
replicate_half_1,6,49,1.0,
replicate_half_1,7,57,0.933,
replicate_half_1,8,18,0.7536,
replicate_half_1,9,49,1.0,
replicate_half_1,10,38,0.6783,
replicate_half_1,11,46,0.5079,
replicate_half_1,13,29,0.3125,
replicate_half_1,14,54,0.6445,
replicate_half_1,15,22,1.0,
replicate_half_1,16,52,0.7369,
replicate_half_1,17,38,0.5726,
replicate_half_1,18,45,0.0538,
replicate_half_1,19,30,0.8178,
replicate_half_1,20,35,0.0677,
replicate_half_1,21,38,0.3876,
replicate_half_1,22,60,0.5787,
replicate_half_1,23,20,0.5984,
