source_label,has_raman,has_ag_sers,n_raman_files,n_sers_files
AcCoA,True,True,3,5
Acetoacet,True,True,3,5
Ade,True,True,3,5
Ala,True,True,3,5
Alb,True,True,3,5
Arg,True,True,3,5
Asc,True,True,3,5
Chol,True,True,3,5
Citric,True,True,3,5
CoA,True,True,3,5
Creat,True,True,3,5
Cys,True,True,3,5
DNA,False,True,0,5
Dfruct6P,True,True,3,5
Ergo,True,True,3,5
Fruct,True,True,3,5
Galact,True,True,3,5
Gluc,True,True,3,5
Glut,True,True,3,5
Glutamic,True,True,3,5
Gly,True,True,3,5
Glycerol,True,True,3,5
Glycogen,True,True,3,5
Gua,True,True,3,5
His,True,True,3,5
Hydroxypro,True,True,3,5
Hypox,True,True,3,5
Ile,True,True,3,5
Lact,True,True,3,5
Leu,True,True,3,5
Mann,True,True,3,5
Methio,True,True,3,5
NacDgluc,True,True,3,5
Oleic,True,True,3,5
PEP,True,True,3,5
PhInositol,True,True,3,5
Phe,True,True,3,5
Phosph,True,True,3,5
Pro,True,True,3,5
Pyr,True,True,3,5
RNA,False,True,0,5
Ribo,True,True,3,5
Ser,True,True,3,5
Stearic,True,True,3,5
Thy,True,True,3,5
Triolein,True,True,3,5
Trp,True,True,3,5
Tyr,True,True,3,5
UA,True,True,3,5
Ura,True,True,3,5
Urea,True,True,3,5
Val,True,True,3,5
Xanth,True,True,3,5
