normalized_label,canonical_id,unique_to_gobbato
acetoacetate,acetoacetate,False
acetyl-coa,acetyl-coa,True
adenine,adenine,False
alanine,alanine,False
albumin,albumin,False
arginine,arginine,False
ascorbate,ascorbate,False
cholesterol,cholesterol,False
citrate,citrate,False
coenzyme a,coenzyme a,False
creatinine,creatinine,True
cysteine,cysteine,True
ergothioneine,ergothioneine,True
fructose,(-)-fructose,True
fructose-6-phosphate,fructose-6-phosphate,False
galactose,(+)-galactose,True
glucose,(+)-glucose,True
glutamate,glutamate,False
glutathione,glutathione,False
glycerol,glycerol,False
glycine,glycine,False
glycogen,glycogen,False
guanine,guanine,False
histidine,histidine,False
hydroxyproline,hydroxyproline,True
hypoxanthine,hypoxanthine,True
isoleucine,isoleucine,True
lactate,lactate,True
leucine,leucine,True
mannose,(+)-mannose,True
methionine,methionine,True
n-acetylglucosamine,n-acetylglucosamine,True
oleate,oleate,False
phenylalanine,phenylalanine,False
phosphate,phosphate,True
phosphatidylinositol,phosphatidylinositol,True
phosphoenolpyruvate,phosphoenolpyruvate,False
proline,proline,False
pyruvate,pyruvate,False
riboflavin,riboflavin,True
serine,serine,False
stearate,stearate,False
thymine,thymine,False
triolein,triolein,False
tryptophan,tryptophan,False
tyrosine,tyrosine,False
uracil,uracil,False
urate,urate,True
urea,urea,True
valine,valine,False
xanthine,xanthine,True
