canonical_id,n_spectra,n_excitations
(+)-arabinose,1,1
(+)-fucose,1,1
(+)-galactosamine,1,1
(+)-galactose,4,2
(+)-glucose,6,2
(+)-lactose,2,2
(+)-maltose,1,1
(+)-mannose,4,1
(+)-raffinose pentahydrate,1,1
(+)-sucrose,1,1
(+)-trehalose,1,1
(+)-xylose,2,2
(-)-arabinose,1,1
(-)-fructose,5,2
(-)-ribose,1,1
12-methyltetradecanoic acid,1,1
13-methylmyristicacid,1,1
14-methylhexadecanoic acid,1,1
14-methylpentadecanoic acid,1,1
15-methylpalmiticacid,1,1
2-deoxy-d-ribose,1,1
a-dna,1,1
acetoacetate,4,1
acetyl-coa,4,1
adenine,4,1
alanine,5,1
albumin,7,4
amylopectin,2,2
amylose,2,2
arachidic acid,1,1
arachidonic acid,1,1
arginine,5,1
ascorbate,4,1
asparagine,1,1
aspartate,2,2
b-dna,1,1
carbonic anhydrase,3,3
carotene,1,1
cellulose,1,1
ceramide,2,2
chitin,1,1
cholesterol,4,2
cholesteryl linoleate,1,1
cholesteryl oleate,1,1
cholesteryl palmitate,1,1
cholesteryl stearate,1,1
citrate,4,1
coenzyme a,4,1
collagen,3,3
creatinine,3,1
cysteine,3,1
cytochrome c,2,2
cytosine,1,1
diethylstilbestrol,1,1
elaidic acid,1,1
elastase,3,3
elastin,1,1
ergothioneine,3,1
estradiol,1,1
estriol,1,1
estrone,1,1
ethinylestradiol,1,1
ferritin,3,3
fructose-6-phosphate,4,1
fumarate,1,1
glucosamine,1,1
glucose oxidase,2,2
glutamate,6,1
glutathione,5,1
glutathione transferase,2,2
glycerol,4,1
glycine,5,1
glycogen,4,2
guanine,4,1
hemoglobin,2,2
histidine,5,1
horseradish peroxidase,2,2
hydroxyproline,3,1
hypoxanthine,3,1
insulin,1,1
isoleucine,3,1
keratin,1,1
lactalbumin,3,3
lactate,3,1
lauric acid,1,1
lectin,3,3
leucine,4,1
linoleic acid,1,1
major proteinase,3,3
malic acid,2,1
melanin,4,4
methionine,4,1
myoglobin,2,2
myristic acid,2,2
n-acetylglucosamine,4,1
oleate,5,2
palmitic acid,2,2
palmitoleic acid,1,1
papain,3,3
pepsin,3,3
pepsinogen,3,3
phenylalanine,5,1
phosphate,3,1
phosphatidylinositol,3,1
phosphoenolpyruvate,4,1
proline,5,1
pyruvate,4,1
riboflavin,4,1
serine,5,1
sphingomyelin,1,1
stearate,5,2
succinic acid,1,1
superoxide dismutases,3,3
t-rna,1,1
thaumatin,3,3
thymine,4,1
tri-11-eicosenoin,1,1
triarachidin,1,1
tribehenin,1,1
tricaprin,1,1
tricaproin,1,1
tricaprylin,1,1
trielaidin,1,1
trierucin,1,1
trilaurin,1,1
trilinolein,2,2
trilinolenin,2,2
trimyristin,1,1
triolein,5,2
triosephosphate isomerase,3,3
tripalmitin,1,1
tripalmitolein,1,1
tripetroselinin,1,1
tristearin,1,1
trypsin,3,3
trypsin inhibitor,3,3
trypsinogen,3,3
tryptophan,5,1
tubulin,1,1
tyrosine,4,1
ubiquitin,3,3
uracil,4,1
urate,3,1
urea,4,1
vaccenic acid,1,1
valine,5,1
xanthine,3,1
xylanase,3,3
α-chymotrypsinogen a (type ii),3,3
α-linolenic acid,1,1
α-phosphatidylcholine,1,1
α-phosphatidylethanolamine,1,1
β-carotene,1,1
β-d-glucose,1,1
