spectrum_id,source_dataset,original_file,original_analyte_label,normalized_label,canonical_id,modality,substrate,excitation_nm,is_pure_analyte,included_in_v7_raman,inclusion_reason,exclusion_reason,chemistry_class,replicate_group,substrate_flag
ramanbiolib::1,RamanBioLib,grounding_molecule_spectra.parquet,12-methyltetradecanoic acid,12-methyltetradecanoic acid,12-methyltetradecanoic acid,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,12-methyltetradecanoic acid|785.0,
ramanbiolib::2,RamanBioLib,grounding_molecule_spectra.parquet,13-methylmyristicacid,13-methylmyristicacid,13-methylmyristicacid,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,13-methylmyristicacid|785.0,
ramanbiolib::3,RamanBioLib,grounding_molecule_spectra.parquet,14-methylhexadecanoic acid,14-methylhexadecanoic acid,14-methylhexadecanoic acid,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,14-methylhexadecanoic acid|785.0,
ramanbiolib::4,RamanBioLib,grounding_molecule_spectra.parquet,14-methylpentadecanoic acid,14-methylpentadecanoic acid,14-methylpentadecanoic acid,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,14-methylpentadecanoic acid|785.0,
ramanbiolib::5,RamanBioLib,grounding_molecule_spectra.parquet,15-methylpalmiticacid,15-methylpalmiticacid,15-methylpalmiticacid,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,15-methylpalmiticacid|785.0,
ramanbiolib::6,RamanBioLib,grounding_molecule_spectra.parquet,acetoacetate,acetoacetate,acetoacetate,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,carboxylic_acid_metabolite,acetoacetate|785.0,
ramanbiolib::7,RamanBioLib,grounding_molecule_spectra.parquet,acetyl coenzyme a,acetyl coenzyme a,acetyl-coa,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,sulfur_thiol_cofactor,acetyl-coa|785.0,
ramanbiolib::8,RamanBioLib,grounding_molecule_spectra.parquet,adenine,adenine,adenine,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,purine,adenine|785.0,
ramanbiolib::9,RamanBioLib,grounding_molecule_spectra.parquet,amylopectin,amylopectin,amylopectin,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,polysaccharide,amylopectin|785.0,
ramanbiolib::10,RamanBioLib,grounding_molecule_spectra.parquet,amylose,amylose,amylose,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,polysaccharide,amylose|785.0,
