surface_form,canonical_id,is_alias,merge_kind,justification,n_spectra,sources
(+)-arabinose,(+)-arabinose,False,canonical,Canonical form.,1,RamanBioLib
(+)-dextrose,(+)-glucose,True,synonym,Dextrose is the common name for D-(+)-glucose.,1,RamanBioLib
(+)-fucose,(+)-fucose,False,canonical,Canonical form.,1,RamanBioLib
(+)-galactosamine,(+)-galactosamine,False,canonical,Canonical form.,1,RamanBioLib
(+)-galactose,(+)-galactose,False,canonical,Canonical form.,1,RamanBioLib
(+)-glucose,(+)-glucose,False,canonical,Canonical form.,1,RamanBioLib
(+)-lactose,(+)-lactose,False,canonical,Canonical form.,1,RamanBioLib
(+)-maltose,(+)-maltose,False,canonical,Canonical form.,1,RamanBioLib
(+)-mannose,(+)-mannose,False,canonical,Canonical form.,1,RamanBioLib
(+)-raffinose pentahydrate,(+)-raffinose pentahydrate,False,canonical,Canonical form.,1,RamanBioLib
(+)-sucrose,(+)-sucrose,False,canonical,Canonical form.,1,RamanBioLib
(+)-trehalose,(+)-trehalose,False,canonical,Canonical form.,1,RamanBioLib
(+)-xylose,(+)-xylose,False,canonical,Canonical form.,2,RamanBioLib
(-)-arabinose,(-)-arabinose,False,canonical,Canonical form.,1,RamanBioLib
(-)-fructose,(-)-fructose,False,canonical,Canonical form.,2,RamanBioLib
(-)-ribose,(-)-ribose,False,canonical,Canonical form.,1,RamanBioLib
12-methyltetradecanoic acid,12-methyltetradecanoic acid,False,canonical,Canonical form.,1,RamanBioLib
13-methylmyristicacid,13-methylmyristicacid,False,canonical,Canonical form.,1,RamanBioLib
14-methylhexadecanoic acid,14-methylhexadecanoic acid,False,canonical,Canonical form.,1,RamanBioLib
14-methylpentadecanoic acid,14-methylpentadecanoic acid,False,canonical,Canonical form.,1,RamanBioLib
15-methylpalmiticacid,15-methylpalmiticacid,False,canonical,Canonical form.,1,RamanBioLib
2-deoxy-d-ribose,2-deoxy-d-ribose,False,canonical,Canonical form.,1,RamanBioLib
a-dna,a-dna,False,canonical,Canonical form.,1,RamanBioLib
acetoacetate,acetoacetate,False,canonical,Canonical form.,4,RamanBioLib;gobbato_raman_metabolites
acetyl coenzyme a,acetyl-coa,True,orthographic,Same molecule written long-form vs hyphenated abbreviation. ALSO a class-assignment conflict: filed under 'protein' in one source and 'cofactor' in the other; the merge resolves it.,1,RamanBioLib
acetyl-coa,acetyl-coa,False,canonical,Canonical form.,3,gobbato_raman_metabolites
adenine,adenine,False,canonical,Canonical form.,4,RamanBioLib;gobbato_raman_metabolites
alanine,alanine,False,canonical,Canonical form.,5,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites
alb,albumin,True,truncation,Truncated spreadsheet header for albumin.,1,amino_acid_raman_grounding
albumin,albumin,False,canonical,Canonical form.,6,RamanBioLib;gobbato_raman_metabolites
amylopectin,amylopectin,False,canonical,Canonical form.,2,RamanBioLib
amylose,amylose,False,canonical,Canonical form.,2,RamanBioLib
arachidic acid,arachidic acid,False,canonical,Canonical form.,1,RamanBioLib
arachidonic acid,arachidonic acid,False,canonical,Canonical form.,1,RamanBioLib
arginine,arginine,False,canonical,Canonical form.,5,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites
ascorbate,ascorbate,False,canonical,Canonical form.,4,RamanBioLib;gobbato_raman_metabolites
asparagine,asparagine,False,canonical,Canonical form.,1,RamanBioLib
aspartate,aspartate,False,canonical,Canonical form.,1,amino_acid_raman_grounding
aspartic acid,aspartate,True,protonation_state,Conjugate acid/base pair of one molecule; indistinguishable as a solid-state Raman reference at this resolution. ALSO a class conflict: 'organic_acid' vs 'amino_acid'.,1,RamanBioLib
b-dna,b-dna,False,canonical,Canonical form.,1,RamanBioLib
carbonic anhydrase,carbonic anhydrase,False,canonical,Canonical form.,3,RamanBioLib
carotene,carotene,False,canonical,Canonical form.,1,amino_acid_raman_grounding
cellulose,cellulose,False,canonical,Canonical form.,1,RamanBioLib
ceramide,ceramide,False,canonical,Canonical form.,2,RamanBioLib
chitin,chitin,False,canonical,Canonical form.,1,RamanBioLib
