canonical_id,n_spectra,fine_class,broad_class,fold,split_version
(+)-arabinose,1,mono_oligosaccharide,carbohydrate,0,v7_cv_v1
(+)-fucose,1,mono_oligosaccharide,carbohydrate,1,v7_cv_v1
(+)-galactosamine,1,mono_oligosaccharide,carbohydrate,0,v7_cv_v1
(+)-galactose,4,mono_oligosaccharide,carbohydrate,3,v7_cv_v1
(+)-glucose,6,mono_oligosaccharide,carbohydrate,0,v7_cv_v1
(+)-lactose,2,mono_oligosaccharide,carbohydrate,2,v7_cv_v1
(+)-maltose,1,mono_oligosaccharide,carbohydrate,1,v7_cv_v1
(+)-mannose,4,mono_oligosaccharide,carbohydrate,4,v7_cv_v1
(+)-raffinose pentahydrate,1,mono_oligosaccharide,carbohydrate,2,v7_cv_v1
(+)-sucrose,1,mono_oligosaccharide,carbohydrate,4,v7_cv_v1
(+)-trehalose,1,mono_oligosaccharide,carbohydrate,4,v7_cv_v1
(+)-xylose,2,mono_oligosaccharide,carbohydrate,4,v7_cv_v1
(-)-arabinose,1,mono_oligosaccharide,carbohydrate,0,v7_cv_v1
(-)-fructose,5,mono_oligosaccharide,carbohydrate,2,v7_cv_v1
(-)-ribose,1,mono_oligosaccharide,carbohydrate,1,v7_cv_v1
12-methyltetradecanoic acid,1,fatty_acid,lipid,2,v7_cv_v1
13-methylmyristicacid,1,fatty_acid,lipid,4,v7_cv_v1
14-methylhexadecanoic acid,1,fatty_acid,lipid,2,v7_cv_v1
14-methylpentadecanoic acid,1,fatty_acid,lipid,4,v7_cv_v1
15-methylpalmiticacid,1,fatty_acid,lipid,0,v7_cv_v1
2-deoxy-d-ribose,1,mono_oligosaccharide,carbohydrate,2,v7_cv_v1
a-dna,1,nucleic_acid_polymer,nucleic,0,v7_cv_v1
acetoacetate,4,carboxylic_acid_metabolite,energy_metabolism,3,v7_cv_v1
acetyl-coa,4,sulfur_thiol_cofactor,redox_cofactor,0,v7_cv_v1
adenine,4,purine,nucleic,0,v7_cv_v1
alanine,5,free_amino_acid,protein_amino_acid,4,v7_cv_v1
albumin,7,peptide_protein,protein_amino_acid,3,v7_cv_v1
amylopectin,2,polysaccharide,carbohydrate,0,v7_cv_v1
amylose,2,polysaccharide,carbohydrate,1,v7_cv_v1
arachidic acid,1,fatty_acid,lipid,0,v7_cv_v1
arachidonic acid,1,fatty_acid,lipid,1,v7_cv_v1
arginine,5,free_amino_acid,protein_amino_acid,0,v7_cv_v1
ascorbate,4,carboxylic_acid_metabolite,energy_metabolism,2,v7_cv_v1
asparagine,1,free_amino_acid,protein_amino_acid,0,v7_cv_v1
aspartate,2,free_amino_acid,protein_amino_acid,4,v7_cv_v1
b-dna,1,nucleic_acid_polymer,nucleic,1,v7_cv_v1
carbonic anhydrase,3,peptide_protein,protein_amino_acid,1,v7_cv_v1
carotene,1,chromophore_pigment,redox_cofactor,0,v7_cv_v1
cellulose,1,polysaccharide,carbohydrate,2,v7_cv_v1
ceramide,2,phospholipid_sphingolipid,lipid,0,v7_cv_v1
chitin,1,polysaccharide,carbohydrate,3,v7_cv_v1
cholesterol,4,sterol_steroid,lipid,1,v7_cv_v1
cholesteryl linoleate,1,sterol_steroid,lipid,3,v7_cv_v1
cholesteryl oleate,1,sterol_steroid,lipid,2,v7_cv_v1
cholesteryl palmitate,1,sterol_steroid,lipid,3,v7_cv_v1
cholesteryl stearate,1,sterol_steroid,lipid,4,v7_cv_v1
citrate,4,carboxylic_acid_metabolite,energy_metabolism,0,v7_cv_v1
coenzyme a,4,sulfur_thiol_cofactor,redox_cofactor,1,v7_cv_v1
collagen,3,peptide_protein,protein_amino_acid,2,v7_cv_v1
