harness_version,representation,level,dim,n_items,n_classes,retrieval_p1,ci95_low,ci95_high,precision_at_5,mrr,mean_first_rank,null_p1,null_p95,kappa,mcc,chance_adjusted,macro_precision,macro_recall,macro_f1,balanced_accuracy,labels,n_random_ontologies
v7_harness_v1,v5_atlas::v7_fine_16,coord,24.0,167.0,16.0,0.6467,0.5749,0.7186,0.4982,0.7473,5.617,0.1016,0.1497,0.6041,0.6053,0.6067,0.5836,0.5749,0.5621,0.5749,v7_fine_16,
v7_harness_v1,v5_atlas::v7_broad_6,coord,24.0,167.0,6.0,0.8204,0.7605,0.8743,0.6874,0.8708,2.066,0.2232,0.2874,0.767,0.7674,0.7687,0.7698,0.7615,0.7637,0.7615,v7_broad_6,
v7_harness_v1,v5_atlas::v6_old_18,coord,24.0,167.0,18.0,0.6886,0.6168,0.7605,0.485,0.7749,4.771,0.0971,0.138,0.6524,0.6536,0.6552,0.6451,0.6088,0.6066,0.6088,v6_old_18,
v7_harness_v1,random_mean_of_12,coord,24.0,167.0,16.0,0.0883,0.0489,0.1327,0.0969,0.2332,16.0778,0.1022,0.1488,-0.019,-0.0191,-0.0154,0.0488,0.0511,0.0494,0.0511,size_matched_random,12.0
v7_harness_v1,v5_atlas::v7_fine_16,mss,17.0,167.0,16.0,0.6707,0.5988,0.7425,0.5257,0.7594,5.677,0.1017,0.1497,0.6311,0.632,0.6334,0.5968,0.5748,0.5771,0.5748,v7_fine_16,
v7_harness_v1,v5_atlas::v7_broad_6,mss,17.0,167.0,6.0,0.8084,0.7485,0.8683,0.7054,0.8625,2.713,0.2235,0.2874,0.7511,0.7517,0.7532,0.7684,0.741,0.7501,0.741,v7_broad_6,
v7_harness_v1,v5_atlas::v6_old_18,mss,17.0,167.0,18.0,0.7006,0.6287,0.7725,0.509,0.7845,4.693,0.0968,0.1437,0.666,0.6668,0.6685,0.6414,0.5956,0.5989,0.5956,v6_old_18,
v7_harness_v1,random_mean_of_12,mss,17.0,167.0,16.0,0.0863,0.0474,0.1297,0.0914,0.2276,16.3073,0.1016,0.1508,-0.0211,-0.0212,-0.017,0.0485,0.0511,0.0492,0.0511,size_matched_random,12.0
v7_harness_v1,v5_atlas::v7_fine_16,theme_raw,6.0,167.0,16.0,0.6228,0.5509,0.6946,0.4946,0.7123,5.772,0.1019,0.1497,0.5759,0.5765,0.5799,0.541,0.5241,0.5175,0.5241,v7_fine_16,
v7_harness_v1,v5_atlas::v7_broad_6,theme_raw,6.0,167.0,6.0,0.7665,0.7006,0.8323,0.6934,0.826,2.647,0.2247,0.2874,0.6964,0.6967,0.6988,0.6819,0.6782,0.6787,0.6782,v7_broad_6,
v7_harness_v1,v5_atlas::v6_old_18,theme_raw,6.0,167.0,18.0,0.6287,0.5569,0.7006,0.4802,0.7203,5.765,0.0968,0.1437,0.5849,0.5854,0.589,0.5334,0.5176,0.5118,0.5176,v6_old_18,
v7_harness_v1,random_mean_of_12,theme_raw,6.0,167.0,16.0,0.0823,0.0444,0.1242,0.0934,0.2284,16.2082,0.1014,0.1522,-0.0264,-0.0265,-0.0212,0.0452,0.0473,0.0457,0.0473,size_matched_random,12.0
v7_harness_v1,v5_atlas::v7_fine_16,system_raw,4.0,167.0,16.0,0.5689,0.497,0.6467,0.485,0.6744,6.707,0.1016,0.1497,0.5191,0.5202,0.5201,0.4317,0.4173,0.4158,0.4173,v7_fine_16,
v7_harness_v1,v5_atlas::v7_broad_6,system_raw,4.0,167.0,6.0,0.6946,0.6228,0.7665,0.685,0.7837,2.904,0.225,0.2934,0.6086,0.6092,0.606,0.5276,0.5364,0.5295,0.5364,v7_broad_6,
v7_harness_v1,v5_atlas::v6_old_18,system_raw,4.0,167.0,18.0,0.5269,0.4491,0.6048,0.4647,0.6486,6.711,0.0968,0.1437,0.4745,0.4753,0.4762,0.3956,0.3905,0.3859,0.3905,v6_old_18,
v7_harness_v1,random_mean_of_12,system_raw,4.0,167.0,16.0,0.0963,0.0549,0.1432,0.0959,0.2351,16.0139,0.1014,0.1497,-0.0113,-0.0113,-0.0057,0.0526,0.054,0.0526,0.054,size_matched_random,12.0
