spectrum_id,analyte,source,excitation_nm,snr_estimate,snr_score,grid_coverage,n_nan_bins,contrast,n_peaks,peak_density,quality_score,qc_pass,q_version,canonical_id,weight_quality,weight_uniform
ramanbiolib::1,12-methyltetradecanoic acid,RamanBioLib,785.0,410.394,0.9386,1.0,0,0.9659,26,0.8667,0.941496,True,v7_q_v2,12-methyltetradecanoic acid,1.0,1.0
ramanbiolib::2,13-methylmyristicacid,RamanBioLib,785.0,531.327,1.0,1.0,0,0.971,27,0.9,0.966861,True,v7_q_v2,13-methylmyristicacid,1.0,1.0
ramanbiolib::3,14-methylhexadecanoic acid,RamanBioLib,785.0,461.307,0.975,1.0,0,0.9672,21,0.7,0.901358,True,v7_q_v2,14-methylhexadecanoic acid,1.0,1.0
ramanbiolib::4,14-methylpentadecanoic acid,RamanBioLib,785.0,563.389,1.0,1.0,0,0.9725,24,0.8,0.939161,True,v7_q_v2,14-methylpentadecanoic acid,1.0,1.0
ramanbiolib::5,15-methylpalmiticacid,RamanBioLib,785.0,543.595,1.0,1.0,0,0.9737,21,0.7,0.908612,True,v7_q_v2,15-methylpalmiticacid,1.0,1.0
ramanbiolib::6,acetoacetate,RamanBioLib,785.0,270.589,0.8092,1.0,0,0.9273,28,0.9333,0.914826,True,v7_q_v2,acetoacetate,0.25290711898930707,0.25
ramanbiolib::7,acetyl coenzyme a,RamanBioLib,785.0,241.73,0.7742,1.0,0,0.8578,21,0.7,0.825732,True,v7_q_v2,acetyl-coa,0.2599846351477293,0.25
ramanbiolib::8,adenine,RamanBioLib,785.0,316.921,0.8583,1.0,0,0.9741,18,0.6,0.841592,True,v7_q_v2,adenine,0.23785268085637953,0.25
ramanbiolib::9,amylopectin,RamanBioLib,785.0,347.687,0.8871,1.0,0,0.9226,16,0.5333,0.812834,True,v7_q_v2,amylopectin,0.4875288873374346,0.5
ramanbiolib::10,amylose,RamanBioLib,785.0,381.981,0.9164,1.0,0,0.9036,17,0.5667,0.827641,True,v7_q_v2,amylose,0.5003887554746203,0.5
ramanbiolib::11,ascorbate,RamanBioLib,785.0,434.533,0.9564,1.0,0,0.9606,21,0.7,0.895504,True,v7_q_v2,ascorbate,0.24600210591146876,0.25
ramanbiolib::12,cellulose,RamanBioLib,785.0,362.548,0.9001,1.0,0,0.9522,22,0.7333,0.890389,True,v7_q_v2,cellulose,1.0,1.0
ramanbiolib::13,chitin,RamanBioLib,785.0,323.447,0.8647,1.0,0,0.9256,20,0.6667,0.854658,True,v7_q_v2,chitin,1.0,1.0
ramanbiolib::14,citrate,RamanBioLib,785.0,344.559,0.8843,1.0,0,0.964,20,0.6667,0.868261,True,v7_q_v2,citrate,0.24868726579799316,0.25
ramanbiolib::15,coenzyme a,RamanBioLib,785.0,231.129,0.7603,1.0,0,0.8904,20,0.6667,0.819629,True,v7_q_v2,coenzyme a,0.28303963312510144,0.25
ramanbiolib::16,cytosine,RamanBioLib,785.0,630.749,1.0,1.0,0,0.977,18,0.6,0.87501,True,v7_q_v2,cytosine,1.0,1.0
ramanbiolib::17,(+)-dextrose,RamanBioLib,785.0,375.65,0.9112,1.0,0,0.9664,20,0.6667,0.875315,True,v7_q_v2,(+)-glucose,0.16281976757704417,0.16666666666666666
