component,status,n_bands,n_participants,selected_n_motifs,n_retained_motifs,n_rejected_motifs,silhouette,size_gini,max_motif_share,mean_purity,mean_stability,coverage_retained,dominant_classes,reason
0,DECOMPOSED,14,34,7,4,3,0.529035,0.369748,0.352941,0.7679,0.9582,0.8235,free_amino_acid;peptide_protein,
1,DECOMPOSED,6,98,3,2,1,0.475035,0.183673,0.438776,0.3539,0.9912,0.602,acylglycerol;mono_oligosaccharide,
2,DECOMPOSED,13,50,3,3,0,0.481294,0.253333,0.54,0.567,0.9753,1.0,fatty_acid;mono_oligosaccharide;peptide_protein,
3,DECOMPOSED,13,27,5,5,0,0.390702,0.251852,0.333333,0.6,0.9661,1.0,chromophore_pigment;free_amino_acid;nucleic_acid_polymer;sterol_steroid;sulfur_thiol_cofactor,
4,DECOMPOSED,17,44,2,2,0,0.380946,0.022727,0.522727,0.2992,0.9907,1.0,acylglycerol;mono_oligosaccharide,
5,DECOMPOSED,15,27,9,5,4,0.333748,0.36214,0.296296,0.6833,0.959,0.8148,carboxylic_acid_metabolite;chromophore_pigment;mono_oligosaccharide;peptide_protein;sterol_steroid,
6,DECOMPOSED,9,50,2,2,0,0.556901,0.44,0.94,0.5993,0.9894,1.0,chromophore_pigment;peptide_protein,
7,DECOMPOSED,6,58,3,3,0,0.56685,0.448276,0.775862,0.4397,0.9679,1.0,peptide_protein;phospholipid_sphingolipid;sterol_steroid,
8,DECOMPOSED,12,24,4,4,0,0.367976,0.166667,0.333333,0.5283,0.9516,1.0,mono_oligosaccharide;nucleic_acid_polymer;peptide_protein;sterol_steroid,
9,DECOMPOSED,8,49,2,2,0,0.498759,0.030612,0.530612,0.347,0.9873,1.0,mono_oligosaccharide;peptide_protein,
10,DECOMPOSED,12,43,7,6,1,0.436049,0.372093,0.302326,0.5399,0.978,0.9767,fatty_acid;free_amino_acid;mono_oligosaccharide;polysaccharide,
11,DECOMPOSED,11,50,2,2,0,0.44631,0.08,0.58,0.3736,0.9652,1.0,free_amino_acid;peptide_protein,
12,IRREDUCIBLE,15,50,2,1,1,0.431777,0.46,0.96,0.2917,0.987,0.96,mono_oligosaccharide,
13,DECOMPOSED,14,40,9,5,4,0.440151,0.355556,0.3,0.6533,0.9853,0.75,mono_oligosaccharide;nucleic_acid_polymer;peptide_protein;sterol_steroid;sulfur_thiol_cofactor,
14,DECOMPOSED,13,58,4,3,1,0.406516,0.336207,0.413793,0.4705,0.9432,0.9655,carboxylic_acid_metabolite;mono_oligosaccharide;peptide_protein,
15,DECOMPOSED,14,37,8,4,4,0.571352,0.361486,0.297297,0.7292,0.9659,0.7838,mono_oligosaccharide;peptide_protein;sterol_steroid,
16,DECOMPOSED,7,61,5,3,2,0.597828,0.52459,0.622951,0.5572,0.9819,0.8525,acylglycerol;mono_oligosaccharide;nucleic_acid_polymer,
17,DECOMPOSED,13,41,9,9,0,0.409938,0.211382,0.195122,0.6852,0.9854,1.0,carboxylic_acid_metabolite;fatty_acid;free_amino_acid;mono_oligosaccharide;nucleic_acid_polymer;peptide_protein;purine;sterol_steroid,
18,DECOMPOSED,15,48,9,8,1,0.322109,0.24537,0.208333,0.6315,0.9485,0.9792,fatty_acid;free_amino_acid;mono_oligosaccharide;nucleic_acid_polymer;peptide_protein,
19,DECOMPOSED,19,43,9,5,4,0.289386,0.444444,0.372093,0.4742,0.971,0.8372,chromophore_pigment;free_amino_acid;mono_oligosaccharide;nucleic_acid_polymer;peptide_protein,
20,DECOMPOSED,20,39,9,7,2,0.262617,0.37037,0.333333,0.5383,0.9577,0.9487,carboxylic_acid_metabolite;mono_oligosaccharide;peptide_protein;sterol_steroid,
21,DECOMPOSED,18,41,6,5,1,0.24394,0.337398,0.365854,0.4627,0.9115,0.9512,mono_oligosaccharide;peptide_protein;sterol_steroid,
22,DECOMPOSED,18,66,3,3,0,0.394729,0.151515,0.439394,0.5114,0.9895,1.0,fatty_acid;free_amino_acid;peptide_protein,
23,DECOMPOSED,17,24,6,5,1,0.394491,0.263889,0.375,0.55,0.9982,0.9167,carboxylic_acid_metabolite;free_amino_acid;mono_oligosaccharide;nucleic_acid_polymer;sulfur_thiol_cofactor,
