chemical_class,n_analytes,corpus_share,v7_lsms,v7_capacity_share,status,capacity_per_molecule,v5_expected_components,v5_capacity_per_molecule,capacity_gain_vs_v5
acylglycerol,17,0.1104,3,0.06,DECOMPOSED,0.1765,2.65,0.1559,1.132
carboxylic_acid_metabolite,8,0.0519,2,0.04,DECOMPOSED,0.25,1.246,0.1558,1.605
chromophore_pigment,4,0.026,2,0.04,DECOMPOSED,0.5,0.624,0.156,3.205
fatty_acid,17,0.1104,5,0.1,DECOMPOSED,0.2941,2.65,0.1559,1.886
free_amino_acid,18,0.1169,7,0.14,DECOMPOSED,0.3889,2.806,0.1559,2.495
mono_oligosaccharide,20,0.1299,6,0.12,DECOMPOSED,0.3,3.118,0.1559,1.924
nucleic_acid_polymer,3,0.0195,1,0.02,DECOMPOSED,0.3333,0.468,0.156,2.137
peptide_protein,30,0.1948,10,0.2,DECOMPOSED,0.3333,4.675,0.1558,2.139
phosphate_metabolite,3,0.0195,1,0.02,DECOMPOSED,0.3333,0.468,0.156,2.137
phospholipid_sphingolipid,5,0.0325,2,0.04,DECOMPOSED,0.4,0.78,0.156,2.564
polysaccharide,5,0.0325,2,0.04,DECOMPOSED,0.4,0.78,0.156,2.564
purine,5,0.0325,2,0.04,DECOMPOSED,0.4,0.78,0.156,2.564
pyrimidine,3,0.0195,1,0.02,DECOMPOSED,0.3333,0.468,0.156,2.137
small_nitrogenous,2,0.013,1,0.02,DECOMPOSED,0.5,0.312,0.156,3.205
sterol_steroid,10,0.0649,3,0.06,DECOMPOSED,0.3,1.558,0.1558,1.926
sulfur_thiol_cofactor,4,0.026,2,0.04,DECOMPOSED,0.5,0.624,0.156,3.205
