component,status,n_motifs,n_analytes,ami_fine,ari_fine,ami_broad,null_ami_mean,null_ami_p95,p_permutation,significant,n_distinct_classes,n_distinct_dominant
0,DECOMPOSED,4,28,0.5519,0.5301,0.1269,0.0002,0.1144,0.001,True,6,2
1,DECOMPOSED,2,59,0.2152,0.1824,0.3248,0.0003,0.0552,0.001,True,10,2
2,DECOMPOSED,3,50,0.631,0.689,0.7465,0.0005,0.0733,0.001,True,10,3
3,DECOMPOSED,5,27,0.2519,0.1393,0.267,-0.0032,0.127,0.001,True,10,5
4,DECOMPOSED,2,44,0.1458,0.0668,0.1724,-0.0002,0.0727,0.001,True,14,2
5,DECOMPOSED,5,22,0.4573,0.3443,0.5692,-0.0042,0.1606,0.001,True,7,5
6,DECOMPOSED,2,50,0.1285,0.0875,0.1216,-0.0009,0.0839,0.00699,True,11,2
7,DECOMPOSED,3,58,0.201,0.2097,0.1166,0.0008,0.0712,0.001,True,13,3
8,DECOMPOSED,4,24,0.3494,0.2261,0.491,0.0003,0.1396,0.001,True,10,4
9,DECOMPOSED,2,49,0.2553,0.1418,0.2595,0.0005,0.0596,0.001,True,12,2
10,DECOMPOSED,6,42,0.2475,0.1535,0.3296,0.0013,0.0941,0.001,True,11,4
11,DECOMPOSED,2,50,0.2905,0.166,0.2482,-0.001,0.0604,0.001,True,12,2
12,IRREDUCIBLE,1,0,,,,,,,False,0,0
13,DECOMPOSED,5,30,0.5041,0.3241,0.4722,-0.0006,0.1241,0.001,True,12,5
14,DECOMPOSED,3,56,0.354,0.2732,0.3319,-0.0003,0.064,0.001,True,11,3
15,DECOMPOSED,4,29,0.5571,0.6269,0.4417,0.0005,0.1213,0.001,True,8,3
16,DECOMPOSED,3,52,0.3676,0.2087,0.5792,0.0007,0.0666,0.001,True,12,3
17,DECOMPOSED,9,41,0.5225,0.5094,0.5124,0.0014,0.0937,0.001,True,13,8
18,DECOMPOSED,8,47,0.3347,0.1998,0.273,-0.0008,0.0812,0.001,True,11,5
19,DECOMPOSED,5,36,0.185,0.1221,0.1147,-0.0005,0.0998,0.003,True,12,5
20,DECOMPOSED,7,37,0.14,0.0613,0.1005,0.003,0.1075,0.02298,True,11,4
21,DECOMPOSED,5,39,0.164,0.1021,0.0459,-0.0019,0.0992,0.00599,True,12,3
22,DECOMPOSED,3,66,0.3556,0.3528,0.2408,0.0002,0.0605,0.001,True,13,3
23,DECOMPOSED,5,22,0.2372,0.1491,0.2566,0.0061,0.1461,0.00799,True,13,5
