canonical_id,n_spectra,mean_pairwise_cosine,mean_bin_std,max_bin_std
(+)-arabinose,1,1.0,0.0,0.0
(+)-fucose,1,1.0,0.0,0.0
(+)-galactosamine,1,1.0,0.0,0.0
(+)-galactose,4,0.77843,0.010173,0.08063
(+)-glucose,6,0.85429,0.008467,0.061702
(+)-lactose,2,0.88287,0.005058,0.040493
(+)-maltose,1,1.0,0.0,0.0
(+)-mannose,4,0.91298,0.007419,0.053841
(+)-raffinose pentahydrate,1,1.0,0.0,0.0
(+)-sucrose,1,1.0,0.0,0.0
(+)-trehalose,1,1.0,0.0,0.0
(+)-xylose,2,0.93224,0.003567,0.059542
(-)-arabinose,1,1.0,0.0,0.0
(-)-fructose,5,0.97909,0.003037,0.029639
(-)-ribose,1,1.0,0.0,0.0
12-methyltetradecanoic acid,1,1.0,0.0,0.0
13-methylmyristicacid,1,1.0,0.0,0.0
14-methylhexadecanoic acid,1,1.0,0.0,0.0
14-methylpentadecanoic acid,1,1.0,0.0,0.0
15-methylpalmiticacid,1,1.0,0.0,0.0
2-deoxy-d-ribose,1,1.0,0.0,0.0
a-dna,1,1.0,0.0,0.0
acetoacetate,4,0.98252,0.002669,0.035102
acetyl-coa,4,0.94738,0.00603,0.033706
adenine,4,0.96106,0.003305,0.067435
alanine,5,0.90625,0.005988,0.068731
albumin,7,0.85179,0.011907,0.047618
amylopectin,2,0.95909,0.003288,0.036124
amylose,2,0.9627,0.003321,0.023443
arachidic acid,1,1.0,0.0,0.0
arachidonic acid,1,1.0,0.0,0.0
arginine,5,0.84915,0.008512,0.090272
ascorbate,4,0.98796,0.00232,0.019862
asparagine,1,1.0,0.0,0.0
aspartate,2,0.51854,0.011882,0.118014
b-dna,1,1.0,0.0,0.0
carbonic anhydrase,3,0.95816,0.004973,0.027705
carotene,1,1.0,0.0,0.0
cellulose,1,1.0,0.0,0.0
ceramide,2,0.96682,0.002921,0.024271
chitin,1,1.0,0.0,0.0
cholesterol,4,0.94457,0.006324,0.033235
cholesteryl linoleate,1,1.0,0.0,0.0
cholesteryl oleate,1,1.0,0.0,0.0
cholesteryl palmitate,1,1.0,0.0,0.0
cholesteryl stearate,1,1.0,0.0,0.0
citrate,4,0.91606,0.006107,0.052708
coenzyme a,4,0.89424,0.00906,0.046726
collagen,3,0.97481,0.004205,0.014585
creatinine,3,0.99764,0.000853,0.011116
cysteine,3,0.99975,0.000435,0.00135
cytochrome c,2,0.52916,0.009484,0.100626
cytosine,1,1.0,0.0,0.0
diethylstilbestrol,1,1.0,0.0,0.0
elaidic acid,1,1.0,0.0,0.0
elastase,3,0.93924,0.006035,0.02596
elastin,1,1.0,0.0,0.0
ergothioneine,3,0.99886,0.000877,0.003429
estradiol,1,1.0,0.0,0.0
estriol,1,1.0,0.0,0.0
estrone,1,1.0,0.0,0.0
ethinylestradiol,1,1.0,0.0,0.0
ferritin,3,0.7823,0.011608,0.043532
fructose-6-phosphate,4,0.98071,0.003703,0.023761
fumarate,1,1.0,0.0,0.0
glucosamine,1,1.0,0.0,0.0
glucose oxidase,2,0.83421,0.006848,0.050763
glutamate,6,0.70731,0.012593,0.132755
glutathione,5,0.7149,0.012945,0.078612
glutathione transferase,2,0.98427,0.002556,0.013534
glycerol,4,0.99248,0.002169,0.008064
glycine,5,0.78449,0.008382,0.097482
glycogen,4,0.90944,0.009007,0.022804
guanine,4,0.98101,0.002422,0.030819
hemoglobin,2,0.68878,0.007982,0.072775
histidine,5,0.81867,0.0098,0.081358
horseradish peroxidase,2,0.86918,0.006142,0.051686
hydroxyproline,3,0.99987,0.000294,0.001705
hypoxanthine,3,0.99099,0.002483,0.011655
insulin,1,1.0,0.0,0.0
isoleucine,3,0.99279,0.002302,0.010456
keratin,1,1.0,0.0,0.0
lactalbumin,3,0.95846,0.004684,0.029142
lactate,3,0.99955,0.000586,0.001894
lauric acid,1,1.0,0.0,0.0
lectin,3,0.94132,0.005671,0.032417
leucine,4,0.90605,0.007065,0.038695
linoleic acid,1,1.0,0.0,0.0
major proteinase,3,0.97749,0.003423,0.020091
malic acid,2,0.1697,0.012634,0.138397
melanin,4,0.97469,0.003289,0.015858
methionine,4,0.90781,0.006727,0.0664
myoglobin,2,0.85058,0.006354,0.039841
myristic acid,2,0.90865,0.003143,0.063586
n-acetylglucosamine,4,0.97951,0.003626,0.028426
oleate,5,0.98055,0.003839,0.020566
palmitic acid,2,0.88365,0.003592,0.062827
palmitoleic acid,1,1.0,0.0,0.0
papain,3,0.92433,0.005529,0.065984
pepsin,3,0.90284,0.007974,0.033728
pepsinogen,3,0.92913,0.006007,0.029255
phenylalanine,5,0.95237,0.004648,0.033687
phosphate,3,0.98926,0.002887,0.006919
phosphatidylinositol,3,0.97108,0.004696,0.014411
phosphoenolpyruvate,4,0.72707,0.010831,0.081867
proline,5,0.81705,0.009328,0.090692
pyruvate,4,0.59734,0.011841,0.124797
riboflavin,4,0.96951,0.004121,0.026722
serine,5,0.84075,0.008839,0.058916
sphingomyelin,1,1.0,0.0,0.0
stearate,5,0.94042,0.004614,0.048104
succinic acid,1,1.0,0.0,0.0
superoxide dismutases,3,0.94375,0.005378,0.027644
t-rna,1,1.0,0.0,0.0
thaumatin,3,0.93361,0.006338,0.031206
thymine,4,0.99289,0.00177,0.019897
tri-11-eicosenoin,1,1.0,0.0,0.0
triarachidin,1,1.0,0.0,0.0
tribehenin,1,1.0,0.0,0.0
tricaprin,1,1.0,0.0,0.0
tricaproin,1,1.0,0.0,0.0
tricaprylin,1,1.0,0.0,0.0
trielaidin,1,1.0,0.0,0.0
trierucin,1,1.0,0.0,0.0
trilaurin,1,1.0,0.0,0.0
trilinolein,2,0.9712,0.002369,0.035478
trilinolenin,2,0.97392,0.002524,0.036084
trimyristin,1,1.0,0.0,0.0
triolein,5,0.97385,0.004232,0.024788
triosephosphate isomerase,3,0.92364,0.007133,0.029116
tripalmitin,1,1.0,0.0,0.0
tripalmitolein,1,1.0,0.0,0.0
tripetroselinin,1,1.0,0.0,0.0
tristearin,1,1.0,0.0,0.0
trypsin,3,0.96895,0.004578,0.016394
trypsin inhibitor,3,0.97777,0.003387,0.020899
trypsinogen,3,0.94545,0.005806,0.025284
tryptophan,5,0.92169,0.006249,0.047276
tubulin,1,1.0,0.0,0.0
