chemical_class,status,n_analytes,n_spectra,k_ceiling,k_c,n_retained_lsms,n_rejected_lsms,explained_variance,mean_stability,mean_purity,n_class_shared,n_subfamily,n_discriminating,dominant_source,dominant_source_fraction,source_confounded,reason
peptide_protein,DECOMPOSED,30,80,15,10,10,0,0.9752,0.95,1.0,1,8,1,RamanBioLib,0.9375,True,
mono_oligosaccharide,DECOMPOSED,20,43,10,6,6,0,0.7884,0.9583,1.0,2,4,0,RamanBioLib,0.7407,False,
free_amino_acid,DECOMPOSED,18,75,9,7,7,0,0.7766,0.8929,1.0,0,5,2,gobbato_raman_metabolites,0.381,False,
acylglycerol,DECOMPOSED,17,23,8,3,3,0,0.9678,1.0,1.0,1,2,0,RamanBioLib,0.9444,True,
fatty_acid,DECOMPOSED,17,27,8,5,5,0,0.9553,1.0,1.0,1,4,0,RamanBioLib,0.8947,False,
sterol_steroid,DECOMPOSED,10,13,5,3,3,0,0.9018,1.0,1.0,1,2,0,RamanBioLib,0.9091,True,
carboxylic_acid_metabolite,DECOMPOSED,8,23,4,2,2,0,0.5388,1.0,1.0,2,0,0,RamanBioLib,0.5385,False,
phospholipid_sphingolipid,DECOMPOSED,5,8,2,2,2,0,0.9404,0.9583,1.0,2,0,0,RamanBioLib,0.8,False,
polysaccharide,DECOMPOSED,5,10,2,2,2,0,0.9197,1.0,1.0,2,0,0,RamanBioLib,0.8333,False,
purine,DECOMPOSED,5,17,2,2,2,0,0.6713,0.9583,1.0,2,0,0,gobbato_raman_metabolites,0.7143,False,
chromophore_pigment,DECOMPOSED,4,10,2,2,2,0,0.807,1.0,1.0,1,1,0,RamanBioLib,0.6,False,
sulfur_thiol_cofactor,DECOMPOSED,4,16,2,2,2,0,0.8855,1.0,1.0,2,0,0,gobbato_raman_metabolites,0.5,False,
nucleic_acid_polymer,DECOMPOSED,3,3,1,1,1,0,0.9176,1.0,1.0,1,0,0,RamanBioLib,1.0,True,
phosphate_metabolite,DECOMPOSED,3,11,1,1,1,0,0.5789,1.0,1.0,1,0,0,gobbato_raman_metabolites,0.6,False,
pyrimidine,DECOMPOSED,3,9,1,1,1,0,0.5402,1.0,1.0,1,0,0,RamanBioLib,0.6,False,
small_nitrogenous,DECOMPOSED,2,7,1,1,1,0,0.545,1.0,1.0,1,0,0,gobbato_raman_metabolites,0.6667,False,
